profile,mode,n_runs,source_run,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.0,0,0.0,0.0,0,,,107.2,94.0,122.7,0.0,0.0,0.0
lab1_f1dead,ql_true,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.0,0,0.0,0.0,0,,,177.8,149.7,210.1,0.0,0.0,0.0
lab2_f1bdead,ql_false,10,phase2_ext_results/recovery_root,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.74,9,0.9,0.0,0,,,297.5,209.6,402.1,6.7,5.0,8.0
lab2_f1bdead,ql_true,10,phase2_ext_results/recovery_root,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,0.0,0,,,70.8,57.7,84.9,6.0,4.3,7.5
lab2_f1binv,ql_false,10,phase2_binv_backfill/phase2-consolidated/recovery_root,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,True,descriptive,1.0,0.9,10,9,0.45,3,0.3,0.0,0,,,333.77777777777777,281.1083333333333,383.6666666666667,6.1,4.3,7.7
lab2_f1binv,ql_true,10,phase2_binv_backfill/phase2-consolidated/recovery_root,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ1Light,True,descriptive,1.0,1.0,10,10,0.65,5,0.5,0.0,0,,,268.9,149.9975,408.90749999999986,7.6,7.3,7.9
lab2_f1dead,ql_false,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,0.4,10,4,0.045,0,0.0,0.0,0,,,303.75,259.75,344.5,0.0,0.0,0.0
lab2_f1dead,ql_true,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.07,0,0.0,0.0,0,,,489.7,421.8,583.4099999999999,0.0,0.0,0.0
lab2_f1inv,ql_false,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,0.1,10,1,0.015,0,0.0,0.0,0,,,225.0,nan,nan,0.0,0.0,0.0
lab2_f1inv,ql_true,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,0.0,10,0,0.03,0,0.0,0.0,0,,,nan,nan,nan,0.0,0.0,0.0
lab2_f2dead,ql_false,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,0.0,10,0,0.06,0,0.0,0.0,0,,,nan,nan,nan,0.0,0.0,0.0
lab2_f2dead,ql_true,10,phase2_results_v6/recovery_root,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,0.0,10,0,0.095,0,0.0,0.0,0,,,nan,nan,nan,0.0,0.0,0.0
