profile,mode,n_runs,source_run,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,10,phase2_postinv/run_29148475671/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,0,3,50.0,50.0,50.0,0.0,0.0,0.0
lab1_f1dead,ql_true,10,phase2_postinv/run_29148475671/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,0,3,50.0,50.0,50.0,0.0,0.0,0.0
lab2_f1bdead,ql_false,10,phase2_postinv/run_29151540231/recovery_root,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ2Light,True,confirmatory,1.0,1.0,10,10,0.77,9,0.9,0.0,0,,3,382.1,254.79500000000002,505.8074999999999,6.4,4.8,7.6
lab2_f1bdead,ql_true,10,phase2_postinv/run_29151540231/recovery_root,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,0.0,0,,3,75.6,58.8,95.2,7.2,6.0,8.0
lab2_f1binv,ql_false,10,phase2_postinv/run_29151540231/recovery_root,http://example.org/was#SetZ1Blinds,True,descriptive,1.0,0.6,10,6,0.39,3,0.3,1.0,10,0,3,360.5,260.5,469.5,6.0,4.3,7.5
lab2_f1binv,ql_true,10,phase2_postinv/run_29151540231/recovery_root,http://example.org/was#SetZ1Blinds;http://example.org/was#SetZ2Light,True,descriptive,1.0,0.6,10,6,0.36,4,0.4,1.0,10,0,3,402.5,233.66666666666666,568.8333333333334,7.2,5.9,8.0
lab2_f1dead,ql_false,10,phase2_postinv/run_29148475671/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.91,10,1.0,1.0,10,0,3,249.7,198.5,299.9049999999999,0.0,0.0,0.0
lab2_f1dead,ql_true,10,phase2_postinv/run_29148475671/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.745,8,0.8,1.0,10,0,3,289.2,198.5,389.4,0.0,0.0,0.0
lab2_f1inv,ql_false,10,phase2_postinv/run_29148475671/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,0.7,10,7,0.67,7,0.7,1.0,10,0,3,237.85714285714286,203.14285714285714,271.42857142857144,0.0,0.0,0.0
lab2_f1inv,ql_true,10,phase2_postinv/run_29148475671/recovery_root,http://example.org/was#SetZ1Light,False,ill_posed,1.0,0.8,10,8,0.61,6,0.6,1.0,10,0,3,247.625,179.86875,331.75937499999986,0.0,0.0,0.0
