profile,metric,recovery_tier,in_registered_family,n_paired,seeds_paired,ql_true_mean,ql_false_mean,mean_diff_true_minus_false,ci_lo,ci_hi,p_bootstrap,p_bootstrap_one_sided_true_faster,p_wilcoxon,cliffs_delta,ql_true_faster,q_bootstrap_bh,bh_family_m
lab3_f1dead,RecoveryEpisodes,confirmatory,True,9,seed11;seed12;seed13;seed14;seed15;seed16;seed17;seed18;seed20,505.0,420.0,85.0,-31.555555555555557,205.11111111111111,0.1728,0.0864,0.1953125,0.43209876543209874,False,0.27648,8
lab3_f1inv,RecoveryEpisodes,descriptive,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,1152.4,963.2,189.2,-202.3125,573.0224999999997,0.339,0.1695,0.431640625,0.32,False,nan,0
lab3_f1dead_z2,RecoveryEpisodes,confirmatory,True,9,seed1;seed2;seed3;seed4;seed6;seed7;seed8;seed9;seed10,511.1111111111111,571.3333333333334,-60.22222222222222,-120.12222222222222,-4.333333333333333,0.0332,0.9836,0.203125,-0.2839506172839506,True,0.0664,8
lab3_f1inv_z2,RecoveryEpisodes,descriptive,False,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,1325.0,1294.5,30.5,-399.81,491.90999999999985,0.9166,0.4583,0.845703125,0.2,False,nan,0
lab3_f1bdead,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,198.1,288.1,-90.0,-265.0075,86.50249999999997,0.3196,0.8405,0.375,-0.33,True,0.36525714285714284,8
lab3_f1binv,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,398.5,405.0,-6.5,-138.4075,116.0,0.9288,0.5368,0.845703125,-0.02,True,0.9288,8
lab2_f1bdead,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,75.6,382.1,-306.5,-439.5,-174.59500000000006,0.0,1.0,0.001953125,-0.92,True,0.0,8
lab2_f1binv,RecoveryEpisodes,descriptive,False,4,seed1;seed2;seed3;seed10,479.5,323.75,155.75,-44.25,399.0,0.1268,0.0634,0.375,0.375,False,nan,0
labmon_f1dead,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,84.5,62.3,22.2,-15.8,57.202499999999965,0.2458,0.1229,0.4296875,0.05,False,0.3277333333333333,8
lab3_f2dead_lowsun,RecoveryEpisodes,confirmatory,True,10,seed1;seed2;seed3;seed4;seed5;seed6;seed7;seed8;seed9;seed10,63.5,134.9,-71.4,-102.3025,-41.3,0.0,1.0,0.001953125,-0.84,True,0.0,8
