# action registry golden — ontology set 'custom2' = lab-ontology.ttl + lab-ontology-custom2.ttl + wot-mappings-custom2.ttl
# contract = key-set + metadata columns; actionIndex is informational only
key,label,wotStateType,svBit,expectedBit,zones,hasIV,ivIdx,ivMinRank,energyCost,kgSilent,actionIndex
DO_NOTHING,DO_NOTHING,,-1,-1,,false,-1,1,0.0,false,30
http://example.org/was#SetCorridorLight|OFF,SetCorridorLight=OFF,http://example.org/was#CorridorLight,-1,0,,false,-1,1,0.0,true,20
http://example.org/was#SetCorridorLight|ON,SetCorridorLight=ON,http://example.org/was#CorridorLight,-1,1,,false,-1,1,0.0,true,21
http://example.org/was#SetSpotlightCD|OFF,SetSpotlightCD=OFF,http://example.org/was#SpotlightCD,-1,0,2|3,false,-1,1,0.0,false,10
http://example.org/was#SetSpotlightCD|ON,SetSpotlightCD=ON,http://example.org/was#SpotlightCD,-1,1,2|3,false,-1,1,0.0,false,11
http://example.org/was#SetSpotlight|OFF,SetSpotlight=OFF,http://example.org/was#Spotlight,-1,0,0|1,false,-1,1,0.0,false,0
http://example.org/was#SetSpotlight|ON,SetSpotlight=ON,http://example.org/was#Spotlight,-1,1,0|1,false,-1,1,0.0,false,1
http://example.org/was#SetZ1Blinds|OFF,SetZ1Blinds=OFF,http://example.org/was#Z1Blinds,8,0,0,false,-1,1,0.0,false,2
http://example.org/was#SetZ1Blinds|ON,SetZ1Blinds=ON,http://example.org/was#Z1Blinds,8,1,0,true,12,1,0.0,false,3
http://example.org/was#SetZ1Light|OFF,SetZ1Light=OFF,http://example.org/was#Z1Light,4,0,0,false,-1,1,0.0,false,4
http://example.org/was#SetZ1Light|ON,SetZ1Light=ON,http://example.org/was#Z1Light,4,1,0,false,-1,1,0.0,false,5
http://example.org/was#SetZ1Radiator|OFF,SetZ1Radiator=OFF,http://example.org/was#Z1Radiator,-1,0,,false,-1,1,0.0,true,22
http://example.org/was#SetZ1Radiator|ON,SetZ1Radiator=ON,http://example.org/was#Z1Radiator,-1,1,,false,-1,1,0.0,true,23
http://example.org/was#SetZ2Blinds|OFF,SetZ2Blinds=OFF,http://example.org/was#Z2Blinds,9,0,1,false,-1,1,0.0,false,6
http://example.org/was#SetZ2Blinds|ON,SetZ2Blinds=ON,http://example.org/was#Z2Blinds,9,1,1,true,12,1,0.0,false,7
http://example.org/was#SetZ2Light|OFF,SetZ2Light=OFF,http://example.org/was#Z2Light,5,0,1,false,-1,1,0.0,false,8
http://example.org/was#SetZ2Light|ON,SetZ2Light=ON,http://example.org/was#Z2Light,5,1,1,false,-1,1,0.0,false,9
http://example.org/was#SetZ2Radiator|OFF,SetZ2Radiator=OFF,http://example.org/was#Z2Radiator,-1,0,,false,-1,1,0.0,true,24
http://example.org/was#SetZ2Radiator|ON,SetZ2Radiator=ON,http://example.org/was#Z2Radiator,-1,1,,false,-1,1,0.0,true,25
http://example.org/was#SetZ3Blinds|OFF,SetZ3Blinds=OFF,http://example.org/was#Z3Blinds,10,0,2,false,-1,1,0.0,false,12
http://example.org/was#SetZ3Blinds|ON,SetZ3Blinds=ON,http://example.org/was#Z3Blinds,10,1,2,true,12,1,0.0,false,13
http://example.org/was#SetZ3Light|OFF,SetZ3Light=OFF,http://example.org/was#Z3Light,6,0,2,false,-1,1,0.0,false,14
http://example.org/was#SetZ3Light|ON,SetZ3Light=ON,http://example.org/was#Z3Light,6,1,2,false,-1,1,0.0,false,15
http://example.org/was#SetZ3Radiator|OFF,SetZ3Radiator=OFF,http://example.org/was#Z3Radiator,-1,0,,false,-1,1,0.0,true,26
http://example.org/was#SetZ3Radiator|ON,SetZ3Radiator=ON,http://example.org/was#Z3Radiator,-1,1,,false,-1,1,0.0,true,27
http://example.org/was#SetZ4Blinds|OFF,SetZ4Blinds=OFF,http://example.org/was#Z4Blinds,11,0,3,false,-1,1,0.0,false,16
http://example.org/was#SetZ4Blinds|ON,SetZ4Blinds=ON,http://example.org/was#Z4Blinds,11,1,3,true,12,1,0.0,false,17
http://example.org/was#SetZ4Light|OFF,SetZ4Light=OFF,http://example.org/was#Z4Light,7,0,3,false,-1,1,0.0,false,18
http://example.org/was#SetZ4Light|ON,SetZ4Light=ON,http://example.org/was#Z4Light,7,1,3,false,-1,1,0.0,false,19
http://example.org/was#SetZ4Radiator|OFF,SetZ4Radiator=OFF,http://example.org/was#Z4Radiator,-1,0,,false,-1,1,0.0,true,28
http://example.org/was#SetZ4Radiator|ON,SetZ4Radiator=ON,http://example.org/was#Z4Radiator,-1,1,,false,-1,1,0.0,true,29
