# action registry golden — ontology set 'lab5' = building_5_energy.ttl
# contract = key-set + metadata columns; actionIndex is informational only
key,label,wotStateType,svBit,expectedBit,zones,hasIV,ivIdx,ivMinRank,energyCost,kgSilent,relevance,illumDirection,ivGates,actionIndex
DO_NOTHING,DO_NOTHING,,-1,-1,,false,-1,1,0.0,false,UNKNOWN,0,,14
http://example.org/was#SetSpotlight|OFF,SetSpotlight=OFF,http://example.org/was#Spotlight,8,0,0|1,false,-1,1,2.0,false,EXPLICIT_RELEVANT,-1,,0
http://example.org/was#SetSpotlight|ON,SetSpotlight=ON,http://example.org/was#Spotlight,8,1,0|1,false,-1,1,2.0,false,EXPLICIT_RELEVANT,1,,1
http://example.org/was#SetZ1Blinds|OFF,SetZ1Blinds=OFF,http://example.org/was#Z1Blinds,6,0,0,false,-1,1,0.0,false,EXPLICIT_RELEVANT,0,9>=1,2
http://example.org/was#SetZ1Blinds|ON,SetZ1Blinds=ON,http://example.org/was#Z1Blinds,6,1,0,true,9,1,0.0,false,EXPLICIT_RELEVANT,0,9>=1,3
http://example.org/was#SetZ1Eff|OFF,SetZ1Eff=OFF,http://example.org/was#Z1Eff,2,0,0,false,-1,1,1.0,false,EXPLICIT_RELEVANT,-1,,4
http://example.org/was#SetZ1Eff|ON,SetZ1Eff=ON,http://example.org/was#Z1Eff,2,1,0,false,-1,1,1.0,false,EXPLICIT_RELEVANT,1,,5
http://example.org/was#SetZ1Ineff|OFF,SetZ1Ineff=OFF,http://example.org/was#Z1Ineff,3,0,0,false,-1,1,4.0,false,EXPLICIT_RELEVANT,-1,,6
http://example.org/was#SetZ1Ineff|ON,SetZ1Ineff=ON,http://example.org/was#Z1Ineff,3,1,0,false,-1,1,4.0,false,EXPLICIT_RELEVANT,1,,7
http://example.org/was#SetZ2Blinds|OFF,SetZ2Blinds=OFF,http://example.org/was#Z2Blinds,7,0,1,false,-1,1,0.0,false,EXPLICIT_RELEVANT,0,9>=1,8
http://example.org/was#SetZ2Blinds|ON,SetZ2Blinds=ON,http://example.org/was#Z2Blinds,7,1,1,true,9,1,0.0,false,EXPLICIT_RELEVANT,0,9>=1,9
http://example.org/was#SetZ2Eff|OFF,SetZ2Eff=OFF,http://example.org/was#Z2Eff,4,0,1,false,-1,1,1.0,false,EXPLICIT_RELEVANT,-1,,10
http://example.org/was#SetZ2Eff|ON,SetZ2Eff=ON,http://example.org/was#Z2Eff,4,1,1,false,-1,1,1.0,false,EXPLICIT_RELEVANT,1,,11
http://example.org/was#SetZ2Ineff|OFF,SetZ2Ineff=OFF,http://example.org/was#Z2Ineff,5,0,1,false,-1,1,4.0,false,EXPLICIT_RELEVANT,-1,,12
http://example.org/was#SetZ2Ineff|ON,SetZ2Ineff=ON,http://example.org/was#Z2Ineff,5,1,1,false,-1,1,4.0,false,EXPLICIT_RELEVANT,1,,13
