Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,3,33.00,0.00,1,0.300000,1,2
1,2,39.00,0.00,1,0.298500,1,1
2,0,0.00,0.00,1,0.297008,0,0
3,6,0.00,0.00,1,0.295522,4,5
4,1,50.00,0.00,1,0.294045,0,0
5,0,0.00,0.00,1,0.292575,0,0
6,1,50.00,0.00,1,0.291112,0,0
7,1,50.00,0.00,1,0.289656,0,0
8,0,0.00,0.00,1,0.288208,0,0
9,1,50.00,0.00,1,0.286767,0,0
10,1,50.00,0.00,1,0.285333,0,0
11,0,0.00,0.00,1,0.283906,0,0
12,1,50.00,0.00,1,0.282487,0,0
13,4,32.00,0.00,1,0.281074,0,3
14,0,0.00,0.00,1,0.279669,0,0
15,1,50.00,0.00,1,0.278271,0,0
16,2,44.00,0.00,1,0.276879,0,1
17,0,0.00,0.00,1,0.275495,0,0
18,1,50.00,0.00,1,0.274117,0,0
19,2,44.00,0.00,1,0.272747,0,1
20,0,0.00,0.00,1,0.271383,0,0
21,1,50.00,0.00,1,0.270026,0,0
22,2,44.00,0.00,1,0.268676,0,1
23,0,0.00,0.00,1,0.267333,0,0
24,2,44.00,0.00,1,0.265996,0,1
25,2,44.00,0.00,1,0.264666,0,1
26,0,0.00,0.00,1,0.263343,0,0
27,1,50.00,0.00,1,0.262026,0,0
28,1,50.00,0.00,1,0.260716,0,0
29,0,0.00,0.00,1,0.259412,0,0
30,1,50.00,0.00,1,0.258115,0,0
31,1,50.00,0.00,1,0.256825,0,0
32,0,0.00,0.00,1,0.255541,0,0
33,1,50.00,0.00,1,0.254263,0,0
34,2,44.00,0.00,1,0.252992,0,1
35,0,0.00,0.00,1,0.251727,0,0
36,1,50.00,0.00,1,0.250468,0,0
37,1,50.00,0.00,1,0.249216,0,0
38,0,0.00,0.00,1,0.247970,0,0
39,1,50.00,0.00,1,0.246730,0,0
40,1,50.00,0.00,1,0.245496,0,0
41,0,0.00,0.00,1,0.244269,0,0
42,1,50.00,0.00,1,0.243047,0,0
43,1,50.00,0.00,1,0.241832,0,0
44,0,0.00,0.00,1,0.240623,0,0
45,1,50.00,0.00,1,0.239420,0,0
46,1,50.00,0.00,1,0.238223,0,0
47,0,0.00,0.00,1,0.237031,0,0
48,1,50.00,0.00,1,0.235846,0,0
49,1,50.00,0.00,1,0.234667,0,0
50,0,0.00,0.00,1,0.233494,0,0
51,3,38.00,0.00,1,0.232326,0,2
52,1,50.00,0.00,1,0.231165,0,0
53,0,0.00,0.00,1,0.230009,0,0
54,1,50.00,0.00,1,0.228859,0,0
55,2,39.00,0.00,1,0.227715,1,1
56,0,0.00,0.00,1,0.226576,0,0
57,1,50.00,0.00,1,0.225443,0,0
58,1,50.00,0.00,1,0.224316,0,0
59,0,0.00,0.00,1,0.223194,0,0
60,1,50.00,0.00,1,0.222078,0,0
61,1,50.00,0.00,1,0.220968,0,0
62,0,0.00,0.00,1,0.219863,0,0
63,1,50.00,0.00,1,0.218764,0,0

# Summary
# FirstGoalEpisode,0
# TotalGoalCount,43
# GoalRate_last100,1.00
