profile,mode,n_runs,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab1_f1dead,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1bdead,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1bdead,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1binv,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1binv,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1dead,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1dead,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1inv,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f1inv,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2dead,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2dead,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2inv,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab2_f2inv,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1bdead,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1bdead,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1binv,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1binv,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_false,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_true,0,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2dead,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_false,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2inv,ql_true,0,,False,ill_posed,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
labmon_f1dead,ql_false,10,http://example.org/was#SetZ1Light,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,62.3,51.0,84.3,0.0,0.0,0.0
labmon_f1dead,ql_true,10,http://example.org/was#SetZ1Light,True,confirmatory,1.0,1.0,10,10,1.0,10,1.0,1.0,10,2,3,84.5,58.8,111.1,0.0,0.0,0.0
