Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.295527,0,0
6,0,0.00,0.00,1,0.294640,0,0
7,0,0.00,0.00,1,0.293756,0,0
8,18,73.00,72.00,1,0.300000,4,3
9,0,0.00,0.00,1,0.299100,0,0
10,2,100.00,100.00,1,0.298203,0,0
11,0,0.00,0.00,1,0.297308,0,0
12,2,39.00,54.00,1,0.296416,1,0
13,0,0.00,0.00,1,0.295527,0,0
14,2,100.00,100.00,1,0.294640,0,0
15,0,0.00,0.00,1,0.293756,0,0
16,6,57.00,27.00,1,0.292875,2,2
17,3,99.00,104.00,1,0.291997,0,0
18,2,100.00,100.00,1,0.291121,0,0
19,0,0.00,0.00,1,0.290247,0,0
20,2,100.00,100.00,1,0.289376,0,0
21,0,0.00,0.00,1,0.288508,0,0
22,5,58.00,33.00,1,0.287643,2,1
23,0,0.00,0.00,1,0.286780,0,0
24,3,94.00,94.00,1,0.285920,0,1
25,0,0.00,0.00,1,0.285062,0,0
26,3,50.00,50.00,1,0.284207,1,0
27,0,0.00,0.00,1,0.283354,0,0
28,2,100.00,100.00,1,0.282504,0,0
29,0,0.00,0.00,1,0.281656,0,0
30,4,83.00,83.00,1,0.280811,1,2
31,0,0.00,0.00,1,0.279969,0,0
32,3,50.00,50.00,1,0.279129,1,0
33,4,54.00,44.00,1,0.278292,1,1
34,2,100.00,100.00,1,0.277457,0,0
35,0,0.00,0.00,1,0.276624,0,0
36,4,44.00,44.00,1,0.275795,1,1
37,0,0.00,0.00,1,0.274967,0,0
38,3,99.00,89.00,1,0.274142,1,1
39,0,0.00,0.00,1,0.273320,0,0
40,2,100.00,100.00,1,0.272500,0,0
41,0,0.00,0.00,1,0.271682,0,0
42,1,50.00,50.00,1,0.270867,0,0
43,0,0.00,0.00,1,0.270055,0,0
44,3,94.00,94.00,1,0.269245,0,1
45,0,0.00,0.00,1,0.268437,0,0
46,4,44.00,44.00,1,0.267632,1,1
47,0,0.00,0.00,1,0.266829,0,0
48,2,100.00,100.00,1,0.266028,0,0
49,0,0.00,0.00,1,0.265230,0,0
50,2,100.00,100.00,1,0.264434,0,0
51,0,0.00,0.00,1,0.263641,0,0
52,6,52.00,22.00,1,0.262850,3,3
53,2,44.00,8.00,1,0.262062,0,1
54,4,122.00,122.00,1,0.261275,0,1
55,0,0.00,0.00,1,0.260492,0,0
56,8,54.00,49.00,1,0.259710,3,1
57,0,0.00,0.00,1,0.258931,0,0
58,2,100.00,100.00,1,0.258154,0,0
59,0,0.00,0.00,1,0.257380,0,0
60,2,100.00,100.00,1,0.256608,0,0
61,0,0.00,0.00,1,0.255838,0,0
62,0,0.00,0.00,1,0.255070,0,0
63,6,37.00,17.00,1,0.254305,4,2
64,3,99.00,89.00,1,0.253542,1,1
65,0,0.00,0.00,1,0.252781,0,0
66,4,54.00,44.00,1,0.252023,1,1
67,0,0.00,0.00,1,0.251267,0,0
68,2,100.00,100.00,1,0.250513,0,0
69,0,0.00,0.00,1,0.249762,0,0
70,4,100.00,100.00,1,0.249012,1,0
71,0,0.00,0.00,1,0.248265,0,0
72,1,50.00,4.00,1,0.247521,0,0
73,18,74.00,132.00,1,0.246778,3,1
74,3,94.00,94.00,1,0.246038,0,1
75,0,0.00,0.00,1,0.245300,0,0
76,5,50.00,50.00,1,0.244564,2,0
77,0,0.00,0.00,1,0.243830,0,0
78,2,100.00,100.00,1,0.243099,0,0
79,0,0.00,0.00,1,0.242369,0,0
80,4,83.00,83.00,1,0.241642,1,2
81,0,0.00,0.00,1,0.240917,0,0
82,3,50.00,50.00,1,0.240194,1,0
83,1,4.00,50.00,1,0.239474,0,0
84,2,100.00,100.00,1,0.238755,0,0
85,0,0.00,0.00,1,0.238039,0,0
86,3,50.00,50.00,1,0.237325,1,0
87,1,50.00,50.00,1,0.236613,0,0
88,2,100.00,100.00,1,0.235903,0,0
89,0,0.00,0.00,1,0.235196,0,0
90,4,88.00,88.00,1,0.234490,2,1
91,0,0.00,0.00,1,0.233786,0,0
92,1,50.00,50.00,1,0.233085,0,0
93,0,0.00,0.00,1,0.232386,0,0
