Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,18,-173.00,-163.00,0,0.300000,17,2
1,20,-200.00,-190.00,0,0.299100,20,1
2,20,-160.00,30.00,0,0.298203,17,1
3,0,0.00,0.00,1,0.297308,0,0
4,20,-104.00,-74.00,0,0.296416,17,5
5,20,-180.00,-180.00,0,0.295527,18,2
6,20,-155.00,40.00,0,0.294640,16,5
7,20,86.00,-13.00,0,0.293756,6,9
8,2,100.00,100.00,1,0.292875,0,0
9,20,-90.00,-170.00,0,0.291997,20,3
10,20,3.00,3.00,0,0.291121,11,3
11,20,-190.00,-200.00,0,0.290247,20,2
12,2,100.00,100.00,1,0.289376,0,0
13,20,-200.00,-180.00,0,0.288508,20,6
14,20,-63.00,-133.00,0,0.287643,14,6
15,20,-195.00,-185.00,0,0.286780,19,5
16,20,-180.00,12.00,0,0.285920,19,5
17,0,0.00,0.00,1,0.285062,0,0
18,2,100.00,100.00,1,0.284207,0,0
19,20,-175.00,-195.00,0,0.283354,19,3
20,20,-34.00,-14.00,0,0.282504,12,3
21,20,-165.00,-155.00,0,0.281656,9,12
22,20,-150.00,46.00,0,0.280811,13,6
23,20,-67.00,84.00,0,0.279969,5,11
24,20,-55.00,-45.00,0,0.279129,14,3
25,20,-105.00,-165.00,0,0.278292,19,6
26,20,-130.00,22.00,0,0.277457,14,5
27,20,-44.00,-74.00,0,0.276624,11,3
28,2,100.00,100.00,1,0.275795,0,0
29,20,-205.00,-205.00,0,0.274967,19,1
30,20,35.00,5.00,0,0.274142,10,3
31,20,-165.00,-185.00,0,0.273320,13,8
32,20,-120.00,-190.00,0,0.272500,20,0
33,0,0.00,0.00,1,0.271682,0,0
34,20,49.00,39.00,0,0.270867,10,1
35,20,-120.00,-160.00,0,0.270055,20,4
36,20,-145.00,-11.00,0,0.269245,14,6
37,20,-190.00,-80.00,0,0.268437,20,1
38,3,89.00,99.00,1,0.267632,1,1
39,20,-170.00,-110.00,0,0.266829,20,2
40,20,22.00,42.00,0,0.266028,10,1
41,20,-200.00,-180.00,0,0.265230,20,4
42,0,0.00,0.00,1,0.264434,0,0
43,2,100.00,100.00,1,0.263641,0,0
44,20,30.00,30.00,0,0.262850,10,5
45,20,-65.00,-185.00,0,0.262062,19,1
46,20,-100.00,-7.00,0,0.261275,12,2
47,20,-195.00,-135.00,0,0.260492,19,5
48,3,94.00,94.00,1,0.259710,0,1
49,20,-200.00,-120.00,0,0.258931,18,2
50,20,25.00,5.00,0,0.258154,12,4
51,20,-145.00,-155.00,0,0.257380,13,11
52,20,30.00,-190.00,0,0.256608,18,3
53,20,35.00,5.00,0,0.255838,12,2
54,20,6.00,6.00,0,0.255070,12,3
55,20,-150.00,-110.00,0,0.254305,20,2
56,20,-160.00,-18.00,0,0.253542,18,6
57,20,-165.00,-165.00,0,0.252781,19,4
58,2,100.00,100.00,1,0.252023,0,0
59,20,-200.00,-140.00,0,0.251267,20,4
60,20,-102.00,-42.00,0,0.250513,14,3
61,20,-195.00,-175.00,0,0.249762,19,5
62,20,-45.00,141.00,0,0.249012,4,13
63,20,-43.00,-53.00,0,0.248265,11,4
64,20,-43.00,17.00,0,0.247521,14,3
65,20,-170.00,-110.00,0,0.246778,16,5
66,20,-85.00,25.00,0,0.246038,11,5
67,3,28.00,12.00,1,0.245300,2,2
68,3,99.00,89.00,1,0.244564,1,1
69,20,-200.00,-120.00,0,0.243830,18,2
70,20,8.00,-2.00,0,0.243099,10,5
71,20,-160.00,-160.00,0,0.242369,8,12
72,2,39.00,89.00,1,0.241642,1,0
73,3,88.00,28.00,1,0.240917,2,1
74,20,-93.00,-63.00,0,0.240194,14,3
