"observedAtUtc","runId","artifactId","artifactName","sizeInBytes","digest","expired","createdAt","expiresAt","archiveDownloadUrl"
"2026-06-15T15:50:57.8683740Z","27138055036","7480967488","build-classes","124727","sha256:e78c2297a026df292c033f5dc464f709cdc66c08728083e2286abb1730843db6","True","2026-06-08T13:03:50Z","2026-06-09T13:03:49Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7480967488/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561299240","build-classes","140170","sha256:517935df42ed6fb0efe674bb1743d39b59b04d6b0da1941c4b391019378da499","True","2026-06-11T10:16:30Z","2026-06-12T10:16:29Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561299240/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561379366","train-lab1-stereo-false-seed-9","43246","sha256:00a990da309fa49efc8ff53a48c9fb45dcfd6aad2b53ecc2ee9541d6cd6ec514","False","2026-06-11T10:20:35Z","2026-09-09T10:15:42Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561379366/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561383335","train-lab1-stereo-false-seed-3","43805","sha256:7f8510c322eedfa23da58f6951e3000837a5ada1365248700016a2b05b7e6b70","False","2026-06-11T10:20:47Z","2026-09-09T10:15:42Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561383335/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561432715","train-lab1-stereo-false-seed-10","67317","sha256:095b3408dd0df865b30105fc5cd16030d8aa43b7e679467f4b2c93189bf80351","False","2026-06-11T10:23:03Z","2026-09-09T10:15:42Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561432715/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561456766","train-lab1-stereo-true-seed-6","80442","sha256:7bd7e6ae28fb540f5df1c0b356439f21026b55a877259b9bdf8256df19556c72","False","2026-06-11T10:24:10Z","2026-09-09T10:15:42Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561456766/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561511079","train-lab1-stereo-false-seed-8","105551","sha256:be68395f2ced0a1cabbc17cbe60185b7762fe1ced7ded37006843fb530abd2fb","False","2026-06-11T10:26:40Z","2026-09-09T10:15:42Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561511079/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561535534","train-lab1-stereo-true-seed-3","115703","sha256:915c08e3cbe2de34011aac13f35d47661a59bbb3a48110fb17e1be2c534c7de5","False","2026-06-11T10:27:50Z","2026-09-09T10:15:42Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561535534/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561542461","train-lab1-stereo-false-seed-6","118341","sha256:1a87780f179972e42a209ee6b65b387cc4c38b86f215b55dd1d917c287c85d94","False","2026-06-11T10:28:09Z","2026-09-09T10:15:42Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561542461/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561577554","train-lab1-stereo-true-seed-10","134106","sha256:13d1e8b776ffcfc78d995678a2a130df5d3daafc4f38b6980cdb67d8fcf7b837","False","2026-06-11T10:29:51Z","2026-09-09T10:15:42Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561577554/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561590805","train-lab1-stereo-true-seed-8","141930","sha256:a0f2aed3fe7dabdf6031668cef3e3ee76b1b860a087664db91c8039ae3da0f2a","False","2026-06-11T10:30:29Z","2026-09-09T10:15:42Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561590805/zip"
"2026-06-15T15:50:57.8683740Z","27339902999","7561619133","train-lab1-stereo-false-seed-4","153170","sha256:2cae9c2fea8a20fe7f7eddd3a1f24630ef36cbd66afec8bb8534b968ab672364","False","2026-06-11T10:31:49Z","2026-09-09T10:15:42Z","https://api.github.com/repos/esra-dev/MT-PhysicsBAS/actions/artifacts/7561619133/zip"
