"observedAtUtc","runId","jobId","jobName","jobStatus","jobConclusion","jobUrl","runnerName","stepNumber","stepName","stepStatus","stepConclusion","startedAt","completedAt"
"2026-06-16T13:31:04.1921740Z","27547019772","81486071751","Compile & build matrix","completed","success","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486071751","GitHub Actions 1000004813","1","Set up job","completed","success","2026-06-15T12:43:16Z","2026-06-15T12:43:17Z"
"2026-06-16T13:31:04.1921740Z","27547019772","81486071751","Compile & build matrix","completed","success","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486071751","GitHub Actions 1000004813","2","Run actions/checkout@v4","completed","success","2026-06-15T12:43:17Z","2026-06-15T12:43:18Z"
"2026-06-16T13:31:04.1921740Z","27547019772","81486071751","Compile & build matrix","completed","success","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486071751","GitHub Actions 1000004813","3","Set up Java 21","completed","success","2026-06-15T12:43:18Z","2026-06-15T12:43:20Z"
"2026-06-16T13:31:04.1921740Z","27547019772","81486071751","Compile & build matrix","completed","success","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486071751","GitHub Actions 1000004813","4","Make gradlew executable","completed","success","2026-06-15T12:43:20Z","2026-06-15T12:43:20Z"
"2026-06-16T13:31:04.1921740Z","27547019772","81486071751","Compile & build matrix","completed","success","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486071751","GitHub Actions 1000004813","5","Compile classes (with retry on JitPack flakes)","completed","success","2026-06-15T12:43:20Z","2026-06-15T12:43:31Z"
"2026-06-16T13:31:04.1921740Z","27547019772","81486071751","Compile & build matrix","completed","success","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486071751","GitHub Actions 1000004813","6","Upload compiled build","completed","success","2026-06-15T12:43:31Z","2026-06-15T12:43:32Z"
"2026-06-16T13:31:04.1921740Z","27547019772","81486071751","Compile & build matrix","completed","success","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486071751","GitHub Actions 1000004813","7","Materialise faulty-profile list","completed","success","2026-06-15T12:43:32Z","2026-06-15T12:43:32Z"
"2026-06-16T13:31:04.1921740Z","27547019772","81486071751","Compile & build matrix","completed","success","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486071751","GitHub Actions 1000004813","8","Derive unique parent labs for clean warm-start training","completed","success","2026-06-15T12:43:32Z","2026-06-15T12:43:32Z"
"2026-06-16T13:31:04.1921740Z","27547019772","81486071751","Compile & build matrix","completed","success","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486071751","GitHub Actions 1000004813","9","Materialise seed list","completed","success","2026-06-15T12:43:32Z","2026-06-15T12:43:32Z"
"2026-06-16T13:31:04.1921740Z","27547019772","81486071751","Compile & build matrix","completed","success","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486071751","GitHub Actions 1000004813","17","Post Set up Java 21","completed","success","2026-06-15T12:43:32Z","2026-06-15T12:43:32Z"
