"workflow","conclusion","run_count"
"ALL","ALL","125"
".github/workflows/sweep-dev.yml","failure","27"
".github/workflows/sweep-dev.yml","success","8"
"CI","failure","17"
"CI","success","17"
"Copilot cloud agent","success","1"
"Phase 1 (KG acceleration, clean labs)","failure","3"
"Phase 1 (KG acceleration, clean labs)","success","8"
"Phase 2 (fault detection, blacklist, re-learn)","cancelled","2"
"Phase 2 (fault detection, blacklist, re-learn)","success","5"
"Phase 3 (process dynamics, response-delay learning)","success","2"
"Sweep (ablation)","cancelled","1"
"Sweep (ablation)","failure","8"
"Sweep (ablation)","success","2"
"Sweep (paper)","cancelled","6"
"Sweep (paper)","failure","13"
"Sweep (paper)","success","5"
