r2_row_id,label,product_scope,finding_status,experiment_id,research_status,run_id,root_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,stage6_evidence_record,stage6_table_row_id,stage6_table_row,stage6_table_locator,stage6_result_locator,analysis_script_locator,exact_command,recompute_boundary,manuscript_use
R2P1T-001,[DIRECT],MANUSCRIPT_EVIDENCE,ACTIVE,EXP-P1-BUMP,POST_HOC_EXPLORATORY,27461188614,P1-BUMP-S1-10,lab2,auc_goal,0.01973991330443482,0.014654884961653902,0.024458569523174385,0.0,1.0,EV-P1-RES-001,P1T-0209,210,"local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:row 210; named columns table_row_id,root_id,run_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,source_locator","local-sha256:d0a73998b4bf4a46d78ae7525746908c77474865c33adf704d3c1ee329f03282:paper_notes/PHASE1_RESULTS.md:L79-L79","local-sha256:f9e158c2c5587bdbf433761f43a6bb1e48e5d6ca2b47970d95f1d6e1c1568624:paper_notes/phase1_extract_tables.mjs:L1-L520","node paper_notes/phase1_extract_tables.mjs paper_notes/PHASE1_TABLES.csv","deterministic means and paired mean differences recomputed; CI/p/q/Cliff read from analysis CSVs","Primary lab2 goal-speed evidence"
R2P1T-002,[DIRECT],MANUSCRIPT_EVIDENCE,ACTIVE,EXP-P1-BUMP,POST_HOC_EXPLORATORY,27461188614,P1-BUMP-S1-10,lab2,avg_steps,-0.9,-1.55,-0.325,0.0,-0.71,EV-P1-RES-002,P1T-0188,189,"local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:row 189; named columns table_row_id,root_id,run_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,source_locator","local-sha256:d0a73998b4bf4a46d78ae7525746908c77474865c33adf704d3c1ee329f03282:paper_notes/PHASE1_RESULTS.md:L80-L80","local-sha256:f9e158c2c5587bdbf433761f43a6bb1e48e5d6ca2b47970d95f1d6e1c1568624:paper_notes/phase1_extract_tables.mjs:L1-L520","node paper_notes/phase1_extract_tables.mjs paper_notes/PHASE1_TABLES.csv","deterministic means and paired mean differences recomputed; CI/p/q/Cliff read from analysis CSVs","Primary lab2 action-efficiency evidence"
R2P1T-003,[DIRECT],MANUSCRIPT_EVIDENCE,ACTIVE,EXP-P1-BUMP,POST_HOC_EXPLORATORY,27461188614,P1-BUMP-S1-10,lab2,avg_redundant,-0.9825000000000002,-1.59003125,-0.39871875000000045,0.0,-0.72,EV-P1-RES-003,P1T-0203,204,"local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:row 204; named columns table_row_id,root_id,run_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,source_locator","local-sha256:d0a73998b4bf4a46d78ae7525746908c77474865c33adf704d3c1ee329f03282:paper_notes/PHASE1_RESULTS.md:L81-L81","local-sha256:f9e158c2c5587bdbf433761f43a6bb1e48e5d6ca2b47970d95f1d6e1c1568624:paper_notes/phase1_extract_tables.mjs:L1-L520","node paper_notes/phase1_extract_tables.mjs paper_notes/PHASE1_TABLES.csv","deterministic means and paired mean differences recomputed; CI/p/q/Cliff read from analysis CSVs","Primary lab2 redundant-action evidence"
R2P1T-004,[DIRECT],MANUSCRIPT_EVIDENCE,ACTIVE,EXP-P1-BUMP,POST_HOC_EXPLORATORY,27461188614,P1-BUMP-S1-10,lab2,goal_rate,0.04375,0.0125,0.08125,0.009046153846153846,0.5,EV-P1-RES-004,P1T-0185,186,"local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:row 186; named columns table_row_id,root_id,run_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,source_locator","local-sha256:d0a73998b4bf4a46d78ae7525746908c77474865c33adf704d3c1ee329f03282:paper_notes/PHASE1_RESULTS.md:L82-L82","local-sha256:f9e158c2c5587bdbf433761f43a6bb1e48e5d6ca2b47970d95f1d6e1c1568624:paper_notes/phase1_extract_tables.mjs:L1-L520","node paper_notes/phase1_extract_tables.mjs paper_notes/PHASE1_TABLES.csv","deterministic means and paired mean differences recomputed; CI/p/q/Cliff read from analysis CSVs","Primary lab2 final success-rate evidence"
R2P1T-005,[DIRECT],MANUSCRIPT_EVIDENCE,ACTIVE,EXP-P1-REPL,POST_HOC_EXPLORATORY,27462446044,P1-BUMP-S11-20,lab2,auc_goal,0.018189396465488505,0.010586862287429144,0.02734286428809604,0.0,1.0,EV-P1-RES-005,P1T-0329,330,"local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:row 330; named columns table_row_id,root_id,run_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,source_locator","local-sha256:d0a73998b4bf4a46d78ae7525746908c77474865c33adf704d3c1ee329f03282:paper_notes/PHASE1_RESULTS.md:L83-L83","local-sha256:f9e158c2c5587bdbf433761f43a6bb1e48e5d6ca2b47970d95f1d6e1c1568624:paper_notes/phase1_extract_tables.mjs:L1-L520","node paper_notes/phase1_extract_tables.mjs paper_notes/PHASE1_TABLES.csv","deterministic means and paired mean differences recomputed; CI/p/q/Cliff read from analysis CSVs","Fresh-seed lab2 goal-speed replication evidence"
R2P1T-006,[DIRECT],MANUSCRIPT_EVIDENCE,ACTIVE,EXP-P1-REPL,POST_HOC_EXPLORATORY,27462446044,P1-BUMP-S11-20,lab2,auc_reward,7.67062354118039,2.1563012670890274,12.909165555185055,0.0328,0.6,EV-P1-RES-006,P1T-0330,331,"local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:row 331; named columns table_row_id,root_id,run_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,source_locator","local-sha256:d0a73998b4bf4a46d78ae7525746908c77474865c33adf704d3c1ee329f03282:paper_notes/PHASE1_RESULTS.md:L84-L84","local-sha256:f9e158c2c5587bdbf433761f43a6bb1e48e5d6ca2b47970d95f1d6e1c1568624:paper_notes/phase1_extract_tables.mjs:L1-L520","node paper_notes/phase1_extract_tables.mjs paper_notes/PHASE1_TABLES.csv","deterministic means and paired mean differences recomputed; CI/p/q/Cliff read from analysis CSVs","Fresh-seed lab2 reward replication evidence"
R2P1T-007,[SUPERSEDED],AUDIT_HISTORY;MANUSCRIPT_EVIDENCE,SUPERSEDED,EXP-P1-ASIS,POST_HOC_EXPLORATORY,27440842780,P1-ASIS,lab3,auc_goal,-0.008852950983661201,-0.014354784928309416,-0.003034344781593867,0.0072,-0.67,EV-P1-RES-007,P1T-0093,94,"local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:row 94; named columns table_row_id,root_id,run_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,source_locator","local-sha256:d0a73998b4bf4a46d78ae7525746908c77474865c33adf704d3c1ee329f03282:paper_notes/PHASE1_RESULTS.md:L85-L85","local-sha256:f9e158c2c5587bdbf433761f43a6bb1e48e5d6ca2b47970d95f1d6e1c1568624:paper_notes/phase1_extract_tables.mjs:L1-L520","node paper_notes/phase1_extract_tables.mjs paper_notes/PHASE1_TABLES.csv","deterministic means and paired mean differences recomputed; CI/p/q/Cliff read from analysis CSVs","As-is lab3 control retained for audit and limitation discussion only"
R2P1T-008,[SUPERSEDED],AUDIT_HISTORY;MANUSCRIPT_EVIDENCE,SUPERSEDED,EXP-P1-ASIS,POST_HOC_EXPLORATORY,27440842780,P1-ASIS,lab3,avg_cycling,0.3375,0.05625,0.66875,0.0252,0.5,EV-P1-RES-008,P1T-0081,82,"local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:row 82; named columns table_row_id,root_id,run_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,source_locator","local-sha256:d0a73998b4bf4a46d78ae7525746908c77474865c33adf704d3c1ee329f03282:paper_notes/PHASE1_RESULTS.md:L86-L86","local-sha256:f9e158c2c5587bdbf433761f43a6bb1e48e5d6ca2b47970d95f1d6e1c1568624:paper_notes/phase1_extract_tables.mjs:L1-L520","node paper_notes/phase1_extract_tables.mjs paper_notes/PHASE1_TABLES.csv","deterministic means and paired mean differences recomputed; CI/p/q/Cliff read from analysis CSVs","As-is lab3 control retained for audit and limitation discussion only"
R2P1T-009,[DIRECT],MANUSCRIPT_EVIDENCE,ACTIVE,EXP-P1-BUMP,POST_HOC_EXPLORATORY,27461188614,P1-BUMP-S1-10,lab3,auc_goal,-0.003751250416805607,-0.008019756585528526,0.0006673057685895593,0.29579999999999995,-0.4,EV-P1-RES-009,P1T-0213,214,"local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:row 214; named columns table_row_id,root_id,run_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,source_locator","local-sha256:d0a73998b4bf4a46d78ae7525746908c77474865c33adf704d3c1ee329f03282:paper_notes/PHASE1_RESULTS.md:L87-L87","local-sha256:f9e158c2c5587bdbf433761f43a6bb1e48e5d6ca2b47970d95f1d6e1c1568624:paper_notes/phase1_extract_tables.mjs:L1-L520","node paper_notes/phase1_extract_tables.mjs paper_notes/PHASE1_TABLES.csv","deterministic means and paired mean differences recomputed; CI/p/q/Cliff read from analysis CSVs","Bumped lab3 binary-goal evidence"
R2P1T-010,[DIRECT],MANUSCRIPT_EVIDENCE,ACTIVE,EXP-P1-BUMP,POST_HOC_EXPLORATORY,27461188614,P1-BUMP-S1-10,lab3,avg_cycling,-0.0375,-0.11875,0.0375,0.6222222222222222,-0.19,EV-P1-RES-010,P1T-0201,202,"local-sha256:368dc5acf4b6f9ed10d53df5a710178874ffa697cb38aef7a1d460c2a6909b2a:paper_notes/PHASE1_TABLES.csv:row 202; named columns table_row_id,root_id,run_id,profile,metric,value,ci_lo,ci_hi,q_bootstrap_bh,cliffs_delta,source_locator","local-sha256:d0a73998b4bf4a46d78ae7525746908c77474865c33adf704d3c1ee329f03282:paper_notes/PHASE1_RESULTS.md:L88-L88","local-sha256:f9e158c2c5587bdbf433761f43a6bb1e48e5d6ca2b47970d95f1d6e1c1568624:paper_notes/phase1_extract_tables.mjs:L1-L520","node paper_notes/phase1_extract_tables.mjs paper_notes/PHASE1_TABLES.csv","deterministic means and paired mean differences recomputed; CI/p/q/Cliff read from analysis CSVs","Bumped lab3 cycling evidence"
