"observedAtUtc","runId","workflowName","headSha","runAttempt","jobId","jobName","jobClass","status","conclusion","startedAt","completedAt","url"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486081213","adapt lab1_f1dead mode=ql_false seed=1","adapt","completed","success","2026-06-15T13:20:48Z","2026-06-15T13:27:51Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486081213"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486082074","adapt lab1_f1dead mode=ql_false seed=10","adapt","completed","success","2026-06-15T13:20:48Z","2026-06-15T13:25:28Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486082074"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486081277","adapt lab1_f1dead mode=ql_false seed=2","adapt","completed","success","2026-06-15T13:27:34Z","2026-06-15T13:32:32Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486081277"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486081647","adapt lab1_f1dead mode=ql_false seed=3","adapt","completed","success","2026-06-15T13:20:42Z","2026-06-15T13:26:26Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486081647"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486081616","adapt lab1_f1dead mode=ql_false seed=4","adapt","completed","success","2026-06-15T13:20:47Z","2026-06-15T13:25:17Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486081616"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486083096","adapt lab1_f1dead mode=ql_false seed=5","adapt","completed","success","2026-06-15T13:20:48Z","2026-06-15T13:26:43Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486083096"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486082046","adapt lab1_f1dead mode=ql_false seed=6","adapt","completed","success","2026-06-15T13:27:34Z","2026-06-15T13:36:04Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486082046"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486081801","adapt lab1_f1dead mode=ql_false seed=7","adapt","completed","success","2026-06-15T13:20:41Z","2026-06-15T13:27:39Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486081801"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486081908","adapt lab1_f1dead mode=ql_false seed=8","adapt","completed","success","2026-06-15T13:20:41Z","2026-06-15T13:24:38Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486081908"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486082605","adapt lab1_f1dead mode=ql_false seed=9","adapt","completed","success","2026-06-15T13:26:52Z","2026-06-15T13:31:00Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486082605"
"2026-06-17T14:45:20.3244235Z","27547019772","Phase 2 (fault detection, blacklist, re-learn)","985c7a18558b6d5cb96c018a395b0aae6389f410","2","81486079985","adapt lab1_f1dead mode=ql_true seed=1","adapt","completed","success","2026-06-15T13:25:20Z","2026-06-15T13:32:11Z","https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27547019772/job/81486079985"
