source_id,stage,product_scope,evidence_label,source_type,provenance_class,verification_status,ref_or_run,path,locator,hash_algorithm,content_hash,file_count,byte_count,observed_at_utc,description,limitations
SRC-0001,0,AUDIT_HISTORY,DIRECT,repository_snapshot,COMMITTED,VERIFIED,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2,.,git:2aab559a027468b929cdb5bc83fc402519ccefb2,GIT_SHA,2aab559a027468b929cdb5bc83fc402519ccefb2,,,2026-06-15T11:14:16.7677252Z,Stage 0 repository identity and worktree baseline,Normal status could not inspect .pytest_cache
SRC-0002,0,AUDIT_HISTORY,DIRECT,user_requirement,DOCUMENTATION,UNVERIFIED_EXTERNAL,conversation-2026-06-15,,conversation:user request for Stage 0,NONE,,,,2026-06-15T11:14:16.7677252Z,Advisor quotations and thesis goals supplied by user,No immutable original advisor-authored file identified yet
SRC-0003,0,MANUSCRIPT_EVIDENCE,DIRECT,writing_guide,EXTERNAL_LOCAL,HASHED,local,C:/Users/esrad/Downloads/0-Writing_a_Computer_Science_Thesis.pdf,local-sha256:5101cd175a9192790ca0c91f7b4be7735ca6e5a09ebe2fae5d9b4cefbcff5e57:C:/Users/esrad/Downloads/0-Writing_a_Computer_Science_Thesis.pdf,SHA256,5101cd175a9192790ca0c91f7b4be7735ca6e5a09ebe2fae5d9b4cefbcff5e57,1,308317,2026-06-15T11:14:16.7677252Z,Computer science thesis writing guide,External local file rather than repository content
SRC-0004,0,MANUSCRIPT_EVIDENCE,DIRECT,thesis_template,EXTERNAL_LOCAL,HASHED,local,C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/thesis.tex,local-sha256:e307ade8278833b506bbc44ac8a0f15f6fd508233cbf6de19d5c5b9396008ea3:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/thesis.tex,SHA256,e307ade8278833b506bbc44ac8a0f15f6fd508233cbf6de19d5c5b9396008ea3,1,4676,2026-06-15T11:14:16.7677252Z,Main LaTeX thesis template,External local file and currently outside writable workspace
SRC-0005,0,MANUSCRIPT_EVIDENCE,DIRECT,thesis_template_chapter,EXTERNAL_LOCAL,HASHED,local,C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/01_chapter1.tex,local-sha256:da0e8717e7a3d474eaf268040d1d3fb524c0413c830f4afdabcc1f0c26485166:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/01_chapter1.tex,SHA256,da0e8717e7a3d474eaf268040d1d3fb524c0413c830f4afdabcc1f0c26485166,1,48,2026-06-15T11:14:16.7677252Z,Introduction placeholder,None
SRC-0006,0,MANUSCRIPT_EVIDENCE,DIRECT,thesis_template_chapter,EXTERNAL_LOCAL,HASHED,local,C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/02_chapter2.tex,local-sha256:fef5a72e4a35c44ba72f4ef81c0adf657d2038ad1706654dbf06157a362faa81:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/02_chapter2.tex,SHA256,fef5a72e4a35c44ba72f4ef81c0adf657d2038ad1706654dbf06157a362faa81,1,99,2026-06-15T11:14:16.7677252Z,Background and related work placeholder,None
SRC-0007,0,MANUSCRIPT_EVIDENCE,DIRECT,thesis_template_chapter,EXTERNAL_LOCAL,HASHED,local,C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/03_chapter3.tex,local-sha256:278fff839b8eab0c7fa810f94acc960a20d5e2daa6fab34fd3792f3783a38474:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/03_chapter3.tex,SHA256,278fff839b8eab0c7fa810f94acc960a20d5e2daa6fab34fd3792f3783a38474,1,50,2026-06-15T11:14:16.7677252Z,Contributions placeholder,None
SRC-0008,0,MANUSCRIPT_EVIDENCE,DIRECT,thesis_template_chapter,EXTERNAL_LOCAL,HASHED,local,C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/04_chapter4.tex,local-sha256:9253ea9c86c28f37e24ebc51405931292d7b0d5686e77975dc388d6354b9a5b0:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/04_chapter4.tex,SHA256,9253ea9c86c28f37e24ebc51405931292d7b0d5686e77975dc388d6354b9a5b0,1,44,2026-06-15T11:14:16.7677252Z,Evaluation placeholder,None
SRC-0009,0,MANUSCRIPT_EVIDENCE,DIRECT,thesis_template_chapter,EXTERNAL_LOCAL,HASHED,local,C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/05_chapter5.tex,local-sha256:cf218913c4698a8c5bfaf6b25381d8f804a964da7d9d032faeaaf48ab16b53f3:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/05_chapter5.tex,SHA256,cf218913c4698a8c5bfaf6b25381d8f804a964da7d9d032faeaaf48ab16b53f3,1,46,2026-06-15T11:14:16.7677252Z,Conclusions placeholder,None
SRC-0010,0,MANUSCRIPT_EVIDENCE,DIRECT,thesis_template_chapter,EXTERNAL_LOCAL,HASHED,local,C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/abstract.tex,local-sha256:8ecddd6b428abf6e1535ba6f14c4560bdfccae017b265cc2d783a1536f7d1b2b:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/abstract.tex,SHA256,8ecddd6b428abf6e1535ba6f14c4560bdfccae017b265cc2d783a1536f7d1b2b,1,59,2026-06-15T11:14:16.7677252Z,Abstract placeholder,None
SRC-0011,0,MANUSCRIPT_EVIDENCE,DIRECT,thesis_template_chapter,EXTERNAL_LOCAL,HASHED,local,C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/appendix.tex,local-sha256:6203cfe7864a04577cf766f12fa28991ac2336f82a0958f2f38f952c3b19579d:C:/Users/esrad/Downloads/Template-ThesisReport/Template-ThesisReport/content/appendix.tex,SHA256,6203cfe7864a04577cf766f12fa28991ac2336f82a0958f2f38f952c3b19579d,1,18,2026-06-15T11:14:16.7677252Z,Appendix placeholder,None
SRC-0012,0,AUDIT_HISTORY,DIRECT,change_document,COMMITTED,ADDRESSABLE,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2,docs/PHASE1_TO_PHASE2_CHANGES.md,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2:docs/PHASE1_TO_PHASE2_CHANGES.md,GIT_SHA,2aab559a027468b929cdb5bc83fc402519ccefb2,,,2026-06-15T11:14:16.7677252Z,Phase 1 to Phase 2 implementation and result chronology,Contains interpretation that must later be checked against primary evidence
SRC-0013,0,AUDIT_HISTORY,DIRECT,preregistration,COMMITTED,ADDRESSABLE,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2,docs/pre_registration.md,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2:docs/pre_registration.md,GIT_SHA,2aab559a027468b929cdb5bc83fc402519ccefb2,,,2026-06-15T11:14:16.7677252Z,Pre-registration and registered deviations,Requires chronological audit of when each section entered Git history
SRC-0014,0,AUDIT_HISTORY,DIRECT,workflow,COMMITTED,ADDRESSABLE,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2,.github/workflows/phase1.yml,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2:.github/workflows/phase1.yml:GITHUB_ACTIONS,GIT_SHA,2aab559a027468b929cdb5bc83fc402519ccefb2,,,2026-06-15T11:14:16.7677252Z,Phase 1 workflow; consolidated artifact name at lines 559-562,Run-specific workflow content must be read at each run head SHA
SRC-0015,0,AUDIT_HISTORY,DIRECT,workflow,COMMITTED,ADDRESSABLE,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2,.github/workflows/phase2.yml,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2:.github/workflows/phase2.yml:GITHUB_ACTIONS,GIT_SHA,2aab559a027468b929cdb5bc83fc402519ccefb2,,,2026-06-15T11:14:16.7677252Z,Phase 2 workflow; consolidated artifact name at lines 366-370,Current content differs from earlier Phase 2 run head SHAs
SRC-0016,0,AUDIT_HISTORY,DIRECT,workflow,COMMITTED,ADDRESSABLE,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2,.github/workflows/sweep-paper.yml,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2:.github/workflows/sweep-paper.yml:GITHUB_ACTIONS,GIT_SHA,2aab559a027468b929cdb5bc83fc402519ccefb2,,,2026-06-15T11:14:16.7677252Z,Paper sweep workflow; consolidated artifact name at lines 529-532,Run-specific workflow content must be read at each run head SHA
SRC-0017,0,AUDIT_HISTORY,DIRECT,meeting_document,COMMITTED,ADDRESSABLE,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2,docs/thesis_meeting_2026-05-22.tex,phase2-fault-detection@2aab559a027468b929cdb5bc83fc402519ccefb2:docs/thesis_meeting_2026-05-22.tex,GIT_SHA,2aab559a027468b929cdb5bc83fc402519ccefb2,,,2026-06-15T11:14:16.7677252Z,Pre-pivot meeting document and old research framing,Not the original advisor-authored notes supplied in the user request
