"row_id","observed_at_utc","path","path_kind","git_state","evidence_label","provenance_class","hash_algorithm","sha256","byte_count","line_count","locator","classification_basis","limitations"
"S0R2-FH-001","2026-06-17T06:51:11.3582240Z","docs/PHASE1_TO_PHASE2_CHANGES.md","stage_specific_documentation","tracked_modified","DIRECT","DOCUMENTATION","SHA256","6885096decf6080cafec4f2c17f01197d18e7e400bc0fa5ccb9c6b0e65136943","119463","1579","local-sha256:6885096decf6080cafec4f2c17f01197d18e7e400bc0fa5ccb9c6b0e65136943:docs/PHASE1_TO_PHASE2_CHANGES.md:L1-L1579","Dirty tracked file in current worktree.","Contains empirical result prose and numeric values that were not analyzed in this refresh; treat as documentation until row-extracted against primary sources."
"S0R2-FH-002","2026-06-17T06:51:11.3582240Z","docs/PHASE2_TO_PHASE3_CHANGES.md","stage_specific_documentation","tracked_modified","DIRECT","DOCUMENTATION","SHA256","0d30b28c54c818173f40e817480682d62c67b267bfbf018d6dd9233ee311a4e4","57037","709","local-sha256:0d30b28c54c818173f40e817480682d62c67b267bfbf018d6dd9233ee311a4e4:docs/PHASE2_TO_PHASE3_CHANGES.md:L1-L709","Dirty tracked file in current worktree.","Contains empirical result prose and numeric values that were not analyzed in this refresh; treat as documentation until row-extracted against primary sources."
"S0R2-FH-003","2026-06-17T06:51:11.3582240Z","paper_notes/TREE_SHA256_V1.mjs","analysis_script","untracked","DIRECT","DOCUMENTATION","SHA256","c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd","1949","76","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","Tree hashing script used for this refresh.","Script itself is uncommitted; protocol defines algorithm in 00_PROTOCOL.md."
"S0R2-FH-004","2026-06-17T06:51:11.3582240Z","dynamics_delays_false_lab2_slow.csv","phase3_root_runtime_file","ignored","DIRECT","LOCAL_GENERATED","SHA256","ca3260d35c5f01835e55610fc0c3a7683856b86e0f783ea58129f6e68a7a2f79","308","5","local-sha256:ca3260d35c5f01835e55610fc0c3a7683856b86e0f783ea58129f6e68a7a2f79:dynamics_delays_false_lab2_slow.csv:L1-L5","Root-level Phase 3 runtime artifact matched gitignore patterns and was hashable locally.","No command/run identity established; prefer run-scoped Actions/result-branch copies."
"S0R2-FH-005","2026-06-17T06:51:11.3582240Z","dynamics_delays_false_lab3_slow.csv","phase3_root_runtime_file","ignored","DIRECT","LOCAL_GENERATED","SHA256","706f8d2731fcb66564097e466fa6240a4c6e4124dcc878895aa2ee61a00be8b6","367","6","local-sha256:706f8d2731fcb66564097e466fa6240a4c6e4124dcc878895aa2ee61a00be8b6:dynamics_delays_false_lab3_slow.csv:L1-L6","Root-level Phase 3 runtime artifact matched gitignore patterns and was hashable locally.","No command/run identity established; prefer run-scoped Actions/result-branch copies."
"S0R2-FH-006","2026-06-17T06:51:11.3582240Z","dynamics_delays_true_lab2_slow.csv","phase3_root_runtime_file","ignored","DIRECT","LOCAL_GENERATED","SHA256","37d1ba8562ff67c034dde86fde6ebaca23aeb150a1a503459c87c105dec970f4","303","5","local-sha256:37d1ba8562ff67c034dde86fde6ebaca23aeb150a1a503459c87c105dec970f4:dynamics_delays_true_lab2_slow.csv:L1-L5","Root-level Phase 3 runtime artifact matched gitignore patterns and was hashable locally.","No command/run identity established; prefer run-scoped Actions/result-branch copies."
"S0R2-FH-007","2026-06-17T06:51:11.3582240Z","dynamics_delays_true_lab3_slow.csv","phase3_root_runtime_file","ignored","DIRECT","LOCAL_GENERATED","SHA256","3081eed4b45cbdc9c0436c7c8ef3512d01cc183694e861b532e4bc774a5f4d3d","367","6","local-sha256:3081eed4b45cbdc9c0436c7c8ef3512d01cc183694e861b532e4bc774a5f4d3d:dynamics_delays_true_lab3_slow.csv:L1-L6","Root-level Phase 3 runtime artifact matched gitignore patterns and was hashable locally.","No command/run identity established; prefer run-scoped Actions/result-branch copies."
"S0R2-FH-008","2026-06-17T06:51:11.3582240Z","learned_dynamics_false_lab2_slow.ttl","phase3_root_runtime_file","ignored","DIRECT","LOCAL_GENERATED","SHA256","ab24a3f574658a29b0dfd1e2fb922d147b0e7b1868a228e16b7aa892e680ef62","2294","48","local-sha256:ab24a3f574658a29b0dfd1e2fb922d147b0e7b1868a228e16b7aa892e680ef62:learned_dynamics_false_lab2_slow.ttl:L1-L48","Root-level Phase 3 runtime artifact matched gitignore patterns and was hashable locally.","No command/run identity established; prefer run-scoped Actions/result-branch copies."
"S0R2-FH-009","2026-06-17T06:51:11.3582240Z","learned_dynamics_false_lab3_slow.ttl","phase3_root_runtime_file","ignored","DIRECT","LOCAL_GENERATED","SHA256","506b3803aa344178935a8c5d0fdaf563596dea39b9737b734804310a369a2e20","2785","58","local-sha256:506b3803aa344178935a8c5d0fdaf563596dea39b9737b734804310a369a2e20:learned_dynamics_false_lab3_slow.ttl:L1-L58","Root-level Phase 3 runtime artifact matched gitignore patterns and was hashable locally.","No command/run identity established; prefer run-scoped Actions/result-branch copies."
"S0R2-FH-010","2026-06-17T06:51:11.3582240Z","learned_dynamics_true_lab2_slow.ttl","phase3_root_runtime_file","ignored","DIRECT","LOCAL_GENERATED","SHA256","316250451b4bfc530211a152cc4a013b6d8739fb3e65ac601c1ce456213a5f61","2289","48","local-sha256:316250451b4bfc530211a152cc4a013b6d8739fb3e65ac601c1ce456213a5f61:learned_dynamics_true_lab2_slow.ttl:L1-L48","Root-level Phase 3 runtime artifact matched gitignore patterns and was hashable locally.","No command/run identity established; prefer run-scoped Actions/result-branch copies."
