"row_id","observed_at_utc","path","path_kind","git_visibility","evidence_label","provenance_class","verification_status","hash_algorithm","content_hash","file_count","byte_count","first_path","last_path","classification_basis","limitations","analysis_script_ref","exact_command"
"S0R2-TH-001","2026-06-17T06:51:11.3582240Z","analysis/out_full","result_root","untracked","DIRECT","LOCAL_GENERATED","HASHED_CURRENT","TREE-SHA256-V1","4e29a5214ea3d152e7e09dd859a7dffe4d4fbc86f836f29edc8a3dda21d4854d","2","70","summary_table.csv","weakness_heatmap.csv","Local analysis output root present as normal untracked files.","Generation command and run identity remain NOT FOUND; do not use as manuscript evidence without primary-source tracing.","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","node paper_notes\TREE_SHA256_V1.mjs analysis/out_full"
"S0R2-TH-002","2026-06-17T06:51:11.3582240Z","analysis/out_kg_only","result_root","untracked","DIRECT","LOCAL_GENERATED","HASHED_CURRENT","TREE-SHA256-V1","4e29a5214ea3d152e7e09dd859a7dffe4d4fbc86f836f29edc8a3dda21d4854d","2","70","summary_table.csv","weakness_heatmap.csv","Local analysis output root present as normal untracked files.","Generation command and run identity remain NOT FOUND; do not use as manuscript evidence without primary-source tracing.","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","node paper_notes\TREE_SHA256_V1.mjs analysis/out_kg_only"
"S0R2-TH-003","2026-06-17T06:51:11.3582240Z","benchmark/results_full_seed1","result_root","untracked","DIRECT","LOCAL_GENERATED","HASHED_CURRENT","TREE-SHA256-V1","be0d54fb7873e9d06b9873380106e5fd5db5c93e5a690d3d69a5b6b7dc66f382","1398","3436890371","custom8/ql_false/bench_step_log_ql_false.csv","lab3/training_stereo_true/TRAINING_OK.json","Accumulated local benchmark output root present as normal untracked files.","No single run manifest or unified generation command identified.","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","node paper_notes\TREE_SHA256_V1.mjs benchmark/results_full_seed1"
"S0R2-TH-004","2026-06-17T06:51:11.3582240Z","phase1_xzone_asis","result_root","untracked","DIRECT","ACTIONS_DERIVED","DECLARED_MAPPING_NOT_ZIP_VERIFIED_CURRENT_HASH","TREE-SHA256-V1","75a9c8ccea76c0bd52cef6cd0dad34bf2f4ffe8c13501690b59f8cbe186b52a9","2520","50096910","analysis/out/first_goal_table.csv","qtable_final_stereotypes_true_lab3.csv","Mapped by prior ledgers to GitHub Actions run 27440842780.","Local tree identity to the artifact ZIP digest remains NOT FOUND.","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","node paper_notes\TREE_SHA256_V1.mjs phase1_xzone_asis"
"S0R2-TH-005","2026-06-17T06:51:11.3582240Z","phase1_xzone_bumped","result_root","untracked","DIRECT","ACTIONS_DERIVED","DECLARED_MAPPING_NOT_ZIP_VERIFIED_CURRENT_HASH","TREE-SHA256-V1","e9d706b2f7828bb65bdb9d091269681b0f9acddd263c7d438777340b8a5b5343","2520","50004016","analysis/out/first_goal_table.csv","qtable_final_stereotypes_true_lab3.csv","Mapped by prior ledgers to GitHub Actions run 27461188614.","Local tree identity to the artifact ZIP digest remains NOT FOUND.","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","node paper_notes\TREE_SHA256_V1.mjs phase1_xzone_bumped"
"S0R2-TH-006","2026-06-17T06:51:11.3582240Z","phase1_xzone_bumped_s11_20","result_root","untracked","DIRECT","ACTIONS_DERIVED","DECLARED_MAPPING_NOT_ZIP_VERIFIED_CURRENT_HASH","TREE-SHA256-V1","f80a117fac11c1db5ce3d545b04a4e418590f97c66d3ccc8ff44c6c8cc71152e","2474","49213186","analysis/out/first_goal_table.csv","benchmark/results_seed20/lab3/training_stereo_true/TRAINING_OK.json","Mapped by prior ledgers to GitHub Actions run 27462446044.","Local tree identity to the artifact ZIP digest remains NOT FOUND.","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","node paper_notes\TREE_SHA256_V1.mjs phase1_xzone_bumped_s11_20"
"S0R2-TH-007","2026-06-17T06:51:11.3582240Z","phase1_xzone_ablation","result_root","untracked","DIRECT","ACTIONS_DERIVED","DECLARED_MAPPING_NOT_ZIP_VERIFIED_CURRENT_HASH","TREE-SHA256-V1","7c114de88374bb003264a994a50db753edc89113258a4a9a1d7f64831911c638","2520","50690039","analysis/out/first_goal_table.csv","qtable_final_stereotypes_true_lab3.csv","Mapped by prior ledgers to GitHub Actions run 27464846574.","Local tree identity to the artifact ZIP digest remains NOT FOUND.","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","node paper_notes\TREE_SHA256_V1.mjs phase1_xzone_ablation"
"S0R2-TH-008","2026-06-17T06:51:11.3582240Z","phase2_results","result_root","untracked","DIRECT","ACTIONS_DERIVED","DECLARED_MAPPING_NOT_ZIP_VERIFIED_CURRENT_HASH","TREE-SHA256-V1","95744977ac3f2399a4c068a741bfe5d18051c2a230467f5a5c1d2269778eb1ff","92","12938","analysis/out/phase2_recovery_ci.csv","recovery_root/seed5/recovery_stereotypes_true_lab3_f2inv.csv","Mapped by prior ledgers to GitHub Actions run 27470382799.","Local tree identity to the artifact ZIP digest remains NOT FOUND.","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","node paper_notes\TREE_SHA256_V1.mjs phase2_results"
"S0R2-TH-009","2026-06-17T06:51:11.3582240Z","phase2_results_v2","result_root","untracked","DIRECT","ACTIONS_DERIVED","DECLARED_MAPPING_NOT_ZIP_VERIFIED_CURRENT_HASH","TREE-SHA256-V1","5354fe2bf014bca618e9eceaed3e40957cda7f85bbf53e5e75f7893bfde99a94","182","28532","analysis/out/phase2_recovery_ci.csv","recovery_root/seed9/recovery_stereotypes_true_lab3_f2inv.csv","Mapped by prior ledgers to GitHub Actions run 27499405083.","Local tree identity to the artifact ZIP digest remains NOT FOUND.","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","node paper_notes\TREE_SHA256_V1.mjs phase2_results_v2"
"S0R2-TH-010","2026-06-17T06:51:11.3582240Z","phase2_results_v3","result_root","untracked","DIRECT","ACTIONS_DERIVED","DECLARED_MAPPING_NOT_ZIP_VERIFIED_CURRENT_HASH","TREE-SHA256-V1","2b6c7b9292b7ae8ce2a9cbcbc0c44bc34945c57d2e9965e977b5dc5c2e676bf1","362","9767277","analysis/out/phase2_recovery_ci.csv","recovery_root/seed9/recovery_stereotypes_true_lab3_f2inv.csv","Mapped by prior ledgers to GitHub Actions run 27507087176.","Local tree identity to the artifact ZIP digest remains NOT FOUND.","local-sha256:c51fa5b147f93587839482e15e695dcc65b550005084fc370097028005820fdd:paper_notes/TREE_SHA256_V1.mjs:L1-L76","node paper_notes\TREE_SHA256_V1.mjs phase2_results_v3"
