profile,mode,n_runs,defect_component,well_posed_recovery,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.0,0,0.0,128.2,98.3,161.2,3.1,2.7,3.5
lab1_f1dead,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.0,0,0.0,163.0,145.1,182.2,3.4,2.7,4.0
lab2_f1dead,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,0.7,10,7,0.045,0,0.0,352.85714285714283,230.28571428571428,498.42857142857144,5.9,3.9,8.102499999999964
lab2_f1dead,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.07,0,0.0,408.4,356.0975,466.4,3.7,2.9,4.6
lab2_f1inv,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,0.7,10,7,0.025,0,0.0,516.1428571428571,317.42857142857144,832.0,5.1,3.6,7.0
lab2_f1inv,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.03,0,0.0,452.1,385.6,516.3024999999999,3.7,3.0,4.6
lab2_f2dead,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.055,0,0.0,nan,nan,nan,5.5,4.2,6.9
lab2_f2dead,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.045,0,0.0,nan,nan,nan,3.4,2.9,3.9
lab2_f2inv,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.005,0,0.0,nan,nan,nan,5.7,4.5,7.0
lab2_f2inv,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.025,0,0.0,nan,nan,nan,4.2,3.5,5.0
lab3_f1dead,ql_false,10,http://example.org/was#SetZ1Light,True,1.0,1.0,10,10,0.925,10,1.0,363.4,288.5,439.5074999999999,28.5,16.597500000000004,42.40249999999996
lab3_f1dead,ql_true,10,http://example.org/was#SetZ1Light,True,1.0,1.0,10,10,0.91,10,1.0,150.5,121.6975,183.5,45.4,30.4,62.5
lab3_f1inv,ql_false,10,http://example.org/was#SetZ1Light,True,1.0,1.0,10,10,0.445,3,0.3,318.8,245.6,418.80249999999995,18.6,13.0,25.3
lab3_f1inv,ql_true,10,http://example.org/was#SetZ1Light,True,1.0,0.9,10,9,0.425,1,0.1,364.55555555555554,267.4388888888889,459.55555555555554,144.8,93.5,206.9
lab3_f2dead,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.7,10,7,0.355,0,0.0,2510.285714285714,2240.0,2806.1428571428573,9.6,7.4,11.9
lab3_f2dead,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.9,10,9,0.355,0,0.0,2067.3333333333335,1748.9972222222223,2274.6694444444443,8.5,6.9,10.0
lab3_f2inv,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.175,0,0.0,nan,nan,nan,9.3,6.7,12.2
lab3_f2inv,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.2,0,0.0,nan,nan,nan,12.9,10.2,15.6
