Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,2,100.00,54.00,1,0.300000,0,0
1,20,-55.00,80.00,0,0.299100,3,17
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,20,-9.00,126.00,0,0.296416,4,16
5,20,-134.00,-83.00,0,0.295527,13,11
6,20,-19.00,106.00,0,0.294640,6,14
7,20,-40.00,80.00,0,0.293756,2,19
8,3,89.00,99.00,1,0.292875,1,1
9,1,50.00,4.00,1,0.291997,0,0
10,3,89.00,58.00,1,0.291121,1,1
11,13,28.00,52.00,1,0.290247,1,11
12,4,100.00,100.00,1,0.289376,1,0
13,3,28.00,12.00,1,0.288508,2,0
14,7,65.00,74.00,1,0.287643,3,0
15,1,50.00,4.00,1,0.286780,0,0
16,2,100.00,54.00,1,0.285920,0,0
17,0,0.00,0.00,1,0.285062,0,0
18,2,100.00,100.00,1,0.284207,0,0
19,1,50.00,4.00,1,0.283354,0,0
20,3,89.00,99.00,1,0.282504,1,0
21,2,39.00,8.00,1,0.281656,1,0
22,1,50.00,50.00,1,0.280811,0,0
23,0,0.00,0.00,1,0.279969,0,0
24,2,100.00,54.00,1,0.279129,0,0
25,1,50.00,4.00,1,0.278292,0,0
26,6,76.00,70.00,1,0.277457,2,0
27,0,0.00,0.00,1,0.276624,0,0
28,3,89.00,99.00,1,0.275795,1,1
29,1,50.00,4.00,1,0.274967,0,0
30,2,100.00,54.00,1,0.274142,0,0
31,2,39.00,8.00,1,0.273320,1,0
32,4,78.00,62.00,1,0.272500,2,1
33,0,0.00,0.00,1,0.271682,0,0
34,7,77.00,51.00,1,0.270867,4,2
35,1,50.00,4.00,1,0.270055,0,0
36,2,100.00,54.00,1,0.269245,0,0
37,5,56.00,76.00,1,0.268437,3,1
38,3,89.00,99.00,1,0.267632,1,1
39,1,50.00,4.00,1,0.266829,0,0
40,2,100.00,54.00,1,0.266028,0,0
41,2,39.00,8.00,1,0.265230,1,0
