Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,2,100.00,54.00,1,0.300000,0,0
1,6,76.00,20.00,1,0.299100,4,4
2,15,-69.00,6.00,1,0.298203,12,2
3,20,-85.00,44.00,0,0.297308,10,14
4,3,94.00,48.00,1,0.296416,0,1
5,20,-65.00,96.00,0,0.295527,5,19
6,20,-58.00,78.00,0,0.294640,7,12
7,0,0.00,0.00,1,0.293756,0,0
8,2,100.00,100.00,1,0.292875,0,0
9,20,-40.00,88.00,0,0.291997,8,16
10,2,100.00,54.00,1,0.291121,0,0
11,2,100.00,54.00,1,0.290247,0,0
12,0,0.00,0.00,1,0.289376,0,0
13,0,0.00,0.00,1,0.288508,0,0
14,20,-66.00,102.00,0,0.287643,8,6
15,20,-58.00,118.00,0,0.286780,5,12
16,20,-58.00,90.00,0,0.285920,5,14
17,20,-15.00,101.00,0,0.285062,6,14
18,2,100.00,100.00,1,0.284207,0,0
19,20,5.00,90.00,0,0.283354,6,14
20,3,89.00,58.00,1,0.282504,1,1
21,3,99.00,43.00,1,0.281656,1,1
22,20,-29.00,101.00,0,0.280811,3,16
23,7,65.00,75.00,1,0.279969,5,3
24,20,22.00,102.00,0,0.279129,4,7
25,20,-35.00,110.00,0,0.278292,3,13
26,20,-9.00,62.00,1,0.277457,10,7
27,20,-82.00,58.00,0,0.276624,4,15
28,8,81.00,70.00,1,0.275795,3,1
29,4,78.00,57.00,1,0.274967,2,1
30,2,100.00,54.00,1,0.274142,0,0
31,2,100.00,54.00,1,0.273320,0,0
32,1,50.00,4.00,1,0.272500,0,0
33,20,-26.00,34.00,0,0.271682,4,16
34,5,72.00,66.00,1,0.270867,2,2
35,14,35.00,94.00,1,0.270055,4,8
36,20,-24.00,121.00,0,0.269245,5,11
37,20,-27.00,73.00,0,0.268437,4,2
38,2,100.00,100.00,1,0.267632,0,0
39,3,89.00,58.00,1,0.266829,1,0
40,2,100.00,54.00,1,0.266028,0,0
41,6,98.00,93.00,1,0.265230,2,1
42,20,-125.00,27.00,0,0.300000,14,13
43,20,-50.00,172.00,0,0.299100,3,15
44,8,94.00,78.00,1,0.298203,0,0
45,20,-50.00,103.00,0,0.297308,4,16
46,20,-55.00,167.00,0,0.296416,3,17
47,20,-40.00,47.00,0,0.295527,3,18
48,3,99.00,89.00,1,0.294640,1,1
49,20,23.00,118.00,0,0.293756,2,16
50,2,100.00,54.00,1,0.292875,0,0
51,20,-100.00,53.00,0,0.291997,9,15
52,0,0.00,0.00,1,0.291121,0,0
53,1,50.00,4.00,1,0.290247,0,0
54,5,87.00,51.00,1,0.289376,1,1
55,20,-55.00,126.00,0,0.288508,3,15
56,20,-25.00,156.00,0,0.287643,2,14
57,0,0.00,0.00,1,0.286780,0,0
58,2,100.00,100.00,1,0.285920,0,0
59,20,0.00,126.00,0,0.285062,5,14
60,2,100.00,54.00,1,0.284207,0,0
61,20,-140.00,-104.00,0,0.283354,17,10
62,6,76.00,45.00,1,0.282504,3,2
63,0,0.00,0.00,1,0.281656,0,0
64,3,99.00,58.00,1,0.280811,0,0
65,20,-35.00,118.00,0,0.279969,2,16
66,20,-105.00,151.00,0,0.279129,9,7
67,0,0.00,0.00,1,0.278292,0,0
68,2,100.00,100.00,1,0.277457,0,0
69,20,3.00,118.00,0,0.276624,4,14
70,2,100.00,54.00,1,0.275795,0,0
71,20,-100.00,-16.00,0,0.274967,13,10
72,1,50.00,50.00,1,0.274142,0,0
73,20,-100.00,103.00,0,0.273320,8,14
74,20,-22.00,54.00,0,0.272500,8,7
75,20,-50.00,67.00,0,0.271682,4,17
76,20,-25.00,164.00,0,0.270867,1,16
77,20,23.00,118.00,0,0.270055,2,15
78,2,100.00,100.00,1,0.269245,0,0
79,20,-33.00,57.00,0,0.268437,3,15
80,2,100.00,54.00,1,0.267632,0,0
81,20,-70.00,11.00,0,0.266829,10,11
82,1,50.00,50.00,1,0.266028,0,0
83,20,-23.00,126.00,0,0.265230,1,17
84,20,-31.00,50.00,0,0.264434,7,6
85,20,-70.00,59.00,0,0.263641,6,16
86,20,-30.00,118.00,0,0.262850,2,16
87,0,0.00,0.00,1,0.262062,0,0
88,2,100.00,100.00,1,0.261275,0,0
89,20,-2.00,118.00,0,0.260492,4,14
90,2,100.00,54.00,1,0.259710,0,0
91,20,-90.00,105.00,0,0.258931,7,14
92,20,2.00,80.00,0,0.258154,3,17
93,0,0.00,0.00,1,0.257380,0,0
94,13,59.00,98.00,1,0.256608,3,1
95,20,-70.00,164.00,0,0.255838,6,13
96,20,-35.00,141.00,0,0.255070,4,14
97,20,-75.00,83.00,0,0.254305,7,14
98,2,100.00,100.00,1,0.253542,0,0
99,20,18.00,126.00,0,0.252781,2,14
100,3,89.00,58.00,1,0.252023,1,1
101,20,-50.00,111.00,0,0.251267,3,16
102,0,0.00,0.00,1,0.250513,0,0
103,0,0.00,0.00,1,0.249762,0,0
104,18,29.00,118.00,1,0.249012,5,5
105,20,-35.00,110.00,0,0.248265,3,14
106,20,-60.00,106.00,0,0.247521,8,13
107,0,0.00,0.00,1,0.246778,0,0
108,2,100.00,100.00,1,0.246038,0,0
109,20,13.00,118.00,0,0.245300,2,16
110,4,93.00,37.00,1,0.244564,1,2
111,20,-80.00,109.00,0,0.243830,9,10
112,0,0.00,0.00,1,0.243099,0,0
113,0,0.00,0.00,1,0.242369,0,0
