Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,20,-175.00,101.00,0,0.300000,16,4
1,20,-165.00,49.00,0,0.298800,16,3
2,20,-173.00,126.00,0,0.300000,16,2
3,20,-60.00,41.00,0,0.298800,5,7
4,20,-45.00,138.00,0,0.297605,8,4
5,20,5.00,72.00,0,0.296414,8,5
6,20,-35.00,94.00,0,0.295229,8,5
7,20,-45.00,80.00,0,0.294048,2,5
8,20,6.00,48.00,0,0.292872,9,5
9,20,-10.00,39.00,0,0.291700,6,7
10,0,0.00,0.00,1,0.290533,0,0
11,20,-50.00,-13.00,0,0.289371,10,8
12,20,-90.00,10.00,0,0.288214,5,13
13,2,49.00,8.00,1,0.287061,0,0
14,20,-110.00,118.00,0,0.285913,5,16
15,20,20.00,86.00,0,0.284769,8,4
16,20,-25.00,72.00,0,0.283630,7,2
17,20,15.00,43.00,0,0.282495,7,3
18,20,-40.00,126.00,0,0.281365,10,3
19,20,20.00,106.00,0,0.280240,10,4
20,20,-30.00,72.00,0,0.279119,5,11
21,20,-45.00,51.00,0,0.278002,9,4
22,20,-30.00,62.00,0,0.276890,8,3
23,20,-75.00,48.00,0,0.275783,4,12
24,3,38.00,12.00,1,0.274680,1,2
25,20,-65.00,64.00,0,0.273581,6,9
26,20,0.00,156.00,0,0.272487,8,3
27,20,-30.00,72.00,0,0.271397,10,2
28,20,-35.00,67.00,0,0.270311,9,3
29,20,-36.00,43.00,0,0.269230,11,3
30,20,39.00,35.00,0,0.268153,9,0
31,20,-16.00,57.00,0,0.267080,10,2
32,20,-70.00,126.00,0,0.266012,7,5
33,20,-25.00,40.00,0,0.264948,9,3
34,20,-125.00,18.00,0,0.263888,6,15
35,2,54.00,49.00,1,0.262833,0,0
36,20,-85.00,82.00,0,0.261781,5,12
37,20,-55.00,126.00,0,0.260734,10,6
38,20,-45.00,59.00,0,0.259691,9,4
39,20,-35.00,80.00,0,0.258653,9,4
40,2,49.00,8.00,1,0.257618,0,1
41,20,23.00,98.00,0,0.256587,9,4
42,20,-19.00,26.00,0,0.255561,12,8
43,20,-73.00,80.00,0,0.254539,10,3
44,20,-40.00,-21.00,0,0.253521,10,6
45,20,-95.00,56.00,0,0.252507,6,9
46,20,-40.00,121.00,0,0.251497,7,6
47,20,-95.00,105.00,0,0.250491,4,14
48,20,20.00,156.00,0,0.249489,8,1
49,20,-20.00,72.00,0,0.248491,8,4
50,20,20.00,80.00,0,0.247497,9,1
51,20,-19.00,80.00,0,0.246507,9,2
52,20,34.00,23.00,0,0.245521,8,2
53,20,-19.00,80.00,0,0.244539,9,3
54,20,-38.00,106.00,0,0.243560,8,4
55,20,-55.00,13.00,0,0.242586,12,5
56,20,-75.00,33.00,0,0.241616,5,12
57,20,-45.00,80.00,0,0.240649,10,4
58,20,-80.00,97.00,0,0.239687,4,13
59,20,-30.00,148.00,0,0.238728,9,2
60,20,10.00,72.00,0,0.237773,9,3
61,20,20.00,80.00,0,0.236822,8,2
62,20,-10.00,78.00,0,0.235875,9,5
63,20,39.00,35.00,0,0.234931,9,0
64,20,32.00,80.00,0,0.233992,9,3
65,20,-80.00,48.00,0,0.233056,5,10
66,20,-30.00,52.00,0,0.232123,8,3
67,20,-90.00,56.00,0,0.231195,4,14
68,20,-20.00,95.00,0,0.230270,9,4
69,20,-100.00,97.00,0,0.229349,6,10
70,20,-30.00,138.00,0,0.228432,7,4
71,20,20.00,80.00,0,0.227518,8,1
72,20,-25.00,80.00,0,0.226608,8,1
73,20,-90.00,56.00,0,0.225701,7,10
74,20,-29.00,121.00,0,0.224799,10,3
75,20,-16.00,67.00,0,0.223899,9,2
76,20,-30.00,126.00,0,0.223004,6,6
77,20,-50.00,60.00,0,0.222112,10,1
78,20,-90.00,41.00,0,0.221223,6,13
79,20,-95.00,59.00,0,0.220338,4,13
80,20,-80.00,56.00,0,0.219457,4,12
81,20,-30.00,80.00,0,0.218579,9,3
82,20,10.00,72.00,0,0.217705,7,3
83,20,20.00,80.00,0,0.216834,8,2
84,20,12.00,89.00,0,0.215967,9,3
85,20,49.00,121.00,0,0.215103,9,0
