Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,20,-100.00,-140.00,0,0.300000,20,5
1,20,-60.00,-180.00,0,0.298800,18,8
2,20,-195.00,-45.00,0,0.297605,19,4
3,20,-85.00,-155.00,0,0.296414,19,6
4,20,-50.00,-30.00,0,0.300000,12,2
5,20,-45.00,-45.00,0,0.298800,13,3
6,20,-25.00,-125.00,0,0.297605,16,3
7,20,6.00,-65.00,0,0.296414,10,3
8,20,-163.00,28.00,0,0.295229,16,1
9,20,-175.00,-65.00,0,0.294048,19,4
10,20,67.00,-20.00,0,0.292872,9,2
11,20,-200.00,-40.00,0,0.291700,18,4
12,20,-155.00,-85.00,0,0.300000,15,6
13,20,-65.00,-45.00,0,0.298800,11,3
14,20,-105.00,-135.00,0,0.297605,7,17
15,20,-45.00,-5.00,0,0.296414,11,5
16,20,-165.00,-75.00,0,0.295229,19,3
17,20,-15.00,-155.00,0,0.294048,17,5
18,5,-3.00,46.00,1,0.292872,2,2
19,20,26.00,32.00,0,0.291700,9,2
20,20,-145.00,-95.00,0,0.290533,19,3
21,20,-55.00,-105.00,0,0.289371,13,5
22,20,-110.00,-130.00,0,0.288214,10,10
23,20,-125.00,-115.00,0,0.287061,5,17
24,20,-2.00,-23.00,0,0.285913,11,5
25,20,-115.00,-125.00,0,0.284769,5,20
26,20,-10.00,-10.00,0,0.283630,10,6
27,20,-175.00,-65.00,0,0.282495,19,2
28,20,-30.00,-90.00,0,0.281365,12,3
29,20,-65.00,-175.00,0,0.280240,19,4
30,20,28.00,30.00,0,0.279119,9,2
31,20,-50.00,-190.00,0,0.278002,18,5
32,1,50.00,4.00,1,0.276890,0,0
33,20,-105.00,-135.00,0,0.275783,7,15
34,20,-120.00,-120.00,0,0.274680,4,20
35,20,126.00,-45.00,0,0.273581,9,5
36,20,-135.00,-105.00,0,0.272487,3,17
37,20,-30.00,0.00,0,0.271397,11,3
38,20,-70.00,-170.00,0,0.270311,20,2
39,20,10.00,-60.00,0,0.269230,10,2
40,20,5.00,-55.00,0,0.268153,9,5
41,20,13.00,1.00,0,0.267080,12,6
42,20,-110.00,-130.00,0,0.266012,18,3
43,20,-75.00,-165.00,0,0.264948,19,1
44,20,-125.00,-115.00,0,0.263888,3,17
45,20,-115.00,-125.00,0,0.262833,7,16
46,20,-50.00,-30.00,0,0.261781,12,4
47,20,-125.00,-115.00,0,0.260734,9,17
48,20,15.00,5.00,0,0.259691,9,2
49,20,-85.00,-155.00,0,0.258653,19,2
50,20,5.00,-55.00,0,0.257618,9,3
51,20,-75.00,-165.00,0,0.256587,17,7
52,20,-4.00,-21.00,0,0.255561,11,5
53,20,-110.00,-130.00,0,0.254539,18,5
54,20,-35.00,10.00,0,0.253521,9,5
55,20,-105.00,-135.00,0,0.252507,3,18
56,20,-140.00,-100.00,0,0.251497,4,18
57,0,0.00,0.00,1,0.250491,0,0
58,20,-140.00,-100.00,0,0.249489,12,11
59,20,-5.00,5.00,0,0.248491,10,4
60,20,-140.00,-100.00,0,0.247497,16,4
61,20,-30.00,-70.00,0,0.246507,11,3
62,20,-170.00,0.00,0,0.245521,16,4
63,20,33.00,47.00,0,0.244539,9,0
64,20,-85.00,-155.00,0,0.243560,19,4
65,20,-75.00,-165.00,0,0.242586,11,12
66,20,-115.00,-125.00,0,0.241616,11,11
67,20,-105.00,-135.00,0,0.240649,3,20
68,20,-65.00,118.00,0,0.239687,9,2
69,20,-140.00,-100.00,0,0.238728,12,10
70,20,5.00,15.00,0,0.237773,9,2
71,20,-115.00,-125.00,0,0.236822,15,5
72,20,-25.00,-75.00,0,0.235875,12,3
73,20,-80.00,0.00,0,0.234931,10,4
74,20,31.00,-12.00,0,0.233992,10,1
75,20,-130.00,-110.00,0,0.233056,20,2
76,1,4.00,50.00,1,0.232123,0,0
77,20,-95.00,-145.00,0,0.231195,9,14
78,20,-120.00,-120.00,0,0.230270,4,18
79,20,-135.00,-105.00,0,0.229349,15,12
80,20,-160.00,-80.00,0,0.228432,12,11
81,20,-40.00,10.00,0,0.227518,11,3
82,20,-105.00,-135.00,0,0.226608,15,7
83,20,-15.00,-75.00,0,0.225701,11,6
84,20,-120.00,-120.00,0,0.224799,6,16
85,20,31.00,49.00,0,0.223899,9,0
86,20,-110.00,-130.00,0,0.223004,16,7
87,20,-10.00,10.00,0,0.222112,9,4
88,20,-95.00,-145.00,0,0.221223,7,15
89,20,-105.00,-135.00,0,0.220338,11,12
90,20,-20.00,-220.00,0,0.219457,20,1
91,20,-165.00,-75.00,0,0.218579,13,8
92,20,5.00,15.00,0,0.217705,9,2
93,20,-130.00,-110.00,0,0.216834,14,7
94,20,-30.00,-70.00,0,0.215967,11,4
95,20,-110.00,-130.00,0,0.215103,8,16
96,20,13.00,45.00,0,0.214243,10,2
97,20,-145.00,-95.00,0,0.213386,15,8
98,20,113.00,-60.00,0,0.212532,10,0
99,20,-115.00,-125.00,0,0.211682,9,16
100,20,-175.00,-65.00,0,0.210835,13,11
101,2,54.00,49.00,1,0.209992,0,0
102,20,-160.00,-80.00,0,0.209152,10,14
103,20,-20.00,10.00,0,0.208315,10,1
104,20,-130.00,-110.00,0,0.207482,12,8
105,20,5.00,-75.00,0,0.206652,10,3
106,20,-40.00,-60.00,0,0.205825,11,3
107,20,16.00,-19.00,0,0.205002,10,3
108,20,-125.00,-115.00,0,0.204182,15,9
109,20,0.00,80.00,0,0.203365,10,3
110,20,-135.00,-105.00,0,0.202552,11,15
111,20,-135.00,-105.00,0,0.201742,13,10
112,20,111.00,10.00,0,0.200935,10,2
113,20,-135.00,-105.00,0,0.200131,11,18
114,20,10.00,-10.00,0,0.199331,9,4
115,20,-105.00,-135.00,0,0.198533,15,7
116,20,-40.00,-80.00,0,0.197739,12,4
117,20,-110.00,-130.00,0,0.196948,10,14
118,20,23.00,35.00,0,0.196160,10,2
119,20,-120.00,-120.00,0,0.195376,14,6
120,20,-16.00,-180.00,0,0.194594,18,0
121,20,-105.00,-135.00,0,0.193816,11,15
122,20,-140.00,-100.00,0,0.193041,12,10
123,20,108.00,-75.00,0,0.192268,10,2
124,20,-120.00,-120.00,0,0.191499,10,15
125,20,0.00,0.00,0,0.190733,7,4
126,20,-120.00,-120.00,0,0.189970,14,8
127,20,-35.00,-65.00,0,0.189210,10,4
128,20,-125.00,-115.00,0,0.188454,5,16
129,20,28.00,-9.00,0,0.187700,9,1
130,20,-110.00,-130.00,0,0.186949,14,11
131,20,-40.00,-10.00,0,0.186201,10,5
132,20,-90.00,-150.00,0,0.185456,12,14
133,20,-175.00,-65.00,0,0.184715,11,9
134,20,-135.00,-105.00,0,0.183976,3,20
135,20,-90.00,-150.00,0,0.183240,10,11
136,20,-55.00,-15.00,0,0.182507,10,7
137,20,-105.00,-135.00,0,0.181777,15,7
138,20,10.00,-60.00,0,0.181050,10,2
139,20,-70.00,-60.00,0,0.180326,11,2
140,20,-28.00,-14.00,0,0.179604,9,2
141,20,-125.00,-115.00,0,0.178886,13,8
142,20,-19.00,-23.00,0,0.178170,10,2
143,20,-90.00,-150.00,0,0.177458,8,14
144,20,-130.00,-110.00,0,0.176748,14,8
145,20,-30.00,-50.00,0,0.176041,10,2
146,20,-80.00,-160.00,0,0.175337,10,11
147,20,10.00,-40.00,0,0.174635,9,3
148,20,-105.00,-135.00,0,0.173937,13,8
149,20,-10.00,-60.00,0,0.173241,11,5
150,20,-115.00,-125.00,0,0.172548,15,7
151,20,-29.00,-35.00,0,0.171858,11,4
152,20,-130.00,-110.00,0,0.171170,14,8
153,20,5.00,15.00,0,0.170486,9,2
154,20,-140.00,-100.00,0,0.169804,14,8
155,20,-110.00,-130.00,0,0.169125,10,11
156,20,-25.00,15.00,0,0.168448,9,1
157,20,-75.00,-165.00,0,0.167774,13,7
158,20,0.00,0.00,0,0.167103,7,4
159,20,-140.00,-100.00,0,0.166435,14,7
160,20,0.00,-50.00,0,0.165769,10,3
161,20,-40.00,95.00,0,0.165106,10,3
162,20,49.00,-30.00,0,0.164446,10,1
163,20,-120.00,-120.00,0,0.163788,14,7
164,20,-115.00,-125.00,0,0.163133,13,7
165,20,-120.00,-120.00,0,0.162480,12,11
166,20,-115.00,-125.00,0,0.161830,13,8
167,20,-35.00,-95.00,0,0.161183,10,6
168,20,-90.00,-150.00,0,0.160538,12,14
169,20,5.00,-5.00,0,0.159896,8,4
170,20,-130.00,-110.00,0,0.159256,14,7
171,20,10.00,-60.00,0,0.158619,10,2
172,20,-95.00,-145.00,0,0.157985,15,6
173,20,45.00,35.00,0,0.157353,9,0
174,20,-120.00,-120.00,0,0.156723,14,9
175,20,-135.00,-105.00,0,0.156097,3,17
176,20,-140.00,-100.00,0,0.155472,14,8
177,20,-105.00,-135.00,0,0.154850,13,7
178,20,-140.00,-100.00,0,0.154231,12,9
179,20,-135.00,-105.00,0,0.153614,11,13
180,20,10.00,10.00,0,0.153000,8,2
181,20,-115.00,-125.00,0,0.152388,13,8
182,20,5.00,-55.00,0,0.151778,9,3
183,20,-105.00,-135.00,0,0.151171,13,7
184,20,34.00,-15.00,0,0.150566,9,1
185,20,-110.00,-130.00,0,0.149964,14,6
186,2,54.00,49.00,1,0.149364,0,0
187,20,-140.00,-100.00,0,0.148767,12,8
188,20,-100.00,-140.00,0,0.148172,14,6
189,20,5.00,-35.00,0,0.147579,8,3
190,20,-120.00,-120.00,0,0.146989,14,14
191,20,-10.00,10.00,0,0.146401,9,4
192,20,-115.00,-125.00,0,0.145815,15,7
193,20,-10.00,-60.00,0,0.145232,9,5
194,20,-72.00,-75.00,0,0.144651,11,3
195,20,-12.00,-8.00,0,0.144072,10,0
196,20,-125.00,-115.00,0,0.143496,13,7
197,20,-125.00,-115.00,0,0.142922,13,8
198,20,-130.00,-110.00,0,0.142350,16,9
199,20,-125.00,-115.00,0,0.141781,15,7
200,20,-190.00,-30.00,0,0.141214,19,1
201,20,-115.00,-125.00,0,0.140649,13,13
202,20,15.00,5.00,0,0.140086,9,2
203,20,-115.00,-125.00,0,0.139526,13,7
204,20,15.00,-45.00,0,0.138968,10,1
205,20,25.00,33.00,0,0.138412,8,2
206,20,-24.00,-18.00,0,0.137858,9,2
207,20,-120.00,-120.00,0,0.137307,14,7
208,20,-120.00,-120.00,0,0.136758,6,16
209,20,-135.00,-105.00,0,0.136211,15,7
210,20,-110.00,-130.00,0,0.135666,14,9
211,20,-120.00,-120.00,0,0.135123,2,19
212,20,-120.00,-120.00,0,0.134583,12,12
213,20,0.00,0.00,0,0.134044,9,4
214,20,-120.00,-120.00,0,0.133508,14,8
215,20,-40.00,-80.00,0,0.132974,12,4
216,20,-65.00,80.00,0,0.132442,10,1
217,20,10.00,-35.00,0,0.131912,9,5
218,20,-130.00,-110.00,0,0.131385,14,8
219,20,-125.00,-115.00,0,0.130859,13,8
220,20,-130.00,-110.00,0,0.130336,14,8
221,20,-115.00,-125.00,0,0.129814,15,8
222,20,-210.00,31.00,0,0.129295,19,0
223,20,-130.00,-110.00,0,0.128778,14,13
224,20,10.00,-40.00,0,0.128263,9,3
225,20,-105.00,-135.00,0,0.127750,15,5
226,20,15.00,-45.00,0,0.127239,10,1
227,20,-40.00,10.00,0,0.126730,9,3
228,20,-49.00,24.00,0,0.126223,9,5
229,20,-115.00,-125.00,0,0.125718,13,7
230,20,-135.00,-105.00,0,0.125215,15,8
231,20,-120.00,-120.00,0,0.124714,14,6
232,20,-110.00,-130.00,0,0.124215,12,11
233,20,-25.00,-55.00,0,0.123719,11,1
234,20,-115.00,-125.00,0,0.123224,13,12
235,20,5.00,-35.00,0,0.122731,8,3
236,20,-130.00,-110.00,0,0.122240,12,9
237,20,5.00,-55.00,0,0.121751,9,4
238,20,-90.00,-30.00,0,0.121264,12,2
239,20,29.00,29.00,0,0.120779,8,2
240,20,-125.00,-115.00,0,0.120296,13,7
241,20,-25.00,-55.00,0,0.119815,11,2
242,20,-110.00,-130.00,0,0.119335,14,10
243,20,-90.00,-150.00,0,0.118858,14,10
244,20,-25.00,-35.00,0,0.118383,10,2
245,20,-130.00,-110.00,0,0.117909,14,12
246,20,15.00,-45.00,0,0.117437,10,3
247,20,-110.00,-130.00,0,0.116968,14,6
248,20,10.00,-60.00,0,0.116500,10,3
249,20,-60.00,80.00,0,0.116034,10,1
250,20,15.00,21.00,0,0.115570,7,4
251,20,-115.00,-125.00,0,0.115107,13,7
252,20,-130.00,-110.00,0,0.114647,14,10
253,20,-135.00,-105.00,0,0.114188,15,11
254,20,-95.00,-145.00,0,0.113732,13,10
255,20,-75.00,-75.00,0,0.113277,11,3
256,20,-120.00,-120.00,0,0.112824,12,12
257,20,-25.00,15.00,0,0.112372,9,1
258,20,-120.00,-120.00,0,0.111923,14,6
259,20,15.00,-45.00,0,0.111475,10,1
