profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab1,ql_false,40,1.0,0.5,1.125,4.6,0.45,0.0,0.45,0,0,0,0,0
lab1,ql_true,40,1.0,0.5,1.125,4.325,0.425,0.0,0.425,0,0,0,0,0
lab1,rule_based,40,1.0,0.5,1.125,4.3,0.45,0.0,0.45,0,0,0,0,0
lab1,training_stereo_false,,,,,,,,,0,0,0,0,0
lab1,training_stereo_true,,,,,,,,,0,0,0,0,0
lab2,ql_false,80,0.9375,2.5,5.125,12.975,2.425,0.625,3.05,0,0,0,0,0
lab2,ql_true,80,0.9375,2.3125,7.375,12.675,2.275,0.4375,2.7125,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,9.95,0.875,0.25,1.125,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,0.9375,2.3125,5.625,15.45,2.2375,0.5625,2.8,0,0,0,0,0
lab3,ql_true,80,0.9375,2.3125,5.3125,16.8625,2.25,0.5625,2.8125,0,0,0,0,0
lab3,rule_based,80,1.0,0.875,2.6875,12.6875,0.7875,0.3125,1.1,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
