profile,condition,metric,metric_tier,direction,n_seeds,mean,ci_lo,ci_hi
lab1,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab1,ql_true,auc_reward,secondary,higher_better,10,83.20398610408591,82.69667511151688,83.64982776474366
lab1,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab1,ql_true,mean_first_goal,secondary,lower_better,10,35.55,25.8,45.45
lab1,ql_false,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab1,ql_false,auc_reward,secondary,higher_better,10,83.14394688638767,82.43012997690091,83.77944668358339
lab1,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab1,ql_false,mean_first_goal,secondary,lower_better,10,46.8,33.9,60.3
lab2,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab2,ql_true,auc_reward,secondary,higher_better,10,208.45748582860952,205.10604743247748,211.93382085695237
lab2,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab2,ql_true,mean_first_goal,secondary,lower_better,10,1275.9364994780203,1261.364425990031,1291.8607297593567
lab2,ql_false,auc_goal,primary,higher_better,10,0.9829276425475157,0.977459153051017,0.9873128542847616
lab2,ql_false,auc_reward,secondary,higher_better,10,204.99181393797932,200.50300891963988,209.3949045515172
lab2,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab2,ql_false,mean_first_goal,secondary,lower_better,10,1307.9648055895477,1283.5078283666176,1330.4612435056906
lab3,ql_true,auc_goal,primary,higher_better,10,0.9761420473491164,0.9715238412804268,0.9811441313771256
lab3,ql_true,auc_reward,secondary,higher_better,10,236.09309769923306,233.70600325108373,238.38565313437812
lab3,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab3,ql_true,mean_first_goal,secondary,lower_better,10,1386.421253291249,1370.8302091179698,1401.251732865749
lab3,ql_false,auc_goal,primary,higher_better,10,0.9831610536845614,0.9778755418472824,0.9879959986662221
lab3,ql_false,auc_reward,secondary,higher_better,10,220.14071357119042,215.70798016005332,224.43418681227075
lab3,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab3,ql_false,mean_first_goal,secondary,lower_better,10,1343.8546217180417,1328.3755530039434,1359.0249950196214
