profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab1,ql_false,40,1.0,0.5,1.5,4.475,0.425,0.0,0.425,0,0,0,0,0
lab1,ql_true,40,1.0,0.5,1.5,4.425,0.475,0.0,0.475,0,0,0,0,0
lab1,rule_based,40,1.0,0.5,1.5,4.45,0.45,0.0,0.45,0,0,0,0,0
lab1,training_stereo_false,,,,,,,,,0,0,0,0,0
lab1,training_stereo_true,,,,,,,,,0,0,0,0,0
lab2,ql_false,80,1.0,1.0625,3.8125,10.2625,1.0625,0.375,1.4375,0,0,0,0,0
lab2,ql_true,80,1.0,1.125,3.875,9.8375,1.05,0.4375,1.4875,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,9.475,0.9125,0.25,1.1625,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,0.875,3.3125,4.625,17.075,3.2375,0.375,3.6125,0,0,0,0,0
lab3,ql_true,80,0.9375,2.3125,3.875,18.65,2.2375,1.75,3.9875,0,0,0,0,0
lab3,rule_based,80,1.0,0.875,2.1875,12.65,0.8125,0.3125,1.125,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
