StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,2,2,281,0,1,0,2,0
1,2,287,0,1,2,2,0,1,1
2,3,2,0,1,1,0,2,281,1
3,1,17,0,2,0,0,0,0,0
4,0,0,0,0,0,0,0,21,0
8,0,0,0,17,1,0,0,0,0
12,0,1,0,0,0,1,0,16,0
69,0,0,0,11,0,0,0,0,1
134,0,13,0,0,0,0,0,0,0
199,0,8,0,0,0,0,0,0,0
208,0,0,0,11,0,0,0,0,0
209,2,0,1,286,1,2,2,0,2
210,0,298,0,0,0,0,1,1,2
211,0,1,0,8,0,0,0,0,0
212,0,0,0,37,0,0,0,0,1
213,0,0,0,14,0,0,0,0,0
214,0,0,0,6,0,0,0,0,0
215,1,9,0,0,0,0,0,0,0
216,0,0,0,11,0,0,0,0,0
220,0,0,0,24,0,0,0,0,0
265,0,1,0,2,0,2,0,295,1
333,0,0,0,15,1,1,0,0,0
473,1,2,2,304,1,0,1,2,2
477,0,0,0,16,0,0,0,0,0
522,0,1,0,0,0,0,0,15,2
654,0,0,0,0,0,0,0,27,1
730,1,1,4,320,0,0,0,2,1
734,0,0,0,37,0,0,0,1,0
779,0,1,0,0,0,35,0,0,0
800,1,2,0,3,1,0,4,563,4
801,0,0,0,0,0,7,0,0,0
802,0,0,0,0,0,1,0,17,0
803,0,0,0,0,0,19,0,0,0
804,0,0,0,0,0,0,0,14,0
808,0,0,0,0,2,0,0,35,0
809,0,0,0,1,0,0,0,13,0
810,0,0,0,0,0,0,0,18,0
811,0,0,0,0,0,0,1,13,0
812,0,0,0,0,0,0,0,12,0
869,1,0,0,0,0,0,1,29,0
877,0,0,1,0,0,0,0,30,0
934,0,0,0,0,0,0,0,16,0
942,0,0,0,0,0,0,0,12,0
