Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.295527,0,0
6,0,0.00,0.00,0,0.294640,0,0
7,0,0.00,0.00,1,0.293756,0,0
8,0,0.00,0.00,1,0.292875,0,0
9,0,0.00,0.00,1,0.291997,0,0
10,0,0.00,0.00,1,0.291121,0,0
11,0,0.00,0.00,0,0.290247,0,0
12,0,0.00,0.00,1,0.289376,0,0
13,0,0.00,0.00,1,0.288508,0,0
14,0,0.00,0.00,1,0.287643,0,0
15,0,0.00,0.00,1,0.286780,0,0
16,0,0.00,0.00,1,0.285920,0,0
17,0,0.00,0.00,1,0.285062,0,0
18,0,0.00,0.00,0,0.284207,0,0
19,0,0.00,0.00,1,0.283354,0,0
20,0,0.00,0.00,0,0.282504,0,0
21,0,0.00,0.00,1,0.281656,0,0
22,0,0.00,0.00,1,0.280811,0,0
23,0,0.00,0.00,1,0.279969,0,0
24,0,0.00,0.00,1,0.279129,0,0
25,0,0.00,0.00,1,0.278292,0,0
26,0,0.00,0.00,1,0.277457,0,0
27,0,0.00,0.00,1,0.276624,0,0
28,0,0.00,0.00,1,0.275795,0,0
29,0,0.00,0.00,1,0.274967,0,0
30,0,0.00,0.00,1,0.274142,0,0
31,0,0.00,0.00,1,0.273320,0,0
32,0,0.00,0.00,1,0.272500,0,0
33,0,0.00,0.00,1,0.271682,0,0
34,7,24.00,28.00,1,0.300000,1,5
35,1,50.00,4.00,1,0.299100,0,0
36,20,26.00,62.00,0,0.298203,11,14
37,4,88.00,88.00,1,0.297308,2,1
38,3,94.00,58.00,1,0.296416,0,1
39,4,47.00,16.00,1,0.295527,0,3
40,4,78.00,88.00,1,0.294640,2,2
41,18,-33.00,52.00,1,0.293756,10,10
42,0,0.00,0.00,1,0.292875,0,0
43,0,0.00,0.00,1,0.291997,0,0
44,20,40.00,161.00,0,0.291121,2,17
45,1,50.00,4.00,1,0.290247,0,0
46,20,5.00,151.00,0,0.289376,5,18
47,20,-20.00,80.00,0,0.288508,0,19
48,2,100.00,54.00,1,0.287643,0,0
49,1,50.00,4.00,1,0.286780,0,0
50,5,89.00,89.00,1,0.285920,2,1
51,7,39.00,28.00,1,0.285062,0,6
52,0,0.00,0.00,1,0.284207,0,0
53,0,0.00,0.00,1,0.283354,0,0
54,7,114.00,101.00,1,0.282504,2,1
55,2,39.00,8.00,1,0.281656,1,0
56,13,103.00,110.00,1,0.280811,3,8
57,4,47.00,16.00,1,0.279969,0,3
58,2,100.00,54.00,1,0.279129,0,0
59,1,50.00,4.00,1,0.278292,0,0
60,2,100.00,100.00,1,0.277457,0,0
61,1,50.00,4.00,1,0.276624,0,0
62,2,49.00,8.00,1,0.275795,0,1
63,5,48.00,43.00,1,0.274967,2,0
64,20,-15.00,79.00,0,0.274142,5,13
65,1,50.00,4.00,1,0.273320,0,0
66,20,60.00,161.00,0,0.272500,0,18
67,0,0.00,0.00,1,0.271682,0,0
68,3,99.00,43.00,1,0.270867,1,1
69,1,50.00,4.00,1,0.270055,0,0
70,2,100.00,100.00,1,0.269245,0,0
71,1,50.00,4.00,1,0.268437,0,0
72,13,-22.00,-42.00,1,0.267632,10,7
73,4,98.00,78.00,1,0.266829,2,1
74,17,99.00,149.00,1,0.266028,1,12
75,2,39.00,8.00,1,0.265230,1,0
76,14,87.00,114.00,1,0.264434,4,8
77,0,0.00,0.00,1,0.263641,0,0
78,2,100.00,54.00,1,0.262850,0,0
79,1,50.00,4.00,1,0.262062,0,0
80,2,100.00,100.00,1,0.261275,0,0
81,1,50.00,4.00,1,0.260492,0,0
82,1,50.00,50.00,1,0.259710,0,0
83,0,0.00,0.00,1,0.258931,0,0
84,4,127.00,97.00,1,0.258154,0,0
85,6,76.00,56.00,1,0.257380,3,1
86,11,120.00,110.00,1,0.256608,1,7
87,0,0.00,0.00,1,0.255838,0,0
88,3,99.00,58.00,1,0.255070,0,1
89,1,50.00,4.00,1,0.254305,0,0
90,2,100.00,100.00,1,0.253542,0,0
91,1,50.00,4.00,1,0.252781,0,0
92,6,22.00,32.00,1,0.252023,3,3
93,2,49.00,8.00,1,0.251267,0,1
