Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,1,50.00,50.00,1,0.300000,0,0
5,11,51.00,41.00,1,0.299100,5,4
6,2,100.00,100.00,1,0.298203,0,0
7,0,0.00,0.00,1,0.297308,0,0
8,2,100.00,100.00,1,0.296416,0,0
9,3,50.00,50.00,1,0.295527,1,0
10,2,100.00,100.00,1,0.294640,0,0
11,6,32.00,42.00,1,0.293756,1,3
12,1,50.00,50.00,1,0.292875,0,0
13,3,38.00,38.00,1,0.291997,2,1
14,3,128.00,128.00,1,0.291121,0,0
15,5,41.00,47.00,1,0.290247,1,1
16,2,100.00,100.00,1,0.289376,0,0
17,0,0.00,0.00,1,0.288508,0,0
18,3,94.00,94.00,1,0.287643,0,1
19,2,44.00,8.00,1,0.286780,0,1
20,2,100.00,100.00,1,0.285920,0,0
21,17,-49.00,96.00,1,0.285062,4,12
22,3,88.00,78.00,1,0.284207,1,1
23,0,0.00,0.00,1,0.283354,0,0
24,2,100.00,100.00,1,0.282504,0,0
25,17,24.00,68.00,1,0.281656,0,2
26,2,100.00,100.00,1,0.280811,0,0
27,0,0.00,0.00,1,0.279969,0,0
28,2,100.00,100.00,1,0.279129,0,0
29,1,50.00,4.00,1,0.278292,0,0
30,4,93.00,83.00,1,0.277457,1,1
31,16,-48.00,56.00,1,0.276624,6,10
32,1,50.00,4.00,1,0.275795,0,0
33,2,100.00,100.00,1,0.274967,0,0
34,6,93.00,93.00,1,0.274142,2,2
35,6,25.00,51.00,1,0.273320,2,2
36,2,100.00,100.00,1,0.272500,0,0
37,0,0.00,0.00,1,0.271682,0,0
38,2,100.00,100.00,1,0.270867,0,0
39,2,39.00,8.00,1,0.270055,1,1
40,4,88.00,88.00,1,0.269245,2,2
41,11,-3.00,67.00,1,0.268437,2,7
42,20,-130.00,80.00,0,0.267632,2,20
43,1,50.00,50.00,1,0.266829,0,0
44,2,100.00,100.00,1,0.266028,0,0
45,13,28.00,52.00,1,0.265230,1,2
46,2,100.00,100.00,1,0.264434,0,0
47,2,100.00,100.00,1,0.263641,0,0
48,4,83.00,83.00,1,0.262850,1,2
49,1,50.00,4.00,1,0.262062,0,0
50,2,100.00,100.00,1,0.261275,0,0
51,1,50.00,4.00,1,0.260492,0,0
52,2,100.00,100.00,1,0.259710,0,0
53,0,0.00,0.00,1,0.258931,0,0
54,2,100.00,100.00,1,0.258154,0,0
55,6,25.00,31.00,1,0.257380,3,1
56,3,89.00,99.00,1,0.256608,1,1
57,2,100.00,100.00,1,0.255838,0,0
58,2,100.00,100.00,1,0.255070,0,0
59,1,50.00,4.00,1,0.254305,0,0
60,2,100.00,100.00,1,0.253542,0,0
61,5,43.00,43.00,1,0.252781,2,2
62,14,-21.00,79.00,1,0.252023,2,11
63,0,0.00,0.00,1,0.251267,0,0
64,2,100.00,100.00,1,0.250513,0,0
65,20,-70.00,80.00,0,0.249762,4,5
66,2,100.00,100.00,1,0.249012,0,0
67,6,30.00,24.00,1,0.248265,1,3
68,2,100.00,100.00,1,0.247521,0,0
69,1,50.00,4.00,1,0.246778,0,0
70,4,88.00,88.00,1,0.246038,2,0
71,8,20.00,70.00,1,0.245300,2,5
72,0,0.00,0.00,1,0.244564,0,0
73,0,0.00,0.00,1,0.243830,0,0
74,2,100.00,100.00,1,0.243099,0,0
75,20,-65.00,80.00,0,0.242369,3,5
76,2,100.00,100.00,1,0.241642,0,0
77,1,50.00,50.00,1,0.240917,0,0
78,2,100.00,100.00,1,0.240194,0,0
79,1,50.00,4.00,1,0.239474,0,0
80,2,100.00,100.00,1,0.238755,0,0
81,3,50.00,50.00,1,0.238039,1,0
82,0,0.00,0.00,1,0.237325,0,0
83,0,0.00,0.00,1,0.236613,0,0
84,2,100.00,100.00,1,0.235903,0,0
85,10,21.00,67.00,1,0.235196,3,2
86,4,78.00,88.00,1,0.234490,2,2
87,0,0.00,0.00,1,0.233786,0,0
88,2,100.00,100.00,1,0.233085,0,0
89,1,50.00,4.00,1,0.232386,0,0
90,2,100.00,100.00,1,0.231689,0,0
91,5,43.00,33.00,1,0.230994,2,2
92,2,89.00,89.00,1,0.230301,0,0
93,0,0.00,0.00,1,0.229610,0,0
