Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,2,49.00,54.00,1,0.299100,0,0
2,2,8.00,39.00,1,0.298203,1,1
3,2,89.00,8.00,1,0.297308,0,0
4,2,54.00,49.00,1,0.296416,0,0
5,4,82.00,62.00,1,0.295527,0,1
6,3,88.00,12.00,1,0.294640,0,1
7,0,0.00,0.00,1,0.293756,0,0
8,20,70.00,-50.00,0,0.300000,9,4
9,2,54.00,49.00,1,0.299100,0,0
10,2,49.00,54.00,1,0.298203,0,0
11,3,43.00,48.00,1,0.297308,1,0
12,1,4.00,50.00,1,0.296416,0,0
13,3,48.00,12.00,1,0.295527,0,1
14,2,54.00,49.00,1,0.294640,0,0
15,4,87.00,62.00,1,0.293756,0,1
16,2,89.00,8.00,1,0.292875,0,0
17,3,38.00,12.00,1,0.291997,1,2
18,3,58.00,48.00,1,0.291121,0,1
19,20,-46.00,-18.00,0,0.290247,10,4
20,2,49.00,54.00,1,0.289376,0,0
21,5,36.00,31.00,1,0.288508,3,1
22,1,50.00,4.00,1,0.287643,0,0
23,2,54.00,49.00,1,0.286780,0,0
24,2,54.00,49.00,1,0.285920,0,0
25,3,88.00,58.00,1,0.285062,0,0
26,4,87.00,8.00,1,0.284207,1,0
27,2,49.00,54.00,1,0.283354,0,0
28,3,53.00,38.00,1,0.282504,1,1
29,2,54.00,49.00,1,0.281656,0,0
30,2,49.00,54.00,1,0.280811,0,0
31,2,49.00,54.00,1,0.279969,0,0
32,0,0.00,0.00,1,0.279129,0,0
33,5,20.00,31.00,1,0.278292,1,4
34,3,58.00,88.00,1,0.277457,0,0
35,3,88.00,58.00,1,0.276624,0,0
36,3,88.00,12.00,1,0.275795,0,1
37,3,53.00,88.00,1,0.274967,0,0
38,2,54.00,49.00,1,0.274142,0,0
39,5,58.00,46.00,1,0.273320,1,1
40,2,54.00,49.00,1,0.272500,0,0
41,2,49.00,54.00,1,0.271682,0,0
42,0,0.00,0.00,1,0.270867,0,0
43,4,77.00,16.00,1,0.270055,1,1
44,4,37.00,42.00,1,0.269245,1,2
45,3,88.00,58.00,1,0.268437,0,0
46,2,89.00,8.00,1,0.267632,0,0
47,3,53.00,88.00,1,0.266829,0,0
48,2,54.00,49.00,1,0.266028,0,0
49,2,54.00,49.00,1,0.265230,0,0
50,2,49.00,54.00,1,0.264434,0,0
51,4,42.00,62.00,1,0.263641,0,2
52,2,49.00,8.00,1,0.262850,0,0
53,3,48.00,12.00,1,0.262062,0,2
54,2,54.00,49.00,1,0.261275,0,0
55,3,88.00,53.00,1,0.260492,0,0
56,3,78.00,12.00,1,0.259710,1,1
57,1,50.00,4.00,1,0.258931,0,0
58,15,27.00,30.00,1,0.258154,6,3
59,2,54.00,49.00,1,0.257380,0,0
60,2,49.00,54.00,1,0.256608,0,0
61,2,49.00,54.00,1,0.255838,0,0
62,1,4.00,50.00,1,0.255070,0,0
63,1,4.00,50.00,1,0.254305,0,0
64,2,54.00,49.00,1,0.253542,0,0
65,6,85.00,47.00,1,0.252781,2,1
66,2,89.00,8.00,1,0.252023,0,0
67,1,4.00,50.00,1,0.251267,0,0
68,2,54.00,49.00,1,0.250513,0,0
69,5,58.00,36.00,1,0.249762,2,1
70,6,35.00,57.00,1,0.249012,2,1
71,2,49.00,54.00,1,0.248265,0,0
72,3,48.00,43.00,1,0.247521,1,1
73,4,42.00,16.00,1,0.246778,1,1
74,3,58.00,38.00,1,0.246038,1,1
75,4,82.00,62.00,1,0.245300,0,1
76,12,44.00,32.00,1,0.244564,6,4
77,0,0.00,0.00,1,0.243830,0,0
78,2,54.00,49.00,1,0.243099,0,0
79,2,54.00,49.00,1,0.242369,0,0
80,2,49.00,54.00,1,0.241642,0,0
81,2,49.00,54.00,1,0.240917,0,0
82,2,49.00,54.00,1,0.240194,0,0
83,0,0.00,0.00,1,0.239474,0,0
84,2,54.00,49.00,1,0.238755,0,0
85,3,88.00,58.00,1,0.238039,0,0
86,2,89.00,8.00,1,0.237325,0,0
87,1,4.00,50.00,1,0.236613,0,0
88,3,48.00,43.00,1,0.235903,1,1
89,2,54.00,49.00,1,0.235196,0,0
90,2,49.00,54.00,1,0.234490,0,0
91,2,49.00,54.00,1,0.233786,0,0
92,2,44.00,8.00,1,0.233085,0,1
93,1,4.00,50.00,1,0.232386,0,0
94,2,54.00,49.00,1,0.231689,0,0
95,3,88.00,58.00,1,0.230994,0,0
96,2,89.00,8.00,1,0.230301,0,0
97,3,58.00,48.00,1,0.229610,0,0
98,2,54.00,49.00,1,0.228921,0,0
99,2,54.00,49.00,1,0.228234,0,0
100,4,47.00,54.00,1,0.227549,1,0
101,2,49.00,54.00,1,0.226867,0,0
102,2,89.00,8.00,1,0.226186,0,0
103,4,16.00,87.00,1,0.225508,0,1
104,2,54.00,49.00,1,0.224831,0,0
105,3,88.00,58.00,1,0.224157,0,0
106,2,89.00,8.00,1,0.223484,0,0
107,3,53.00,88.00,1,0.222814,0,0
108,2,54.00,49.00,1,0.222145,0,0
109,2,54.00,49.00,1,0.221479,0,0
110,2,49.00,54.00,1,0.220814,0,0
111,3,48.00,58.00,1,0.220152,0,1
112,1,4.00,50.00,1,0.219492,0,0
113,0,0.00,0.00,1,0.218833,0,0
114,2,54.00,49.00,1,0.218177,0,0
115,3,88.00,58.00,1,0.217522,0,0
116,2,89.00,8.00,1,0.216869,0,0
117,0,0.00,0.00,1,0.216219,0,0
118,3,48.00,43.00,1,0.215570,0,1
119,2,54.00,49.00,1,0.214923,0,0
120,2,49.00,54.00,1,0.214279,0,0
121,3,43.00,48.00,1,0.213636,0,1
122,0,0.00,0.00,1,0.212995,0,0
123,1,50.00,4.00,1,0.212356,0,0
124,2,54.00,49.00,1,0.211719,0,0
125,3,88.00,58.00,1,0.211084,0,0
126,2,89.00,8.00,1,0.210450,0,0
127,1,50.00,4.00,1,0.209819,0,0
128,3,43.00,48.00,1,0.209190,1,1
129,2,54.00,49.00,1,0.208562,0,0
130,3,38.00,58.00,1,0.207936,1,1
131,6,35.00,42.00,1,0.207313,3,2
132,0,0.00,0.00,1,0.206691,0,0

# Summary
# FirstGoalEpisode,1
# TotalGoalCount,121
# GoalRate_last100,1.00
