StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,16.05,8.05,0.00,103.30,-0.04,0.00,-0.04,6.52,0.00
1,3.10,0.00,2.62,10.17,3.12,0.00,4.27,81.55,0.10
2,7.71,7.69,0.00,103.30,20.10,1.63,0.00,1.24,0.00
3,0.00,79.32,-0.54,0.00,0.00,0.00,-0.04,-0.04,0.00
4,0.00,0.00,0.00,0.00,47.26,0.00,0.00,0.00,0.00
8,8.63,0.00,0.00,81.79,0.00,-0.04,0.00,-0.04,-0.29
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.04,0.00
69,-0.53,0.00,0.00,0.00,62.11,-0.04,0.00,0.00,-0.29
134,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,22.94,0.00
199,0.00,0.00,0.00,0.00,0.88,0.00,0.00,22.13,0.00
208,0.00,0.00,0.00,86.27,0.00,0.00,0.00,-0.07,0.00
209,25.04,8.79,4.73,27.51,13.93,91.00,10.32,17.51,0.83
210,0.00,122.85,0.00,0.00,-0.09,-0.56,0.00,0.00,0.00
211,0.00,0.00,0.00,98.96,0.00,0.00,0.00,0.00,0.00
212,0.00,0.00,0.00,66.11,0.00,0.00,0.00,0.00,0.00
213,0.00,8.53,14.61,101.50,8.71,8.99,0.30,14.68,11.83
214,0.00,0.00,0.00,0.00,79.99,0.00,0.00,-0.15,-0.29
215,6.99,0.00,0.00,0.00,73.06,0.00,0.00,0.00,0.32
216,-0.54,-0.54,0.00,0.00,-0.40,0.00,4.28,-3.23,0.00
220,0.00,-0.56,0.00,91.50,0.00,-0.61,0.00,0.00,-0.31
265,0.00,0.00,0.00,0.00,0.00,62.90,1.15,0.00,0.00
333,-2.09,0.00,5.25,113.42,0.24,-0.04,5.79,0.00,8.19
473,0.00,0.00,0.00,85.84,-0.05,0.00,0.00,-0.08,0.00
477,0.00,-0.58,0.00,72.47,0.00,-0.66,4.91,0.00,0.00
522,0.00,0.00,0.00,0.00,0.00,21.34,-0.05,0.00,0.00
654,0.00,-0.55,0.00,0.00,-0.05,-0.05,-0.10,62.51,-0.58
730,0.00,0.00,8.15,100.48,-0.89,-0.06,-0.06,-0.08,0.00
734,0.00,0.00,0.00,0.00,86.64,0.00,0.00,0.00,-0.30
779,0.00,4.29,0.00,0.00,0.00,0.00,0.29,1.87,0.25
800,1.50,2.17,-4.74,0.38,0.00,0.54,0.38,2.00,0.36
801,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.63,0.00
802,0.98,0.00,-2.66,0.94,0.52,0.20,0.00,2.00,0.20
803,2.27,0.00,0.00,0.00,0.00,0.00,0.20,1.87,0.20
804,0.00,0.00,0.00,0.00,0.68,0.00,0.00,1.82,0.20
808,1.32,1.05,-19.26,0.22,0.22,0.38,0.48,1.92,0.00
809,0.20,0.20,0.00,0.00,0.00,15.41,0.00,0.00,0.00
810,0.00,0.00,0.00,0.00,0.00,3.22,0.00,0.00,0.00
811,0.20,19.58,0.44,3.12,3.06,0.00,0.00,0.00,1.82
812,2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
869,2.80,0.00,-5.62,0.00,0.00,0.00,0.00,1.37,0.20
877,0.23,3.74,-31.37,20.00,2.21,4.85,3.05,0.00,4.33
934,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
942,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.23
