StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,13.30,4.06,2.74,0.11,9.98,131.00,1.50,0.00,18.25,0.00,8.93
1,-1.02,4.04,17.57,2.01,14.42,23.77,15.05,0.00,16.47,103.30,-0.29
2,31.46,4.06,11.75,17.66,22.23,131.00,21.24,4.06,21.23,0.00,4.88
3,0.00,0.00,0.00,70.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,1.26,101.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,85.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,-0.51,0.00,47.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
649,0.00,0.00,0.00,52.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00
657,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.44,0.00
1284,0.00,0.00,-0.05,-0.05,0.00,0.00,-0.55,12.07,-0.55,0.00,0.00
1285,0.00,0.00,0.00,0.00,0.00,-0.61,0.00,0.00,0.00,0.00,-0.30
1286,0.00,0.00,0.00,0.00,0.86,0.00,0.00,41.43,0.00,0.00,0.00
1287,0.00,-0.55,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,19.43,0.00
1290,-0.55,53.03,0.00,0.00,-0.09,0.00,-2.73,0.00,0.00,0.00,-0.30
1292,-4.14,-0.55,-0.05,-0.05,-0.01,84.72,0.00,-0.55,-0.55,0.00,0.00
1293,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,34.56,-0.30
1298,0.00,0.00,0.00,0.00,-0.05,35.79,0.00,0.00,0.00,0.00,0.00
1300,-3.72,-0.55,-0.05,-0.05,-0.05,4.55,0.00,-0.55,-0.55,0.00,-0.56
1301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,47.09,0.00
1305,0.00,0.00,0.00,0.00,-0.05,72.05,0.00,-0.55,0.00,0.00,0.00
1308,0.00,0.00,-0.05,-0.05,-0.05,3.05,0.00,0.00,0.00,0.00,0.00
1309,23.78,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00
1419,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,1.36,0.00,0.20
1422,0.00,0.00,0.00,0.00,0.00,1.63,-9.14,0.00,0.00,0.00,0.00
1440,0.20,0.00,0.00,2.05,0.20,0.00,0.00,0.50,0.00,0.00,0.00
1441,1.12,0.38,0.54,0.40,0.51,2.00,3.76,1.03,-7.80,0.92,0.40
1442,0.00,0.00,0.00,1.23,0.00,0.00,0.98,0.00,0.00,0.00,0.20
1443,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.20
1444,0.00,0.00,0.00,0.00,0.20,0.20,9.90,0.00,0.00,0.00,0.00
1445,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,-10.05,0.00,0.00
1446,0.00,0.00,0.00,0.00,0.00,0.00,10.30,0.00,-7.59,0.00,0.00
1447,0.20,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,10.00,0.42
1448,0.43,0.00,0.00,0.61,0.00,0.00,0.27,14.69,0.00,0.00,0.00
1449,0.00,0.00,0.00,0.00,0.20,1.44,0.00,0.00,0.00,0.00,0.20
1450,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00
1452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.00,12.61,0.00
1456,0.00,0.00,0.00,0.00,0.00,1.78,0.23,0.00,-10.14,0.20,0.20
1457,0.00,1.54,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1460,0.41,0.00,0.00,0.00,0.00,0.20,0.00,0.00,-10.05,4.60,0.20
1464,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,-10.11,13.04,0.00
1465,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00
1468,0.00,0.31,0.00,0.20,0.00,0.00,0.00,0.00,0.00,8.83,0.00
1811,0.00,0.00,-4.14,0.00,0.00,0.00,0.00,92.48,0.00,0.00,-0.30
1814,1.80,0.00,0.00,0.00,-2.04,0.00,0.00,0.00,0.00,0.00,0.00
1856,-1.26,0.66,-0.24,0.00,-4.88,6.82,-2.63,-1.83,-1.41,100.50,-1.27
1857,6.82,0.00,8.05,90.00,4.72,-0.31,6.20,-0.55,-0.55,19.10,2.80
1858,8.74,-1.07,3.46,4.78,9.12,0.86,-0.55,10.05,6.43,100.50,-0.30
1859,0.00,0.00,0.00,61.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1860,-0.62,-0.55,0.00,0.00,0.00,4.19,-0.55,0.00,-0.55,81.88,-0.30
1861,-0.55,0.00,-3.08,0.00,-0.05,0.00,0.00,0.00,-0.61,0.00,-0.38
1862,0.00,-0.57,-0.16,0.00,0.00,-1.49,-0.59,0.00,0.00,27.24,0.00
1863,0.00,0.00,-0.31,19.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1864,0.00,0.00,0.00,31.71,0.00,-0.06,0.00,0.00,0.00,0.00,0.00
1865,0.00,68.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1868,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.92,0.00
1872,0.00,-0.33,0.00,-3.59,-2.61,0.00,-0.55,0.00,0.00,0.00,0.00
1873,0.00,100.50,5.64,8.99,-1.18,6.21,8.01,0.00,7.41,0.00,8.75
1874,0.60,0.00,80.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
1876,0.00,0.00,33.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1880,0.00,-0.55,-0.06,0.00,-4.14,0.00,0.00,-0.55,-0.55,90.60,0.00
1881,0.00,0.00,0.86,-0.24,0.00,7.00,84.65,-0.58,0.00,0.00,0.00
1884,0.00,0.00,29.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
