ActionLabel,SunBucket,Sum,N
SetZ1Blinds=OFF,0,0.0,3
SetZ1Blinds=OFF,1,4.0,10
SetZ1Blinds=OFF,2,1.0,2
SetZ1Blinds=ON,0,0.0,5
SetZ1Blinds=ON,1,584.0,589
SetZ1Blinds=ON,2,304.0,306
SetZ1Blinds=ON,3,55.0,55
SetZ1Light=OFF,0,1.0,3
SetZ1Light=OFF,1,0.0,4
SetZ1Light=OFF,2,0.0,9
SetZ1Light=ON,0,377.0,378
SetZ1Light=ON,1,634.0,634
SetZ1Light=ON,2,348.0,350
SetZ1Light=ON,3,14.0,14
SetZ2Blinds=OFF,0,0.0,6
SetZ2Blinds=OFF,1,3.0,3
SetZ2Blinds=OFF,2,2.0,2
SetZ2Blinds=ON,0,0.0,2
SetZ2Blinds=ON,1,311.0,315
SetZ2Blinds=ON,2,323.0,325
SetZ2Blinds=ON,3,34.0,34
SetZ2Light=OFF,0,1.0,3
SetZ2Light=OFF,1,2.0,9
SetZ2Light=OFF,2,0.0,3
SetZ2Light=ON,0,659.0,659
SetZ2Light=ON,1,367.0,369
SetZ2Light=ON,2,374.0,374
SetZ2Light=ON,3,15.0,16
