StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,3.88,131.12,21.38,5.97,21.36,0.00,22.24,0.00,0.00,0.00,0.00
1,8.12,8.41,10.85,0.00,16.36,101.80,9.11,0.00,8.90,4.24,0.00
2,14.10,11.21,4.23,19.00,8.21,10.16,-0.05,129.50,19.50,9.81,8.19
3,0.00,0.00,-0.55,0.00,-0.55,72.54,0.00,0.00,0.00,0.00,0.00
8,0.00,5.47,0.00,0.41,0.00,0.00,92.69,0.00,0.00,0.00,0.00
16,0.00,3.95,83.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.77,0.00
649,0.00,1.95,0.00,10.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
657,0.00,0.00,0.00,0.00,0.00,53.01,-0.05,0.00,0.00,0.00,0.00
1284,-3.69,6.69,8.05,0.00,16.96,101.80,8.99,0.76,22.27,-0.34,26.02
1285,0.00,0.00,0.00,-1.05,-0.14,72.57,0.00,0.00,0.00,0.00,-0.30
1286,0.00,0.00,0.00,0.00,0.00,52.52,0.00,0.00,0.00,0.00,0.00
1287,-4.05,-0.55,-0.55,0.00,0.00,0.00,-0.05,46.86,-0.05,0.00,-0.30
1290,7.23,0.00,8.65,100.00,0.00,19.00,6.87,17.61,16.42,1.49,15.55
1292,0.00,0.00,0.00,0.00,0.00,0.00,47.28,0.00,0.00,0.00,0.00
1293,0.00,0.00,0.00,-0.33,0.00,0.00,22.44,0.00,0.00,0.00,0.00
1298,-0.55,0.00,7.20,-0.55,-0.55,0.00,0.00,0.00,-0.05,83.32,4.56
1300,0.00,-0.55,0.00,0.00,1.16,47.44,0.00,-0.05,0.00,0.00,0.00
1301,-2.05,0.00,0.00,0.00,-0.55,77.12,-0.05,0.99,-0.05,0.00,0.00
1305,0.00,0.00,-2.05,0.00,-1.15,0.00,0.00,-0.05,0.00,-4.32,0.00
1308,0.00,-0.55,-0.55,-0.55,0.00,10.03,-0.05,0.00,-0.05,0.00,-0.30
1309,-0.55,0.00,0.00,0.00,0.00,0.00,24.18,-0.05,0.00,0.00,0.00
1419,0.00,77.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.86,0.00
1440,0.00,-0.55,0.00,-0.55,-0.55,0.00,0.00,-2.85,0.00,0.00,0.00
1441,0.00,36.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1442,-1.09,-0.55,-0.57,90.15,-1.14,10.00,0.00,-0.06,0.00,-1.07,-1.05
1443,-0.55,0.00,0.00,0.00,3.67,0.00,0.00,74.58,0.00,0.85,0.00
1444,-0.57,-0.84,0.00,-0.55,0.00,0.00,-0.18,0.00,0.00,-3.49,0.00
1445,0.00,0.00,-0.55,0.00,-0.55,0.00,-0.15,83.32,0.00,0.00,0.00
1446,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,34.39,0.00,0.00,0.00
1447,0.00,0.00,0.00,0.00,0.00,0.00,-2.24,0.00,0.00,-0.12,0.00
1448,-1.61,-0.55,-1.74,-0.55,-1.44,0.00,-0.44,-0.16,-4.16,-4.82,-1.26
