StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0,342,1,4,1,1,2,2,1,1,1
1,3,309,2,3,2,0,2,3,1,3,1
2,3,335,0,0,1,2,1,1,3,5,0
3,0,9,0,1,0,0,0,0,0,0,0
8,0,17,1,0,0,0,0,0,0,0,0
16,0,13,0,0,0,2,0,0,0,0,0
24,0,11,0,0,0,0,0,0,0,0,0
649,0,13,0,0,0,0,0,0,0,1,0
657,0,19,0,0,0,0,0,0,0,0,0
1284,3,2,1,2,2,0,1,0,1,387,0
1285,3,1,0,1,1,3,3,2,0,313,1
1286,1,1,3,4,1,2,4,2,3,354,0
1287,0,0,0,0,0,0,0,14,0,0,0
1290,0,13,1,0,0,0,0,0,0,0,0
1292,2,0,0,0,0,20,1,0,0,0,0
1293,0,0,0,0,0,0,0,0,0,19,1
1298,0,0,0,0,1,7,0,0,1,0,0
1300,0,0,0,0,0,0,0,1,1,23,0
1301,0,0,0,1,0,24,0,1,2,0,0
1305,0,16,0,0,0,0,0,0,0,0,0
1308,0,1,0,0,0,17,0,0,0,0,0
1309,0,0,0,0,0,25,0,0,0,0,1
1419,0,0,0,0,0,0,1,0,0,10,0
1422,1,2,0,0,0,0,18,0,0,0,1
1440,0,1,1,3,2,48,3,5,3,2,56
1441,1,0,1,1,3,0,0,6,2,5,467
1442,1,1,0,1,2,20,0,2,1,1,24
1443,0,0,0,0,0,0,0,6,1,0,1
1444,13,6,6,3,3,398,3,3,2,3,52
1445,0,2,0,1,3,1,3,310,5,4,0
1446,1,1,1,1,1,2,1,351,3,1,3
1447,0,0,0,0,1,0,0,0,2,0,1
1448,1,0,1,1,0,0,16,0,1,0,3
1449,0,1,0,0,1,1,16,0,0,0,0
1450,0,0,0,0,0,0,8,0,0,0,0
1452,1,1,1,0,0,1,4,0,1,0,2
1456,2,1,29,0,0,0,4,2,1,0,32
1457,0,0,3,1,0,16,0,0,1,0,11
1460,4,0,28,1,0,0,1,1,2,0,15
1464,0,1,0,0,0,0,12,1,0,0,2
1465,0,1,1,0,0,0,8,0,1,0,1
1468,1,1,0,0,0,0,7,0,1,0,1
1811,0,0,1,0,0,9,0,0,0,0,1
1814,1,0,1,0,0,10,0,0,0,0,1
1856,1,2,1,1,35,1,4,2,0,0,61
1857,3,2,1,401,6,3,3,5,3,2,14
1858,2,3,2,30,29,0,0,0,0,0,10
1859,0,0,0,14,1,0,0,0,0,0,1
1860,4,0,0,0,45,0,1,0,0,0,15
1861,7,0,0,0,1,0,1,0,0,0,0
1862,1,0,1,5,1,1,0,0,0,0,2
1863,0,0,0,4,0,0,0,0,0,0,1
1864,0,0,2,0,2,0,19,2,0,1,28
1865,0,1,1,0,1,0,29,0,0,0,3
1868,5,0,1,1,1,0,36,0,2,0,15
1872,0,0,11,0,1,0,0,0,0,0,1
1873,2,1,69,4,3,1,3,4,5,326,1
1874,1,0,47,1,1,1,0,0,0,0,0
1876,1,1,6,1,1,0,0,0,0,0,0
1880,1,0,9,0,0,0,0,0,0,0,0
1881,0,0,16,0,0,0,0,0,0,0,0
1884,1,0,19,0,1,0,1,0,0,0,1
