StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,38.86,251.17,14.69,0.00,64.37,26.54,41.66,5.86,33.20,0.00,20.08
1,14.55,0.00,9.68,222.12,-0.60,23.11,0.70,0.00,6.13,28.26,19.74
2,25.06,15.99,-0.60,9.70,-0.60,31.29,0.00,251.17,20.14,21.43,19.34
3,0.00,127.42,-1.14,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00
8,-1.10,81.38,-0.60,-0.60,0.00,0.00,0.00,-0.60,0.00,0.00,-0.60
16,0.00,0.00,133.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,0.00,0.00,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,150.79,0.00
649,0.00,0.00,0.48,0.00,0.00,134.32,0.00,0.00,0.00,0.00,0.00
657,13.07,16.12,27.51,0.00,39.11,203.47,27.19,8.84,34.82,11.95,27.42
1284,0.00,0.00,12.39,1.24,36.19,21.48,43.92,2.35,-0.60,191.30,18.92
1285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,66.54,0.00
1286,0.00,-1.10,0.00,0.00,0.00,0.00,2.38,9.95,0.00,71.70,0.00
1287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.65,0.00,0.00,0.00
1290,29.73,0.00,23.82,20.00,21.38,0.00,15.48,31.11,-0.60,191.30,0.00
1292,-10.56,0.00,-0.60,0.00,0.00,0.00,105.20,0.00,0.00,0.00,0.00
1293,4.51,0.00,-0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137.24,0.00,0.00,-0.60
1300,0.00,-1.10,0.00,-0.60,0.00,0.00,0.00,-0.60,-0.60,62.97,0.00
1301,76.18,0.00,0.00,-0.60,0.00,0.00,-0.60,0.00,0.00,0.00,-0.60
1305,0.00,0.00,-4.10,0.00,-1.14,127.84,0.00,-0.60,0.00,0.00,0.00
1308,-2.68,-1.10,-0.60,-0.60,-0.60,0.00,0.00,-0.60,0.00,18.93,-0.60
1309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.60,0.00,38.00,0.00
1419,-0.35,0.00,0.00,58.09,0.00,0.00,-9.10,0.00,0.00,0.00,0.00
1422,-0.47,-0.35,-0.35,10.20,-0.35,0.00,-8.05,0.00,0.00,0.00,-0.10
1440,-0.32,50.27,0.00,0.00,-0.35,0.00,0.59,0.00,-8.96,0.00,0.00
1441,0.00,0.00,-0.35,0.00,0.00,76.07,0.00,0.15,0.00,1.85,0.00
1442,0.00,0.00,0.00,89.60,1.39,0.00,0.00,0.00,0.00,0.00,0.00
1443,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.22,-14.05,3.60,0.00
1444,-0.35,2.37,16.52,0.00,7.30,102.00,9.33,0.00,5.38,14.94,0.00
1445,0.00,0.00,0.00,69.99,0.00,0.00,1.02,0.00,0.00,0.00,0.00
1446,0.00,-0.35,-0.35,0.00,-0.35,62.48,0.00,0.00,0.00,0.00,-0.10
1447,23.93,0.00,-0.20,0.00,0.00,0.00,2.23,0.00,0.00,0.30,0.00
1448,0.00,0.00,0.00,0.00,0.00,47.79,0.00,2.10,0.00,0.00,0.00
1449,-0.82,0.00,-0.35,0.00,-0.35,0.00,0.00,12.69,0.00,0.32,-0.03
1450,16.52,27.64,8.40,0.00,30.69,102.00,1.20,0.00,-9.15,7.95,0.73
1452,-0.35,-0.35,0.00,0.00,-0.35,0.00,0.00,9.11,0.00,0.00,0.00
1456,0.00,-0.35,0.00,0.00,0.00,0.00,0.00,51.42,0.00,0.00,0.00
1457,0.00,84.99,-0.35,0.00,-0.26,0.00,0.00,0.15,0.00,1.43,-0.10
1460,0.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1464,0.00,0.00,0.00,0.00,0.00,99.16,0.00,0.00,0.00,0.00,0.00
1465,0.00,0.00,0.00,0.00,0.00,0.00,37.78,0.00,0.00,0.27,0.00
1468,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1811,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.99,0.00
1814,-5.67,-0.35,0.00,0.00,6.79,0.00,-0.35,0.00,0.00,0.00,0.00
1856,-0.35,0.00,0.00,58.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1857,23.90,-0.35,4.45,0.00,-9.89,15.60,32.55,0.38,23.67,102.00,0.00
1858,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,76.07,0.00
1859,0.00,-0.35,0.00,0.00,0.00,0.30,0.00,73.19,-0.35,0.00,-0.10
1860,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.79,0.00
1861,0.00,0.00,0.15,0.00,0.00,0.00,0.00,58.09,0.00,0.00,0.00
1862,0.00,0.00,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1863,0.00,0.00,5.26,0.00,-10.05,0.19,0.00,0.00,0.00,0.00,0.00
1864,-0.35,-0.35,0.00,0.00,-13.34,0.00,8.09,0.00,0.00,0.00,0.00
1865,0.00,0.00,0.00,82.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1868,0.00,-0.35,3.91,0.00,0.00,2.36,0.00,0.00,0.09,47.79,0.00
1872,0.00,-0.54,0.75,2.37,-25.85,0.15,0.00,0.00,-0.27,93.86,-0.06
1873,8.20,19.38,93.30,8.55,1.55,8.29,0.00,4.44,14.56,0.00,0.00
1874,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.48,0.00
1876,-0.34,-0.25,0.15,6.87,-10.05,0.25,0.00,0.00,0.00,0.00,0.20
1880,0.00,-0.22,0.00,0.00,-14.05,14.54,2.81,0.00,0.36,10.20,0.00
1881,3.35,101.69,0.00,0.00,0.00,0.00,8.05,-0.67,0.00,10.20,5.13
1884,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
