StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,2,2,2,0,1,1,287,2
1,1,3,2,283,2,1,1,0,2
2,1,277,2,0,2,1,1,2,0
3,0,0,0,0,0,0,0,12,0
4,0,0,0,12,0,0,0,0,0
8,0,0,0,9,0,0,0,0,0
12,0,0,0,13,0,0,0,0,0
69,0,0,0,12,0,0,0,0,0
134,0,15,0,0,0,0,0,0,0
199,0,9,0,0,0,0,0,0,0
208,0,0,0,299,0,1,1,1,0
209,4,1,2,281,0,2,0,1,1
210,0,14,0,0,0,0,0,0,1
211,0,0,0,25,0,0,0,0,0
212,0,1,0,15,0,0,0,1,0
213,0,0,0,18,0,0,0,0,0
214,0,0,1,15,0,0,0,0,0
215,0,0,0,12,0,0,0,0,0
216,0,0,0,11,0,0,0,0,0
220,0,0,0,9,0,0,0,0,0
265,0,0,0,0,0,13,0,0,1
333,0,0,0,0,0,0,0,27,0
473,0,0,0,15,0,0,0,0,0
477,0,0,0,36,0,0,0,0,1
522,0,1,0,0,1,0,1,290,2
654,0,0,0,24,0,1,1,0,0
730,0,1,1,318,0,1,0,3,2
734,0,0,0,12,0,0,0,0,1
779,0,2,0,0,0,0,0,10,1
800,0,1,2,2,1,2,0,282,4
801,4,0,0,1,0,302,3,0,2
802,0,0,0,0,0,0,0,12,0
803,0,0,0,0,0,15,0,0,0
804,0,0,0,0,0,0,0,29,1
808,0,0,0,0,0,0,0,26,0
809,0,0,0,0,0,16,0,0,0
810,0,0,0,0,0,20,0,0,0
811,0,0,0,0,0,17,0,0,0
812,0,0,0,0,0,0,0,25,1
869,3,0,0,1,0,0,2,324,0
877,0,0,0,0,0,0,0,37,0
934,0,0,0,0,0,0,0,9,0
942,0,0,0,0,0,0,0,55,0
