StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,37.09,8.80,60.42,-0.60,20.22,231.30,15.81,0.00,0.00,0.00,11.51
1,21.64,15.01,0.00,0.00,11.81,231.30,32.81,3.90,0.00,0.00,16.78
2,4.27,15.99,6.68,31.86,59.46,231.30,51.32,0.00,0.00,14.87,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.91,0.00,0.00,0.00
8,-0.32,0.00,-0.60,0.00,0.00,0.00,188.82,0.00,0.00,0.00,0.00
16,5.63,0.00,0.00,0.00,0.00,181.25,0.00,0.00,0.00,0.00,0.00
24,0.00,0.00,98.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
649,0.00,52.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
657,0.00,0.00,0.00,0.00,0.00,123.85,0.00,0.00,0.00,0.00,0.00
1284,0.00,0.00,0.00,0.00,0.00,39.69,0.00,0.00,0.00,0.00,0.00
1285,-3.01,-1.10,-0.60,-0.60,-1.14,27.52,-0.60,-0.25,-0.60,0.00,-0.60
1286,0.00,0.00,0.00,0.00,0.00,63.36,0.00,0.00,0.00,0.00,0.00
1287,0.00,-1.10,-0.60,0.00,0.00,0.00,-0.60,54.20,-0.60,0.00,-0.60
1290,-1.10,0.00,0.00,0.00,0.00,149.16,0.00,0.00,-0.60,19.21,0.00
1292,0.00,0.00,0.00,0.00,0.00,20.02,0.00,-0.60,0.00,0.00,0.00
1293,0.00,0.00,-0.60,81.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.25,0.00
1300,12.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1301,0.00,0.00,0.00,0.00,0.00,113.91,0.00,0.00,0.00,0.00,0.00
1305,0.00,0.00,0.00,0.00,0.00,0.00,-3.02,0.00,0.00,99.23,0.00
1308,0.00,0.00,0.00,-0.60,0.00,19.17,0.00,0.00,0.00,0.00,-0.60
1309,0.00,0.00,0.00,0.00,0.00,175.68,0.00,6.77,0.00,0.00,6.77
1419,0.13,0.00,0.00,96.07,-0.17,0.00,0.00,7.35,0.57,0.00,0.00
1422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.51,0.00,0.00,0.00
1440,-0.35,41.87,0.00,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1441,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.36,0.00,0.00,0.00
1442,0.00,0.00,0.00,0.00,0.00,62.48,0.00,0.00,0.00,0.00,-0.10
1443,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.09,0.00,0.00,0.82
1444,0.00,0.00,0.00,0.00,0.00,89.60,0.00,0.00,0.00,0.00,0.00
1445,0.00,0.00,0.00,0.00,-0.35,0.00,0.80,0.00,0.00,8.15,0.00
1446,0.00,0.00,0.00,0.00,-0.35,27.64,0.00,0.00,-8.12,0.00,0.00
1447,0.00,0.00,0.00,27.64,0.00,0.00,0.00,0.00,-8.25,0.00,0.00
1448,0.00,13.57,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00
1449,0.00,0.00,0.00,0.00,0.00,88.22,0.00,0.00,-8.92,0.00,0.00
1450,-0.50,0.00,-0.35,41.77,-0.04,0.00,0.15,0.43,-17.82,7.43,-0.01
