StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0,378,2,2,1,2,2,0,2,0,2
1,3,329,3,4,0,2,0,0,1,3,5
2,0,331,1,1,2,3,0,1,0,1,2
3,0,15,0,0,0,0,0,0,0,0,0
8,0,6,0,0,0,1,0,1,0,0,0
16,0,16,0,1,0,1,0,0,0,0,0
24,0,10,0,0,0,0,0,0,0,0,0
649,0,15,0,0,0,0,0,0,0,0,0
657,0,19,0,0,0,0,0,0,0,0,0
1284,3,1,4,3,0,377,1,1,1,1,0
1285,2,0,1,1,1,329,4,2,1,0,1
1286,1,2,0,2,1,343,0,1,0,0,1
1287,0,0,0,23,1,0,0,0,0,0,0
1290,0,0,0,0,0,0,0,0,0,12,1
1292,0,0,0,0,0,0,0,0,0,15,0
1293,1,0,0,0,0,19,0,0,0,0,0
1298,0,18,0,0,0,0,0,0,0,0,0
1300,0,0,0,0,0,26,1,0,0,0,0
1301,0,1,0,0,0,22,0,1,1,0,0
1305,0,1,0,0,0,0,0,0,0,3,0
1308,0,0,0,0,0,12,1,0,0,0,0
1309,0,0,0,0,0,0,0,0,0,6,0
1419,0,0,0,0,0,0,0,0,0,8,0
1422,0,0,0,0,0,0,7,0,0,0,1
1440,3,0,2,0,2,0,0,0,58,0,100
1441,0,0,0,0,0,0,0,2,18,0,0
1442,1,1,2,0,1,0,2,198,0,2,210
1443,0,0,0,0,0,0,0,13,0,0,1
1444,22,0,0,1,1,0,0,1,1,1,22
1445,0,0,0,0,0,0,0,4,0,0,0
1446,0,0,0,0,0,0,0,0,3,0,0
1447,0,0,0,0,0,0,0,0,1,0,0
1448,0,0,0,0,0,0,11,0,1,0,6
1449,1,0,0,0,0,0,8,0,1,0,1
1450,0,0,0,0,0,1,214,1,1,1,0
1452,1,0,1,1,0,0,15,0,1,1,1
1456,0,0,19,0,0,0,0,0,1,0,1
1457,0,0,0,1,0,1,0,150,2,0,1
1460,5,0,1,0,0,0,0,0,0,0,1
1464,0,0,0,0,0,0,8,0,1,0,0
1465,1,0,0,0,0,0,156,0,1,1,1
1468,1,0,0,0,0,0,3,0,1,0,0
1811,0,0,0,0,0,8,0,0,0,0,0
1814,0,0,0,1,0,24,1,0,0,0,0
1856,4,2,6,4,7,3,3,2,3,446,82
1857,3,4,4,12,4,4,8,5,2,321,74
1858,1,1,0,1,21,0,0,0,0,0,0
1859,0,0,0,16,1,0,0,0,0,0,1
1860,403,3,0,5,3,2,2,2,4,2,70
1861,1,2,3,330,0,2,0,2,1,3,0
1862,2,0,2,345,0,1,1,0,1,1,1
1863,0,0,0,5,0,0,0,0,0,0,1
1864,1,0,0,0,1,0,36,1,1,0,3
1865,2,0,0,0,1,2,17,0,0,1,11
1868,23,0,0,1,1,1,1,0,0,0,4
1872,1,3,19,0,1,0,1,0,0,0,3
1873,0,0,15,1,1,0,0,0,0,0,1
1874,0,0,14,0,2,0,0,0,0,0,0
1876,2,1,33,0,2,0,0,0,0,0,7
1880,0,0,6,0,0,0,0,0,0,0,0
1881,0,0,7,0,0,0,1,0,0,0,0
1884,0,0,19,0,0,0,0,0,0,1,0
