StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,15.44,-0.60,6.46,191.30,-1.14,9.33,-0.60,0.00,0.45
1,8.72,7.97,5.02,191.30,-0.60,2.88,14.36,46.44,0.00
2,24.73,0.00,0.00,11.40,12.22,0.00,0.00,183.47,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.77,0.00
4,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,140.82,0.00
8,8.10,-0.60,-0.60,0.00,-1.63,-0.60,0.00,121.33,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.30,0.00
69,0.00,0.00,0.00,134.51,0.00,-0.60,0.00,0.00,0.00
134,0.00,0.00,2.46,9.95,0.00,0.00,0.00,158.68,0.00
199,0.00,0.00,-0.35,0.00,0.00,0.00,11.97,0.00,0.00
208,3.09,0.00,0.00,101.42,3.91,0.26,0.00,0.74,0.00
209,0.00,0.00,1.39,102.00,3.91,2.44,4.00,9.31,8.60
210,4.67,0.00,4.30,0.00,5.03,93.30,0.00,0.00,0.00
211,0.00,99.70,0.00,10.20,0.00,0.15,-9.15,0.00,0.00
212,0.00,3.95,0.00,0.00,87.54,0.00,0.00,0.00,3.39
213,-0.35,27.24,-0.35,0.00,0.00,0.30,0.00,0.00,0.00
214,8.35,7.90,-0.35,102.00,8.98,0.00,-8.45,0.15,19.72
215,-0.35,0.00,-0.21,0.00,51.81,0.00,0.00,4.97,0.04
216,0.00,0.00,0.00,0.00,0.15,81.62,0.00,0.00,0.00
220,0.49,0.42,-0.17,101.47,0.15,12.97,-17.29,1.89,1.69
265,0.00,0.00,0.00,0.00,-0.60,1.93,0.00,161.95,0.00
333,0.00,0.00,0.00,0.00,55.24,0.00,0.00,0.00,0.00
473,-1.85,-0.31,-0.16,96.66,0.88,0.29,-9.15,4.45,0.00
477,-1.93,0.89,0.00,0.00,0.00,14.89,-9.74,0.00,0.00
522,0.00,0.00,0.00,0.00,0.00,67.74,-0.60,0.00,0.00
654,-3.20,-0.60,0.00,125.96,0.00,0.00,0.00,0.00,-0.60
730,-3.88,-0.26,0.91,0.00,14.60,0.00,0.00,0.97,0.00
734,-2.11,0.00,-0.35,0.00,5.42,0.00,-10.05,0.00,0.00
779,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.00,0.00
800,32.06,15.97,13.56,12.10,16.78,-0.19,12.39,102.00,17.05
801,17.52,0.29,0.00,9.33,8.83,14.69,0.00,102.00,0.00
802,0.22,0.00,0.00,1.16,0.00,120.41,-0.27,0.00,0.52
803,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.99,0.00
804,1.13,13.25,-9.15,0.00,0.00,0.00,-0.34,0.00,0.00
808,9.32,1.07,-18.85,2.61,-0.34,-0.65,-0.35,90.84,0.00
809,0.00,0.30,-10.05,0.00,0.00,0.00,-0.35,78.67,0.00
810,56.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
811,1.89,0.00,0.00,3.31,0.00,0.00,0.00,66.43,0.00
812,13.24,0.00,-7.69,0.79,5.31,-0.35,0.00,0.00,0.00
869,0.00,0.00,-10.05,0.00,7.33,0.00,0.00,97.68,0.00
877,0.00,0.00,0.00,13.18,1.31,0.00,0.00,0.00,0.71
934,0.00,0.98,-10.05,0.00,-6.60,0.00,0.00,101.89,-0.09
942,86.25,0.00,-10.05,0.00,0.00,0.00,0.00,0.00,0.00
