StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,1,1,3,285,2,2,1,0,1
1,1,1,1,280,1,1,1,3,0
2,2,0,0,1,2,0,0,285,0
3,0,0,0,0,0,0,0,12,0
4,1,0,0,0,0,0,0,20,0
8,2,1,1,0,3,1,0,17,0
12,0,0,0,0,0,0,0,17,0
69,0,0,0,15,0,1,0,0,0
134,0,0,1,1,0,0,0,17,0
199,0,0,1,0,0,0,159,0,0
208,2,0,0,49,1,1,0,5,0
209,0,0,1,286,1,1,1,3,1
210,1,0,2,0,2,298,0,0,0
211,0,36,0,1,0,1,1,0,0
212,0,1,0,0,39,0,0,0,1
213,1,16,1,0,0,2,0,0,0
214,1,2,1,329,2,0,1,1,3
215,1,0,1,0,11,0,0,40,1
216,0,0,0,0,1,31,0,0,0
220,1,2,1,50,1,199,3,3,3
265,0,0,0,0,1,1,0,27,0
333,0,0,0,0,13,0,0,0,0
473,1,1,1,28,2,2,1,35,0
477,2,3,0,0,0,490,1,0,0
522,0,0,0,0,0,10,1,0,0
654,1,1,0,16,0,0,0,0,1
730,2,1,1,0,361,0,0,2,0
734,1,0,1,0,7,0,1,0,0
779,0,0,0,0,0,0,0,15,0
800,4,5,2,2,2,1,2,565,2
801,2,2,0,1,1,2,0,295,0
802,1,0,0,8,0,29,1,0,2
803,0,0,0,0,0,0,0,11,0
804,2,205,1,0,0,0,1,0,0
808,1,1,2,19,1,2,1,21,0
809,0,2,1,0,0,0,1,14,0
810,13,0,0,0,0,0,0,0,0
811,1,0,0,1,0,0,0,10,0
812,203,0,2,1,2,1,0,0,0
869,0,0,1,0,1,0,0,30,0
877,0,0,0,210,1,0,0,0,1
934,0,7,1,0,2,0,0,65,1
942,35,0,1,0,0,0,0,0,0
