StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,0,0,2,1,1,314,2,0,1,1,2
1,3,2,1,3,3,1,3,306,0,2,1
2,2,311,1,3,1,0,2,0,0,1,5
3,0,0,1,0,1,13,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,14,0
16,0,0,0,0,0,17,0,0,0,0,0
24,0,0,1,0,0,0,6,0,0,0,0
649,2,0,1,311,0,0,0,1,0,3,1
657,0,0,1,0,0,0,1,0,0,14,1
1284,4,0,0,1,0,0,0,0,0,0,0
1285,1,1,1,0,1,0,1,0,0,10,1
1286,2,2,1,0,3,309,3,3,3,1,1
1287,1,1,1,0,1,0,0,5,0,0,0
1290,1,0,1,0,0,0,1,1,0,14,0
1292,1,1,1,0,1,4,1,0,1,0,1
1293,0,0,1,2,1,0,0,1,0,0,0
1298,0,0,0,0,0,1,0,0,0,13,0
1300,1,1,1,1,1,0,1,2,1,2,1
1301,0,1,4,0,1,0,0,0,0,0,0
1305,0,1,1,0,0,320,1,1,2,0,2
1308,0,0,0,0,0,6,0,0,1,0,0
1309,1,0,0,0,1,9,0,0,2,0,0
1419,0,0,0,0,0,17,0,0,0,0,0
1422,1,0,0,8,0,0,0,0,0,0,0
1440,2,0,1,1,0,6,0,0,0,0,0
1441,0,0,1,1,2,45,0,1,0,23,1
1442,0,0,0,0,0,11,1,0,0,0,0
1443,1,0,0,12,0,0,0,0,0,0,0
1444,0,0,0,0,0,0,0,6,0,0,0
1445,1,0,0,0,1,13,1,0,0,6,1
1446,0,0,0,6,0,0,0,0,0,0,0
1447,0,0,1,0,1,0,0,0,1,0,0
1448,0,0,0,0,0,45,0,0,0,1,0
1449,0,0,0,0,0,0,11,1,0,1,0
1450,0,27,1,0,1,0,0,16,0,0,1
1452,14,0,0,0,0,0,0,0,1,0,0
1456,0,2,1,1,0,7,99,0,0,0,1
1457,0,0,25,0,1,0,0,0,1,0,1
1460,0,0,0,1,0,0,225,1,2,0,1
1464,0,0,8,0,0,0,0,0,0,0,1
1465,0,0,4,0,1,0,0,2,0,1,0
1468,0,0,0,0,0,0,6,0,0,0,0
1811,1,0,0,0,0,0,0,11,0,0,0
1814,1,1,0,77,0,0,1,0,1,0,0
1856,2,1,4,2,4,32,6,2,1,318,3
1857,1,2,0,2,2,18,5,1,1,315,0
1858,0,0,0,3,0,0,0,7,0,0,0
1859,1,1,0,18,0,0,0,0,0,0,0
1860,5,1,0,0,0,0,0,0,1,0,0
1861,0,0,0,0,0,0,1,5,0,0,0
1862,0,2,1,308,1,1,1,2,2,1,3
1863,0,0,0,0,0,0,1,0,0,6,1
1864,1,1,0,0,0,0,0,1,0,21,1
1865,4,0,0,0,1,1,1,2,4,335,3
1868,0,0,1,10,0,0,0,0,0,0,0
1872,0,28,0,0,0,0,0,0,0,0,0
1873,0,0,10,0,0,1,0,0,0,0,0
1874,1,0,0,25,1,1,1,0,0,18,0
1876,0,0,0,0,0,0,0,0,0,32,0
1880,0,0,9,0,0,0,0,0,0,0,1
1881,1,1,329,1,0,1,2,2,1,0,1
1884,0,4,2,2,1,205,1,1,0,0,1
