StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,2,1,1,308,2,1,3,0,3
1,0,0,2,1,1,0,0,283,1
2,3,299,2,1,2,2,2,0,1
3,0,0,0,0,1,10,0,0,0
4,1,0,0,16,0,0,0,0,0
8,12,1,1,0,3,1,0,0,0
12,0,0,0,0,0,0,0,8,0
69,0,0,0,10,0,0,0,0,0
134,0,0,0,0,15,1,0,0,0
199,1,20,0,0,0,0,0,0,0
208,0,0,0,0,0,0,12,0,0
209,1,2,3,570,1,0,1,4,3
210,0,0,0,10,0,0,1,0,0
211,0,10,0,0,0,0,0,0,0
212,0,10,0,0,0,0,0,0,0
213,0,0,0,21,0,0,0,2,0
214,0,0,0,10,0,0,0,0,0
215,1,14,0,0,0,0,0,18,0
216,0,0,0,14,0,0,0,0,0
220,0,2,1,28,0,68,0,0,1
265,0,1,1,0,0,0,0,13,1
333,0,0,0,0,0,0,0,19,1
473,1,0,0,0,0,29,1,0,0
477,6,3,4,18,3,662,2,3,2
522,0,1,0,2,0,0,1,313,1
654,0,0,0,0,1,1,1,9,1
730,2,2,3,355,0,2,1,1,1
734,0,0,0,0,26,6,1,2,0
779,1,0,0,0,0,7,1,0,0
800,1,2,2,2,3,1,2,627,3
801,1,0,0,0,1,12,0,0,2
802,0,0,0,1,0,1,0,16,0
803,0,0,1,199,0,0,1,0,1
804,0,0,1,0,29,1,1,0,0
808,16,0,1,7,1,2,1,0,0
809,1,0,0,8,2,13,1,1,0
810,0,0,0,0,0,1,0,12,0
811,0,178,0,1,1,0,0,0,0
812,0,0,0,0,1,0,0,13,0
869,0,39,0,0,0,0,0,0,0
877,0,0,1,0,1,0,0,60,0
934,2,0,2,51,3,0,0,18,0
942,13,0,0,1,0,0,0,0,0
