StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,16.15,-0.55,1.17,101.80,9.07,7.07,16.93,0.00,18.09
1,0.00,0.00,9.48,10.10,8.00,0.00,0.00,89.50,-0.23
2,24.13,120.05,2.04,10.00,11.60,8.67,5.95,0.00,-0.30
3,0.00,0.00,0.00,0.00,-0.05,32.91,0.00,0.00,0.00
4,-0.55,0.00,0.00,83.66,0.00,0.00,0.00,0.00,0.00
8,60.03,-0.55,-0.55,0.00,-0.14,-0.05,0.00,0.00,0.00
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.80,0.00
69,0.00,0.00,0.00,66.99,0.00,0.00,0.00,0.00,0.00
134,0.00,0.00,0.00,0.00,82.56,-0.05,0.00,0.00,0.00
199,1.16,87.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,0.00,0.00,0.00,0.00,0.00,0.00,65.17,0.00,0.00
209,8.44,3.60,21.76,100.00,-0.05,0.00,6.93,27.17,18.25
210,0.00,0.00,0.00,65.13,0.00,0.00,5.18,0.00,0.00
211,0.00,65.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,0.00,32.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,0.00,0.00,0.00,89.06,0.00,0.00,0.00,-0.10,0.00
214,0.00,0.00,0.00,65.13,0.00,0.00,0.00,0.00,0.00
215,-0.55,77.12,0.00,0.00,0.00,0.00,0.00,-0.83,0.00
216,0.00,0.00,0.00,77.12,0.00,0.00,0.00,0.00,0.00
220,0.00,-1.26,-0.67,94.77,0.00,-2.48,0.00,0.00,-0.34
265,0.00,-0.55,-0.55,0.00,0.00,0.00,0.00,3.68,-0.30
333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.85,-0.30
473,6.95,0.00,0.00,0.00,0.00,31.92,-0.05,0.00,0.00
477,8.87,-2.38,-2.84,84.99,-0.69,-4.99,-0.10,-0.86,-0.98
522,0.00,7.47,0.00,19.03,0.00,0.00,0.75,89.50,0.50
654,0.00,0.00,0.00,0.00,-0.05,-0.05,-0.05,37.57,-0.30
730,0.75,15.94,14.58,100.00,0.00,5.31,7.25,-0.05,8.45
734,0.00,0.00,0.00,0.00,83.46,-0.30,-0.05,-0.12,0.00
779,-10.00,0.00,0.00,0.00,0.00,1.04,0.20,0.00,0.00
800,0.38,0.50,-2.04,0.70,0.89,0.20,0.72,2.00,0.86
801,0.20,0.00,0.00,0.00,0.20,3.09,0.00,0.00,0.59
802,0.00,0.00,0.00,0.25,0.00,0.39,0.00,1.63,0.00
803,0.00,0.00,-10.00,17.29,0.00,0.00,0.20,0.00,0.20
804,0.00,0.00,-10.00,0.00,3.61,0.31,0.20,0.00,0.00
808,3.10,0.00,-10.00,1.36,0.22,0.40,0.20,0.00,0.00
809,0.20,0.00,0.00,1.55,0.54,2.65,0.26,0.20,0.00
810,0.00,0.00,0.00,0.00,0.00,0.24,0.00,1.44,0.00
811,0.00,16.66,0.00,0.98,1.28,0.00,0.00,0.00,0.00
812,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.49,0.00
869,0.00,3.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00
877,0.00,0.00,-10.00,0.00,0.34,0.00,0.00,2.00,0.00
934,0.79,0.00,-18.64,8.02,0.66,0.00,0.00,1.70,0.00
942,2.28,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00
