StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,2,1,0,1,0,1,1,281,1
1,0,1,1,1,0,0,1,282,2
2,1,0,1,1,3,281,1,1,0
3,0,0,0,0,0,0,0,13,0
4,0,0,0,0,0,0,0,12,0
8,0,0,0,1,0,0,0,14,0
12,0,0,0,0,0,0,0,14,0
69,0,9,0,0,0,0,0,0,0
134,1,291,0,0,0,0,1,2,0
199,0,20,0,0,0,0,0,0,0
208,0,2,1,294,1,1,0,0,1
209,3,3,2,562,2,3,3,1,7
210,0,0,0,12,0,0,0,0,0
211,1,19,0,0,2,0,0,0,0
212,0,0,1,26,0,1,0,0,0
213,0,1,0,14,0,0,0,0,0
214,0,0,0,20,0,0,0,0,1
215,0,0,0,11,0,0,0,0,0
216,0,0,0,29,0,1,0,0,0
220,0,0,0,29,0,0,1,0,1
265,0,0,0,0,0,17,0,0,0
333,0,0,0,37,0,0,0,0,0
473,0,0,0,15,0,0,0,0,0
477,0,1,0,20,0,0,0,0,0
522,0,0,0,0,0,0,0,20,0
654,1,0,3,297,0,0,2,1,2
730,0,0,0,39,0,0,0,0,0
734,0,0,0,19,0,0,0,0,0
779,0,0,0,0,0,0,0,15,1
800,2,1,0,1,0,2,2,287,3
801,0,0,0,0,0,0,1,15,0
802,0,0,0,0,0,0,0,11,0
803,0,0,0,0,0,0,0,10,0
804,0,1,0,0,0,0,0,18,0
808,0,0,0,0,0,0,0,13,0
809,0,0,0,1,0,0,0,16,0
810,0,0,0,0,0,0,0,16,0
811,0,0,0,0,0,0,0,10,0
812,0,1,0,0,0,0,0,14,1
869,0,0,0,0,0,0,0,15,0
877,0,0,0,0,1,0,0,52,0
934,0,0,0,0,0,0,0,10,0
942,2,3,1,0,1,0,2,301,1
