StateIndex,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,5,299,2,0,3,3,0,1,1,1,3
1,1,2,1,2,0,300,2,0,0,0,1
2,0,2,1,3,0,0,1,2,1,299,3
3,1,3,1,0,0,295,1,0,3,2,1
8,0,1,0,0,1,0,1,0,0,0,1
16,0,1,0,0,0,0,0,0,0,0,0
649,0,0,0,0,0,1,0,0,0,0,0
657,0,0,1,1,0,0,0,3,0,0,1
1284,2,2,2,1,1,2,3,1,2,295,1
1285,0,0,0,1,0,0,0,0,0,1,1
1286,0,0,0,3,0,0,0,0,0,0,1
1287,0,0,0,0,0,0,0,3,0,0,0
1290,1,2,0,0,0,0,1,0,0,0,0
1292,1,0,0,0,0,1,0,0,0,0,0
1298,0,0,0,0,0,0,0,3,0,0,0
1300,0,0,1,0,0,0,0,0,0,2,0
1301,1,0,0,0,0,0,0,0,0,0,0
1305,0,1,1,0,0,0,1,0,0,0,1
1309,0,0,0,0,0,0,0,0,0,1,1
1422,0,0,0,0,0,1,1,0,0,0,1
1440,0,0,0,0,0,2,0,0,1,0,0
1441,0,1,0,0,0,0,0,0,0,0,0
1442,3,1,2,590,2,1,1,3,5,2,2
1443,0,0,0,2,0,0,0,0,0,0,0
1444,2,1,2,292,1,0,2,2,0,1,1
1445,1,0,0,1,0,0,0,0,0,1,1
1446,1,0,0,0,0,0,0,0,0,0,0
1448,0,1,0,0,0,0,0,0,0,0,0
1450,0,2,0,0,0,0,0,0,1,0,0
1452,0,0,0,0,0,3,0,0,0,0,0
1456,0,2,0,0,0,0,0,0,0,1,0
1460,2,0,1,0,0,292,4,1,0,0,1
1464,0,0,1,0,0,0,0,0,0,0,0
1468,1,0,0,0,0,0,0,0,0,0,0
1814,0,0,0,0,0,0,0,3,0,0,0
1856,1,0,0,0,0,1,0,0,0,3,0
1857,2,3,3,5,3,1,2,2,1,588,5
1859,4,1,3,2,0,1,0,1,0,292,0
1860,0,0,0,2,1,0,0,0,0,0,1
1861,0,0,0,0,0,0,0,0,0,3,0
1863,1,0,0,0,0,0,0,0,0,0,1
1865,0,0,0,5,0,0,0,0,0,4,0
1868,0,0,0,0,0,0,1,0,0,0,0
1872,0,0,0,0,1,0,0,0,0,0,1
1873,0,3,1,0,0,0,0,1,0,0,0
1876,1,0,0,0,1,0,0,0,0,0,0
1881,0,0,6,0,0,0,0,0,0,0,1
