profile,condition,metric,metric_tier,direction,n_seeds,mean,ci_lo,ci_hi
lab1,ql_true,auc_goal,primary,higher_better,20,1.0,1.0,1.0
lab1,ql_true,auc_reward,secondary,higher_better,20,99.93684999999999,99.93108333333332,99.94266666666667
lab1,ql_true,episodes_to_threshold,secondary_censored,lower_better,20,99.0,99.0,99.0
lab1,ql_true,mean_first_goal_presentations,corrected_primary,lower_better,20,1.0,1.0,1.0
lab1,ql_false,auc_goal,primary,higher_better,20,1.0,1.0,1.0
lab1,ql_false,auc_reward,secondary,higher_better,20,99.93684999999999,99.93108333333332,99.94266666666667
lab1,ql_false,episodes_to_threshold,secondary_censored,lower_better,20,99.0,99.0,99.0
lab1,ql_false,mean_first_goal_presentations,corrected_primary,lower_better,20,1.0,1.0,1.0
lab2,ql_true,auc_goal,primary,higher_better,20,0.9963000000000001,0.9950333333333334,0.9973000000000001
lab2,ql_true,auc_reward,secondary,higher_better,20,218.4240333333333,214.90765708333333,221.85402999999997
lab2,ql_true,episodes_to_threshold,secondary_censored,lower_better,20,99.0,99.0,99.0
lab2,ql_true,mean_first_goal_presentations,corrected_primary,lower_better,20,1.3818181818181818,1.2454545454545456,1.5363636363636366
lab2,ql_false,auc_goal,primary,higher_better,20,0.9963000000000001,0.9950333333333334,0.9973000000000001
lab2,ql_false,auc_reward,secondary,higher_better,20,218.4240333333333,214.90765708333333,221.85402999999997
lab2,ql_false,episodes_to_threshold,secondary_censored,lower_better,20,99.0,99.0,99.0
lab2,ql_false,mean_first_goal_presentations,corrected_primary,lower_better,20,1.3818181818181818,1.2454545454545456,1.5363636363636366
lab3,ql_true,auc_goal,primary,higher_better,20,0.9970666666666667,0.9963666666666666,0.9977166666666667
lab3,ql_true,auc_reward,secondary,higher_better,20,242.01771666666664,239.7064070833333,244.55004916666664
lab3,ql_true,episodes_to_threshold,secondary_censored,lower_better,20,99.0,99.0,99.0
lab3,ql_true,mean_first_goal_presentations,corrected_primary,lower_better,20,1.185,1.115,1.2600000000000002
lab3,ql_false,auc_goal,primary,higher_better,20,0.9970666666666667,0.9963666666666666,0.9977166666666667
lab3,ql_false,auc_reward,secondary,higher_better,20,242.01771666666664,239.7064070833333,244.55004916666664
lab3,ql_false,episodes_to_threshold,secondary_censored,lower_better,20,99.0,99.0,99.0
lab3,ql_false,mean_first_goal_presentations,corrected_primary,lower_better,20,1.185,1.115,1.2600000000000002
