StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,22.54,0.00,24.21,191.30,0.00,-0.60,12.54,18.91,7.89
1,4.60,191.17,4.21,0.00,4.21,1.90,23.45,0.00,17.34
2,37.66,13.38,23.19,219.47,18.35,3.90,45.17,0.00,0.00
3,21.52,0.00,0.00,191.30,16.62,0.00,12.69,19.02,-0.60
4,0.00,0.00,0.00,11.69,0.00,0.00,0.00,0.00,0.00
69,0.00,0.00,0.00,9.95,0.00,0.00,0.00,0.00,-0.60
134,0.00,0.00,-0.60,0.00,28.68,0.00,0.00,0.00,0.00
208,0.00,-0.35,0.00,0.00,0.00,0.00,-7.53,0.00,-0.10
209,16.29,113.30,11.74,0.00,0.00,0.15,0.00,0.00,0.00
211,0.00,0.00,0.00,0.00,0.00,2.63,0.00,0.00,-0.03
213,-0.21,0.00,-0.35,0.00,0.00,4.13,0.00,0.47,0.00
215,0.00,0.00,0.00,0.00,2.54,0.00,0.00,0.23,0.00
216,0.00,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.00
265,1.68,13.60,2.91,191.30,0.00,2.80,13.20,0.00,16.08
333,0.00,0.00,0.00,20.65,-1.20,0.00,0.00,0.00,0.00
473,-1.66,0.57,0.00,102.00,0.16,0.29,-3.41,0.00,-0.09
477,-1.66,0.00,0.00,0.00,0.00,0.00,-10.05,0.00,0.00
522,0.00,0.00,0.00,32.43,0.00,0.00,0.00,0.00,0.00
800,9.52,2.98,-5.16,7.20,5.15,0.25,23.56,102.00,28.35
802,23.08,2.64,0.00,0.00,24.95,133.30,11.31,35.08,13.64
803,4.17,0.15,-9.68,0.72,7.89,10.20,0.00,102.00,6.49
804,0.15,0.00,0.00,0.00,0.00,0.00,0.00,27.64,0.00
808,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.64,0.00
809,0.00,5.38,7.17,9.32,18.95,3.07,16.72,102.00,0.00
810,0.00,0.00,0.00,0.00,0.00,0.00,-0.35,41.77,0.00
811,0.00,0.00,0.00,0.00,0.00,10.20,0.00,0.00,-0.10
869,0.00,0.20,0.00,0.00,0.00,0.00,-0.35,0.00,0.00
877,0.00,0.88,-9.15,0.00,0.00,0.00,0.00,27.64,0.00
934,15.84,10.16,-17.51,12.87,10.55,16.78,16.11,102.00,8.96
942,43.28,0.00,0.00,0.00,-3.85,0.00,0.00,0.00,0.00
