StateIndex,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
0,13.24,0.00,13.98,103.30,0.00,-0.04,7.97,-0.07,5.79
1,4.07,112.62,3.54,0.00,4.04,-0.04,17.00,0.00,11.41
2,21.12,13.53,12.31,104.92,12.36,-0.04,23.90,0.00,0.00
3,12.99,0.00,0.00,103.30,9.26,0.00,8.39,-0.09,-0.29
4,0.00,0.00,0.00,10.18,0.00,0.00,0.00,0.00,0.00
69,0.00,0.00,0.00,10.15,0.00,0.00,0.00,0.00,-0.29
134,0.00,0.00,-0.54,0.00,21.54,0.00,0.00,0.00,0.00
208,0.00,-0.54,0.00,0.00,0.00,0.00,2.45,0.00,-0.29
209,15.58,111.00,11.10,0.00,0.00,-0.04,0.00,0.00,0.00
211,0.00,0.00,0.00,0.00,0.00,-0.61,0.00,0.00,-0.30
213,-0.57,0.00,-0.54,0.00,0.00,-0.96,0.00,-0.11,0.00
215,0.00,0.00,0.00,0.00,-0.59,0.00,0.00,-0.05,0.00
216,0.00,0.00,0.00,10.15,0.00,0.00,0.00,0.00,0.00
265,1.22,9.87,2.59,102.80,0.00,0.87,8.35,0.00,8.70
333,0.00,0.00,0.00,19.22,0.87,0.00,0.00,0.00,0.00
473,-1.90,0.37,0.00,101.00,-0.04,-0.08,5.17,0.00,-0.29
477,-2.13,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00
522,0.00,0.00,0.00,27.34,0.00,0.00,0.00,0.00,0.00
800,1.09,0.59,-11.61,2.21,0.89,0.40,1.53,2.00,1.60
802,1.03,0.25,0.00,0.00,1.31,3.80,0.53,0.69,0.81
803,2.29,0.20,-11.83,0.96,0.69,0.20,0.00,2.00,0.33
804,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00
808,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.00
809,0.00,0.30,-0.84,0.38,1.08,0.22,0.72,2.00,0.00
810,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.82,0.00
811,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.20
869,0.00,0.27,0.00,0.00,0.00,0.00,0.20,0.00,0.00
877,0.00,1.17,-9.18,0.00,0.00,0.00,0.00,0.54,0.00
934,0.68,1.43,-17.59,0.63,1.19,0.72,0.71,2.00,0.38
942,1.77,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00
