profile,condition,metric,metric_tier,direction,n_seeds,mean,ci_lo,ci_hi
lab1,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab1,ql_true,auc_reward,secondary,higher_better,10,82.99153129866284,82.4401337912166,83.6635988415031
lab1,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab1,ql_true,mean_first_goal,secondary,lower_better,10,45.6,35.4,55.8
lab1,ql_false,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab1,ql_false,auc_reward,secondary,higher_better,10,83.03936704063256,82.61649811173679,83.49562382068855
lab1,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab1,ql_false,mean_first_goal,secondary,lower_better,10,36.15,25.35,49.8
lab2,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab2,ql_true,auc_reward,secondary,higher_better,10,211.89264754918304,208.35942147382457,215.24622207402467
lab2,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab2,ql_true,mean_first_goal,secondary,lower_better,10,1288.1663524800506,1270.6320207309332,1304.2468333525555
lab2,ql_false,auc_goal,primary,higher_better,10,0.9889629876625541,0.9859115538512837,0.9916472157385796
lab2,ql_false,auc_reward,secondary,higher_better,10,204.04414804934976,199.4223374458153,209.49094698232744
lab2,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab2,ql_false,mean_first_goal,secondary,lower_better,10,1313.5305737632793,1300.1654641468958,1326.9668250369425
lab3,ql_true,auc_goal,primary,higher_better,10,0.9873624541513838,0.9836612204068022,0.9909303101033677
lab3,ql_true,auc_reward,secondary,higher_better,10,223.45765255085024,222.14048016005336,224.9056985661887
lab3,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab3,ql_true,mean_first_goal,secondary,lower_better,10,1342.7521152953484,1327.3378791374573,1357.647974032243
lab3,ql_false,auc_goal,primary,higher_better,10,0.9937145715238414,0.9907298266088694,0.9965655218406134
lab3,ql_false,auc_reward,secondary,higher_better,10,214.29333111037013,210.1690042514171,218.64905426808934
lab3,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab3,ql_false,mean_first_goal,secondary,lower_better,10,1300.642900765851,1273.156755211927,1331.1788738277187
