profile,condition,metric,metric_tier,direction,n_seeds,mean,ci_lo,ci_hi
lab1,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab1,ql_true,auc_reward,secondary,higher_better,10,83.505478699556,83.00167890484487,84.09722685927741
lab1,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab1,ql_true,mean_first_goal,secondary,lower_better,10,33.0,26.1,39.75
lab1,ql_false,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab1,ql_false,auc_reward,secondary,higher_better,10,82.58355465790746,81.91317793092405,83.22417229070344
lab1,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab1,ql_false,mean_first_goal,secondary,lower_better,10,32.4,24.45,41.4
lab2,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab2,ql_true,auc_reward,secondary,higher_better,10,211.27159053017672,208.5620706902301,213.90862454151383
lab2,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab2,ql_true,mean_first_goal,secondary,lower_better,10,1295.16406189637,1278.3298069421332,1312.6731561507136
lab2,ql_false,auc_goal,primary,higher_better,10,0.9877292430810269,0.9836778926308769,0.9909969989996664
lab2,ql_false,auc_reward,secondary,higher_better,10,203.7299766588863,200.96930143381127,206.74211903967992
lab2,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab2,ql_false,mean_first_goal,secondary,lower_better,10,1305.4670690362143,1285.5318787571723,1327.035329575766
lab3,ql_true,auc_goal,primary,higher_better,10,0.9737412470823609,0.9693560353451152,0.9784928309436479
lab3,ql_true,auc_reward,secondary,higher_better,10,235.03307769256418,233.03758627875962,237.03124166388795
lab3,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab3,ql_true,mean_first_goal,secondary,lower_better,10,1377.8896847730834,1361.832640922913,1393.7595919723738
lab3,ql_false,auc_goal,primary,higher_better,10,0.9825941980660222,0.980210070023341,0.9851121207069022
lab3,ql_false,auc_reward,secondary,higher_better,10,220.5226408802934,213.10627750916967,227.39863371123707
lab3,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab3,ql_false,mean_first_goal,secondary,lower_better,10,1378.8353329004772,1361.4573169025794,1396.6182533056663
