profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab1,ql_false,40,1.0,0.5,1.125,4.275,0.5,0.0,0.5,0,0,0,0,0
lab1,ql_true,40,1.0,0.5,1.125,4.4,0.45,0.0,0.45,0,0,0,0,0
lab1,rule_based,40,1.0,0.5,1.125,4.35,0.5,0.0,0.5,0,0,0,0,0
lab1,training_stereo_false,,,,,,,,,0,0,0,0,0
lab1,training_stereo_true,,,,,,,,,0,0,0,0,0
lab2,ql_false,80,1.0,1.25,4.3125,10.65,1.225,0.5625,1.7875,0,0,0,0,0
lab2,ql_true,80,1.0,1.0,3.5625,9.4,0.9375,0.3125,1.25,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,9.7125,0.875,0.25,1.125,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,0.9375,2.1875,3.9375,15.6875,2.175,0.4375,2.6125,0,0,0,0,0
lab3,ql_true,80,1.0,0.8125,2.375,13.1625,0.7125,0.25,0.9625,0,0,0,0,0
lab3,rule_based,80,1.0,0.8125,2.125,12.25,0.775,0.25,1.025,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
