profile,condition,metric,metric_tier,direction,n_seeds,mean,ci_lo,ci_hi
lab1,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab1,ql_true,auc_reward,secondary,higher_better,10,83.03755528938915,82.60839419435169,83.55256220316599
lab1,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab1,ql_true,mean_first_goal,secondary,lower_better,10,32.25,24.15,41.85
lab1,ql_false,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab1,ql_false,auc_reward,secondary,higher_better,10,82.61114133690782,81.90789723008054,83.24314961627029
lab1,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab1,ql_false,mean_first_goal,secondary,lower_better,10,38.1,27.75,49.65
lab2,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
lab2,ql_true,auc_reward,secondary,higher_better,10,210.5864454818273,206.78441438812936,214.28086778926308
lab2,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab2,ql_true,mean_first_goal,secondary,lower_better,10,1297.589042792665,1278.1812356915173,1316.2916033483714
lab2,ql_false,auc_goal,primary,higher_better,10,0.9818106035345116,0.9726571357119039,0.9894131377125708
lab2,ql_false,auc_reward,secondary,higher_better,10,202.91582194064688,198.64619623207736,207.9433969656552
lab2,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab2,ql_false,mean_first_goal,secondary,lower_better,10,1296.7376291522514,1277.1934662647427,1316.4145572901373
lab3,ql_true,auc_goal,primary,higher_better,10,0.9914638212737579,0.9888296098699566,0.9937312437479161
lab3,ql_true,auc_reward,secondary,higher_better,10,226.97912637545852,225.77664888296096,228.29816605535174
lab3,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab3,ql_true,mean_first_goal,secondary,lower_better,10,1335.1642923564239,1309.854499778691,1356.6276715058434
lab3,ql_false,auc_goal,primary,higher_better,10,0.9946815605201735,0.9907969323107702,0.9976825608536177
lab3,ql_false,auc_reward,secondary,higher_better,10,208.12869289763253,205.71624416472153,211.0172344948316
lab3,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab3,ql_false,mean_first_goal,secondary,lower_better,10,1329.3145562688485,1291.5639714118604,1363.7878272007952
