profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_energy,avg_wasted,avg_cycling,avg_redundant,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab1,ql_false,40,1.0,0.5,1.125,4.575,0.475,0.0,0.475,0,0,0,0,0
lab1,ql_true,40,1.0,0.5,1.125,4.425,0.45,0.0,0.45,0,0,0,0,0
lab1,rule_based,40,1.0,0.5,1.125,4.55,0.475,0.0,0.475,0,0,0,0,0
lab1,training_stereo_false,,,,,,,,,0,0,0,0,0
lab1,training_stereo_true,,,,,,,,,0,0,0,0,0
lab2,ql_false,80,0.9375,2.375,7.6875,12.325,2.3125,0.5,2.8125,0,0,0,0,0
lab2,ql_true,80,1.0,1.125,3.8125,9.8375,1.0375,0.4375,1.475,0,0,0,0,0
lab2,rule_based,80,1.0,0.9375,3.4375,9.675,0.8375,0.25,1.0875,0,0,0,0,0
lab2,training_stereo_false,,,,,,,,,0,0,0,0,0
lab2,training_stereo_true,,,,,,,,,0,0,0,0,0
lab3,ql_false,80,1.0,0.75,2.125,11.5,0.7125,0.1875,0.9,0,0,0,0,0
lab3,ql_true,80,1.0,0.8125,2.375,12.4125,0.775,0.25,1.025,0,0,0,0,0
lab3,rule_based,80,1.0,0.8125,2.125,12.0375,0.75,0.25,1.0,0,0,0,0,0
lab3,training_stereo_false,,,,,,,,,0,0,0,0,0
lab3,training_stereo_true,,,,,,,,,0,0,0,0,0
