row_type,name,profile,mode,arm,seed,metric,presentation,value,n,ci_lo_bootstrap,ci_hi_bootstrap,p_signflip_two_sided_uncorrected,endpoint,note
redundancy_contrast,M1_labrel_stateless_frozen_slope_redundancy_only_analogue,,,,,auc_goal_slope_per_K,,-2.38095238095e-06,20,-8.45238095238e-06,3.69047619048e-06,0.45654296875,auc_goal_slope_per_K,redundancy_only minus baseline analogue
redundancy_contrast,M2_labrel_incremental_slope_redundancy_only_analogue,,,,,auc_goal_slope_per_K,,-2.38095238095e-06,20,-8.45238095238e-06,3.45238095238e-06,0.45654296875,auc_goal_slope_per_K,redundancy_only minus baseline analogue; identical construction to the M1 analogue
redundancy_contrast,M3_labrel8s_fragmentation_did_redundancy_only_analogue,,,,,auc_goal_did,,0.000783333333333,20,0.000416666666667,0.00113333333333,0.000808715820312,auc_goal_did,redundancy_only minus baseline analogue
redundancy_contrast,M4_labband_extended_vs_frozen_auc_redundancy_only_analogue,,,,,auc_goal,,0.000433333333333,20,0.000166666666667,0.0007,0.00750732421875,auc_goal,redundancy_only minus baseline analogue
redundancy_contrast,M5_labband_extended_vs_baseline_dev_redundancy_only_analogue,,,,,avg_dev,,-0.22625,20,-0.455,-0.001875,0.0731658935547,avg_dev,redundancy_only minus baseline analogue
redundancy_contrast,M6_chain3_frozen_vs_baseline_rmst_redundancy_only_analogue,,,,,rmst_first_success,,-0.225,20,-0.391666666667,-0.05,0.0263977050781,rmst,redundancy_only minus baseline analogue
rung_descriptive,,labrel0,phase1b_v2_baseline,true,,auc_goal,,1,20,,,,,
rung_descriptive,,labrel0,phase1b_v2_baseline,false,,auc_goal,,1,20,,,,,
rung_descriptive,,labrel4,phase1b_v2_baseline,true,,auc_goal,,1,20,,,,,
rung_descriptive,,labrel4,phase1b_v2_baseline,false,,auc_goal,,1,20,,,,,
rung_descriptive,,labrel8,phase1b_v2_baseline,true,,auc_goal,,0.999966666667,20,,,,,
rung_descriptive,,labrel8,phase1b_v2_baseline,false,,auc_goal,,0.999966666667,20,,,,,
rung_descriptive,,labrel16,phase1b_v2_baseline,true,,auc_goal,,0.99985,20,,,,,
rung_descriptive,,labrel16,phase1b_v2_baseline,false,,auc_goal,,0.99985,20,,,,,
rung_descriptive,,labrel8s,phase1b_v2_baseline,true,,auc_goal,,0.998666666667,20,,,,,
rung_descriptive,,labrel8s,phase1b_v2_baseline,false,,auc_goal,,0.998666666667,20,,,,,
first_success_curve,,labrel0,phase1b_v2_baseline,true,,cum_success_fraction,1,1,40,,,,,
first_success_curve,,labrel4,phase1b_v2_baseline,true,,cum_success_fraction,1,1,40,,,,,
first_success_curve,,labrel8,phase1b_v2_baseline,true,,cum_success_fraction,1,0.95,40,,,,,
first_success_curve,,labrel8,phase1b_v2_baseline,true,,cum_success_fraction,2,1,40,,,,,
first_success_curve,,labrel16,phase1b_v2_baseline,true,,cum_success_fraction,1,0.775,40,,,,,
first_success_curve,,labrel16,phase1b_v2_baseline,true,,cum_success_fraction,2,1,40,,,,,
first_success_curve,,labrel8s,phase1b_v2_baseline,true,,cum_success_fraction,1,0.775,40,,,,,
first_success_curve,,labrel8s,phase1b_v2_baseline,true,,cum_success_fraction,2,1,40,,,,,
first_success_curve,,labband,phase1b_v2_baseline,true,,cum_success_fraction,1,0.895,200,,,,,
first_success_curve,,labband,phase1b_v2_baseline,true,,cum_success_fraction,2,0.99,200,,,,,
first_success_curve,,labband,phase1b_v2_baseline,true,,cum_success_fraction,3,1,200,,,,,
