profile,condition,metric,metric_tier,direction,n_seeds,mean,ci_lo,ci_hi
lab4chain3,ql_true,auc_goal,primary,higher_better,10,0.9968333333333333,0.9954999999999998,0.9978666666666666
lab4chain3,ql_true,auc_reward,secondary,higher_better,10,155.56643333333335,155.06457333333333,155.97044250000002
lab4chain3,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab4chain3,ql_true,mean_first_goal,secondary,lower_better,10,1.4833333333333332,1.3166666666666669,1.65
lab4chain3,ql_false,auc_goal,primary,higher_better,10,0.9968333333333333,0.9954999999999998,0.9978666666666666
lab4chain3,ql_false,auc_reward,secondary,higher_better,10,155.56643333333335,155.06457333333333,155.97044250000002
lab4chain3,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
lab4chain3,ql_false,mean_first_goal,secondary,lower_better,10,1.4833333333333332,1.3166666666666669,1.65
labband,ql_true,auc_goal,primary,higher_better,10,0.9992333333333333,0.9989333333333331,0.9994666666666665
labband,ql_true,auc_reward,secondary,higher_better,10,155.4655,154.07038166666666,156.95850583333333
labband,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labband,ql_true,mean_first_goal,secondary,lower_better,10,1.1599999999999997,1.1,1.23
labband,ql_false,auc_goal,primary,higher_better,10,0.9992333333333333,0.9989333333333331,0.9994666666666665
labband,ql_false,auc_reward,secondary,higher_better,10,155.4655,154.07038166666666,156.95850583333333
labband,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labband,ql_false,mean_first_goal,secondary,lower_better,10,1.1599999999999997,1.1,1.23
labrel0,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
labrel0,ql_true,auc_reward,secondary,higher_better,10,99.87506666666665,99.86443249999999,99.88440083333333
labrel0,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labrel0,ql_true,mean_first_goal,secondary,lower_better,10,1.0,1.0,1.0
labrel0,ql_false,auc_goal,primary,higher_better,10,1.0,1.0,1.0
labrel0,ql_false,auc_reward,secondary,higher_better,10,99.87506666666665,99.86443249999999,99.88440083333333
labrel0,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labrel0,ql_false,mean_first_goal,secondary,lower_better,10,1.0,1.0,1.0
labrel16,ql_true,auc_goal,primary,higher_better,10,0.9998999999999999,0.9997999999999999,1.0
labrel16,ql_true,auc_reward,secondary,higher_better,10,99.94313333333335,99.91959999999999,99.96413333333335
labrel16,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labrel16,ql_true,mean_first_goal,secondary,lower_better,10,1.15,1.0,1.3
labrel16,ql_false,auc_goal,primary,higher_better,10,0.9998999999999999,0.9997999999999999,1.0
labrel16,ql_false,auc_reward,secondary,higher_better,10,99.94313333333335,99.91959999999999,99.96413333333335
labrel16,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labrel16,ql_false,mean_first_goal,secondary,lower_better,10,1.15,1.0,1.3
labrel4,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
labrel4,ql_true,auc_reward,secondary,higher_better,10,99.9445,99.93836666666667,99.95113333333333
labrel4,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labrel4,ql_true,mean_first_goal,secondary,lower_better,10,1.0,1.0,1.0
labrel4,ql_false,auc_goal,primary,higher_better,10,1.0,1.0,1.0
labrel4,ql_false,auc_reward,secondary,higher_better,10,99.9445,99.93836666666667,99.95113333333333
labrel4,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labrel4,ql_false,mean_first_goal,secondary,lower_better,10,1.0,1.0,1.0
labrel8,ql_true,auc_goal,primary,higher_better,10,1.0,1.0,1.0
labrel8,ql_true,auc_reward,secondary,higher_better,10,99.95753333333332,99.9514,99.964
labrel8,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labrel8,ql_true,mean_first_goal,secondary,lower_better,10,1.0,1.0,1.0
labrel8,ql_false,auc_goal,primary,higher_better,10,1.0,1.0,1.0
labrel8,ql_false,auc_reward,secondary,higher_better,10,99.95753333333332,99.9514,99.964
labrel8,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labrel8,ql_false,mean_first_goal,secondary,lower_better,10,1.0,1.0,1.0
labrel8s,ql_true,auc_goal,primary,higher_better,10,0.9987999999999999,0.9985333333333333,0.9991
labrel8s,ql_true,auc_reward,secondary,higher_better,10,99.56809999999999,99.42669666666666,99.67810083333333
labrel8s,ql_true,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labrel8s,ql_true,mean_first_goal,secondary,lower_better,10,1.2,1.05,1.35
labrel8s,ql_false,auc_goal,primary,higher_better,10,0.9987999999999999,0.9985333333333333,0.9991
labrel8s,ql_false,auc_reward,secondary,higher_better,10,99.56809999999999,99.42669666666666,99.67810083333333
labrel8s,ql_false,episodes_to_threshold,secondary_censored,lower_better,10,99.0,99.0,99.0
labrel8s,ql_false,mean_first_goal,secondary,lower_better,10,1.2,1.05,1.35
