profile,mode,n_seeds,goal_rate_mean,goal_rate_ci_lo,goal_rate_ci_hi,avg_steps_mean,avg_steps_ci_lo,avg_steps_ci_hi,avg_dev_mean,avg_dev_ci_lo,avg_dev_ci_hi,avg_policy_energy_mean,avg_policy_energy_ci_lo,avg_policy_energy_ci_hi,avg_legacy_wallclock_energy_mean,avg_legacy_wallclock_energy_ci_lo,avg_legacy_wallclock_energy_ci_hi,avg_wasted_mean,avg_wasted_ci_lo,avg_wasted_ci_hi,avg_cycling_mean,avg_cycling_ci_lo,avg_cycling_ci_hi,avg_redundant_mean,avg_redundant_ci_lo,avg_redundant_ci_hi
lab4chain3,ql_false,10,1.0,1.0,1.0,1.7875,1.6625,1.925,2.7375,2.3625,3.15,2.0375,1.55,2.625,4.36,3.4174999999999995,5.397499999999999,0.0,0.0,0.0,1.7875,1.6625,1.925,1.7875,1.6625,1.925
lab4chain3,ql_true,10,1.0,1.0,1.0,1.5,1.5,1.5,1.875,1.875,1.875,1.0,1.0,1.0,2.8325000000000005,2.7875000000000005,2.8800000000000003,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5
lab4chain3,rule_based,10,1.0,1.0,1.0,1.5,1.5,1.5,1.875,1.875,1.875,1.25,1.25,1.25,2.9125,2.8325,2.995,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5
labband,ql_false,10,0.9974999999999999,0.99375,1.0,1.4187499999999997,1.275,1.5775,0.7125,0.55375,0.8850312499999997,1.585,1.225,1.9775312499999997,10.692499999999999,9.776218750000002,11.66375,0.25625,0.13875,0.3775312499999996,1.1625,1.11375,1.2200000000000002,1.4187499999999997,1.275,1.5775
labband,ql_true,10,0.99875,0.9962500000000001,1.0,1.255,1.13625,1.3775,0.54125,0.42125,0.66875,1.31875,1.0099687499999999,1.6212499999999999,9.97875,9.24746875,10.68378125,0.04125,0.02,0.062499999999999986,1.21375,1.1075,1.3287499999999999,1.255,1.13625,1.3775
labband,rule_based,10,0.4375,0.4375,0.4375,11.4375,11.4375,11.4375,15.0,15.0,15.0,11.1875,11.1875,11.1875,32.084999999999994,31.87496875,32.343781250000006,0.0,0.0,0.0,11.4375,11.4375,11.4375,11.4375,11.4375,11.4375
labrel0,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.6000000000000005,4.39,4.84,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel0,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.499999999999999,4.369999999999999,4.63,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel0,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.5600000000000005,4.359999999999999,4.83,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.45,4.3100000000000005,4.609999999999999,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.58,4.430000000000001,4.779999999999999,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel16,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.67,4.500000000000001,4.840000000000001,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel4,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.4,4.300000000000001,4.49,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel4,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.5600000000000005,4.36,4.78,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel4,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.5600000000000005,4.380000000000001,4.7299999999999995,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8,ql_false,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.68,4.52,4.860000000000001,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.49,4.38,4.609999999999999,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.6899999999999995,4.500000000000001,4.88,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8s,ql_false,10,1.0,1.0,1.0,0.55,0.5,0.65,0.15,0.0,0.45,0.6,0.5,0.8,4.82,4.46,5.42,0.0,0.0,0.0,0.55,0.5,0.65,0.55,0.5,0.65
labrel8s,ql_true,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.51,4.36,4.660000000000001,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
labrel8s,rule_based,10,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,4.5600000000000005,4.33,4.82,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5
