profile,mode,n_runs,defect_component,well_posed_recovery,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.0,0,0.0,107.2,94.0,122.7,0.0,0.0,0.0
lab1_f1dead,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.0,0,0.0,177.8,149.7,210.1,0.0,0.0,0.0
lab2_f1dead,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,0.4,10,4,0.045,0,0.0,303.75,259.75,344.5,0.0,0.0,0.0
lab2_f1dead,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,1.0,10,10,0.07,0,0.0,489.7,421.8,583.4099999999999,0.0,0.0,0.0
lab2_f1inv,ql_false,10,http://example.org/was#SetZ1Light,False,1.0,0.1,10,1,0.015,0,0.0,225.0,nan,nan,0.0,0.0,0.0
lab2_f1inv,ql_true,10,http://example.org/was#SetZ1Light,False,1.0,0.0,10,0,0.03,0,0.0,nan,nan,nan,0.0,0.0,0.0
lab2_f2dead,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.06,0,0.0,nan,nan,nan,0.0,0.0,0.0
lab2_f2dead,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.095,0,0.0,nan,nan,nan,0.0,0.0,0.0
lab2_f2inv,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.01,0,0.0,nan,nan,nan,0.0,0.0,0.0
lab2_f2inv,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.015,0,0.0,nan,nan,nan,0.0,0.0,0.0
lab3_f1dead,ql_false,10,http://example.org/was#SetZ1Light,True,1.0,1.0,10,10,0.915,10,1.0,342.3,231.4,467.60249999999996,1.0,0.2,1.9
lab3_f1dead,ql_true,10,http://example.org/was#SetZ1Light,True,1.0,1.0,10,10,0.865,10,1.0,137.4,107.5,168.4,2.1,0.5,4.5
lab3_f1inv,ql_false,10,http://example.org/was#SetZ1Light,True,1.0,0.7,10,7,0.25,0,0.0,1876.0,1496.1392857142857,2316.714285714286,1.5,0.4,2.7
lab3_f1inv,ql_true,10,http://example.org/was#SetZ1Light,True,1.0,1.0,10,10,0.235,0,0.0,1677.8,1402.7949999999998,1865.1049999999998,3.5,1.5,5.6
lab3_f2dead,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.8,10,8,0.37,0,0.0,2861.125,2621.25,3124.75,0.0,0.0,0.0
lab3_f2dead,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.8,10,8,0.36,0,0.0,2167.75,1918.35625,2416.125,0.0,0.0,0.0
lab3_f2inv,ql_false,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.195,0,0.0,nan,nan,nan,0.0,0.0,0.0
lab3_f2inv,ql_true,10,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,1.0,0.0,10,0,0.2,0,0.0,nan,nan,nan,0.0,0.0,0.0
