Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,19,-109.00,-119.00,0,0.300000,17,10
1,20,-135.00,-105.00,0,0.298800,15,13
2,20,-95.00,-85.00,0,0.297605,12,14
3,20,-100.00,-140.00,0,0.296414,16,9
4,20,-35.00,-25.00,0,0.295229,11,10
5,20,-55.00,-25.00,0,0.294048,10,12
6,20,-35.00,-45.00,0,0.292872,10,12
7,20,-115.00,-125.00,0,0.291700,15,13
8,20,-175.00,-65.00,0,0.290533,17,20
9,20,-32.00,-20.00,0,0.289371,10,12
10,20,-159.00,-120.00,0,0.288214,14,19
11,20,-175.00,-65.00,0,0.287061,17,18
12,20,-110.00,-130.00,0,0.285913,16,11
13,20,-35.00,-25.00,0,0.284769,11,10
14,20,-130.00,-110.00,0,0.283630,16,15
15,20,-100.00,-50.00,0,0.282495,11,15
16,20,-40.00,-40.00,0,0.281365,11,12
17,20,-30.00,-30.00,0,0.280240,10,10
18,20,-80.00,-80.00,0,0.279119,12,12
19,20,-18.00,-73.00,0,0.278002,12,11
20,20,-25.00,-27.00,0,0.276890,11,12
21,20,-75.00,-65.00,0,0.275783,12,10
22,20,-115.00,-125.00,0,0.274680,17,12
23,20,-130.00,-110.00,0,0.273581,18,11
24,20,-155.00,-85.00,0,0.272487,19,11
25,20,-120.00,-120.00,0,0.271397,16,11
26,20,-45.00,-85.00,0,0.270311,13,13
27,20,-25.00,-85.00,0,0.269230,10,11
28,20,-55.00,-15.00,0,0.268153,10,7
29,20,-120.00,-120.00,0,0.267080,16,13
30,20,28.00,-31.00,0,0.266012,10,3
31,20,-42.00,-32.00,0,0.264948,11,14
32,1,50.00,4.00,1,0.263888,0,0
33,20,-155.00,-85.00,0,0.262833,15,16
34,20,-130.00,-110.00,0,0.261781,16,12
35,20,-65.00,-125.00,0,0.260734,13,11
36,20,-110.00,-130.00,0,0.259691,16,11
37,20,-25.00,-35.00,0,0.258653,11,10
38,20,-65.00,-45.00,0,0.257618,12,11
39,20,-20.00,-20.00,0,0.256587,9,8
40,20,-10.00,-110.00,0,0.255561,12,8
41,20,21.00,-24.00,0,0.254539,9,3
42,20,-59.00,-10.00,0,0.253521,11,9
43,20,-125.00,-27.00,0,0.252507,12,12
44,20,-130.00,-110.00,0,0.251497,14,16
45,20,-95.00,-145.00,0,0.250491,15,13
46,20,-34.00,-30.00,0,0.249489,10,4
47,20,-120.00,-120.00,0,0.248491,16,11
48,20,0.00,0.00,0,0.247497,9,4
49,20,-50.00,-40.00,0,0.246507,12,9
50,20,-10.00,-10.00,0,0.245521,10,6
51,20,-115.00,-125.00,0,0.244539,17,11
52,20,-11.00,-53.00,0,0.243560,11,4
53,20,-44.00,-25.00,0,0.242586,12,9
54,20,-100.00,0.00,0,0.241616,11,6
55,20,-125.00,-115.00,0,0.240649,17,10
56,20,-145.00,-95.00,0,0.239687,17,12
57,20,-90.00,-40.00,0,0.238728,12,13
58,20,-125.00,-115.00,0,0.237773,17,12
59,20,-10.00,10.00,0,0.236822,11,4
60,20,-10.00,-10.00,0,0.235875,10,6
61,20,-10.00,-10.00,0,0.234931,10,6
62,20,49.00,-30.00,0,0.233992,10,1
63,20,43.00,37.00,0,0.233056,9,0
64,20,-16.00,-14.00,0,0.232123,11,10
65,20,-64.00,-39.00,0,0.231195,11,3
66,20,-125.00,-115.00,0,0.230270,17,10
67,20,-105.00,-135.00,0,0.229349,15,12
68,20,-125.00,-115.00,0,0.228432,17,11
69,20,-130.00,-110.00,0,0.227518,16,13
70,20,10.00,-40.00,0,0.226608,9,3
71,20,-55.00,5.00,0,0.225701,11,5
72,20,-25.00,-5.00,0,0.224799,10,3
73,20,-105.00,-135.00,0,0.223899,17,8
74,20,11.00,25.00,0,0.223004,9,4
75,20,-43.00,18.00,0,0.222112,11,5
76,20,-10.00,-10.00,0,0.221223,12,6
77,20,-130.00,-110.00,0,0.220338,14,14
78,20,-130.00,-110.00,0,0.219457,16,10
79,20,-100.00,-140.00,0,0.218579,16,13
80,20,-130.00,-110.00,0,0.217705,14,14
81,20,5.00,-5.00,0,0.216834,10,4
82,20,-5.00,5.00,0,0.215967,10,4
83,20,-35.00,-45.00,0,0.215103,11,4
84,20,-130.00,-110.00,0,0.214243,16,11
85,20,5.00,9.00,0,0.213386,10,6
86,20,-28.00,25.00,0,0.212532,11,3
87,20,-75.00,-5.00,0,0.211682,11,4
88,20,-120.00,-120.00,0,0.210835,18,10
89,20,-115.00,-125.00,0,0.209992,17,14
90,0,0.00,0.00,1,0.209152,0,0
91,20,-115.00,-125.00,0,0.208315,17,12
92,20,5.00,15.00,0,0.207482,9,2
93,20,20.00,0.00,0,0.206652,10,2
94,20,10.00,10.00,0,0.205825,10,2
95,20,-29.00,-1.00,0,0.205002,10,10
96,20,18.00,18.00,0,0.204182,10,4
97,20,-23.00,20.00,0,0.203365,10,3
98,20,-69.00,-61.00,0,0.202552,12,10
99,20,-130.00,-110.00,0,0.201742,16,12
100,20,-120.00,-120.00,0,0.200935,16,11
101,0,0.00,0.00,1,0.200131,0,0
102,20,-120.00,-120.00,0,0.199331,16,14
103,20,-25.00,-5.00,0,0.198533,10,3
104,20,10.00,10.00,0,0.197739,8,2
105,20,-5.00,-45.00,0,0.196948,11,5
106,20,33.00,-36.00,0,0.196160,9,3
107,20,10.00,-57.00,0,0.195376,12,7
108,20,28.00,8.00,0,0.194594,10,4
109,20,-30.00,-30.00,0,0.193816,11,2
110,20,-100.00,-140.00,0,0.193041,16,13
111,20,-120.00,-120.00,0,0.192268,16,12
112,20,-85.00,5.00,0,0.191499,11,4
113,20,-130.00,-110.00,0,0.190733,16,12
114,20,0.00,-30.00,0,0.189970,9,3
115,20,-5.00,-45.00,0,0.189210,9,5
116,20,-5.00,5.00,0,0.188454,8,4
117,20,-40.00,-20.00,0,0.187700,11,2
118,20,5.00,9.00,0,0.186949,10,6
119,20,34.00,24.00,0,0.186201,9,2
120,20,-120.00,-120.00,0,0.185456,16,10
121,20,-135.00,-105.00,0,0.184715,15,12
122,20,-115.00,-125.00,0,0.183976,15,12
123,20,-35.00,126.00,0,0.183240,1,19
124,20,-110.00,-130.00,0,0.182507,14,10
125,20,20.00,-30.00,0,0.181777,10,1
126,20,0.00,20.00,0,0.181050,10,2
127,20,20.00,0.00,0,0.180326,10,2
128,0,0.00,0.00,1,0.179604,0,0
129,20,23.00,13.00,0,0.178886,11,4
130,20,29.00,29.00,0,0.178170,10,2
131,20,80.00,-45.00,0,0.177458,2,20
132,20,-115.00,-125.00,0,0.176748,17,10
133,20,-130.00,-110.00,0,0.176041,16,13
134,20,-40.00,106.00,0,0.175337,2,19
135,20,-110.00,-130.00,0,0.174635,18,14
136,20,-45.00,15.00,0,0.173937,10,3
137,20,20.00,-30.00,0,0.173241,10,1
138,20,0.00,0.00,0,0.172548,9,4
139,20,-25.00,15.00,0,0.171858,9,1
140,20,-9.00,1.00,0,0.171170,11,8
141,20,21.00,37.00,0,0.170486,10,2
142,3,48.00,43.00,1,0.169804,0,1
143,20,-125.00,-115.00,0,0.169125,15,14
144,20,-105.00,-135.00,0,0.168448,17,12
145,20,-64.00,-93.00,0,0.167774,13,17
146,20,-115.00,-125.00,0,0.167103,17,10
147,20,-35.00,5.00,0,0.166435,10,3
148,20,5.00,-35.00,0,0.165769,10,3
149,20,10.00,10.00,0,0.165106,8,2
150,20,-80.00,-50.00,0,0.164446,11,5
151,20,0.00,14.00,0,0.163788,11,6
152,20,31.00,-12.00,0,0.163133,10,1
153,20,18.00,40.00,0,0.162480,9,2
154,20,-120.00,-120.00,0,0.161830,16,11
155,20,-125.00,-115.00,0,0.161183,15,11
156,5,20.00,46.00,1,0.160538,0,4
157,20,-130.00,-110.00,0,0.159896,14,12
158,20,-30.00,20.00,0,0.159256,10,1
159,20,-20.00,10.00,0,0.158619,10,1
160,20,-5.00,5.00,0,0.157985,10,4
161,3,38.00,53.00,1,0.157353,1,1
162,20,8.00,6.00,0,0.156723,9,6
163,20,39.00,-20.00,0,0.156097,10,1
164,20,-12.00,31.00,0,0.155472,10,1
165,20,-95.00,-145.00,0,0.154850,17,11
166,20,-125.00,-115.00,0,0.154231,17,12
167,20,-115.00,-125.00,0,0.153614,15,14
168,20,-125.00,-115.00,0,0.153000,17,11
169,20,5.00,-35.00,0,0.152388,10,3
170,20,-25.00,15.00,0,0.151778,9,1
171,20,-30.00,20.00,0,0.151171,10,1
172,20,-20.00,10.00,0,0.150566,10,1
173,20,8.00,28.00,0,0.149964,10,4
174,20,-3.00,-22.00,0,0.149364,10,5
175,20,-120.00,-120.00,0,0.148767,18,10
176,20,-150.00,-90.00,0,0.148172,16,11
177,20,-115.00,-125.00,0,0.147579,15,13
178,1,4.00,50.00,1,0.146989,0,0
179,20,-120.00,-120.00,0,0.146401,16,12
180,20,15.00,-15.00,0,0.145815,10,4
181,20,-5.00,5.00,0,0.145232,10,4
182,20,10.00,10.00,0,0.144651,10,2
183,20,-66.00,-25.00,0,0.144072,11,11
184,20,22.00,-25.00,0,0.143496,10,3
185,20,39.00,41.00,0,0.142922,9,0
186,1,50.00,4.00,1,0.142350,0,0
187,20,-115.00,-125.00,0,0.141781,15,13
188,20,-130.00,-110.00,0,0.141214,16,11
189,0,0.00,0.00,1,0.140649,0,0
190,20,-120.00,-120.00,0,0.140086,14,13
191,20,-20.00,10.00,0,0.139526,10,1
192,20,10.00,10.00,0,0.138968,8,2
193,20,-20.00,0.00,0,0.138412,8,6
194,20,-110.00,-130.00,0,0.137858,16,12
195,20,15.00,21.00,0,0.137307,9,4
196,20,41.00,39.00,0,0.136758,9,0
197,2,54.00,49.00,1,0.136211,0,0
198,20,-120.00,-120.00,0,0.135666,16,11
199,20,-105.00,-135.00,0,0.135123,15,13
200,20,-145.00,-95.00,0,0.134583,17,11
201,20,-120.00,-120.00,0,0.134044,18,13
202,20,5.00,-35.00,0,0.133508,10,3
203,20,5.00,15.00,0,0.132974,9,2
204,20,-25.00,-5.00,0,0.132442,10,3
205,1,4.00,50.00,1,0.131912,0,0
206,20,22.00,36.00,0,0.131385,9,2
207,20,22.00,36.00,0,0.130859,9,2
208,20,-115.00,-125.00,0,0.130336,17,12
209,20,-115.00,-125.00,0,0.129814,17,12
210,20,-95.00,-145.00,0,0.129295,17,11
211,20,-135.00,-105.00,0,0.128778,15,13
212,20,-110.00,-130.00,0,0.128263,16,10
213,20,5.00,15.00,0,0.127750,9,2
214,20,-20.00,10.00,0,0.127239,10,1
215,20,-30.00,20.00,0,0.126730,10,1
216,1,50.00,4.00,1,0.126223,0,0
217,20,27.00,-30.00,0,0.125718,11,3
218,20,29.00,-10.00,0,0.125215,10,1
219,20,-90.00,10.00,0,0.124714,10,4
220,20,-125.00,-115.00,0,0.124215,15,13
221,20,-115.00,-125.00,0,0.123719,17,9
222,20,29.00,-32.00,0,0.123224,9,3
223,20,-135.00,-105.00,0,0.122731,15,12
224,20,-40.00,10.00,0,0.122240,11,3
225,20,-25.00,-5.00,0,0.121751,10,3
226,20,15.00,5.00,0,0.121264,9,2
227,20,-15.00,15.00,0,0.120779,10,4
228,20,7.00,29.00,0,0.120296,11,4
229,20,34.00,24.00,0,0.119815,9,2
230,20,-66.00,-86.00,0,0.119335,12,12
