Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,1,50.00,50.00,1,0.300000,0,0
1,6,22.00,62.00,1,0.299100,3,3
2,1,50.00,4.00,1,0.298203,0,0
3,3,50.00,50.00,1,0.297308,1,0
4,2,100.00,100.00,1,0.296416,0,0
5,7,60.00,70.00,1,0.295527,3,2
6,3,99.00,89.00,1,0.294640,1,0
7,0,0.00,0.00,1,0.293756,0,0
8,2,100.00,100.00,1,0.292875,0,0
9,4,44.00,54.00,1,0.291997,1,1
10,2,100.00,100.00,1,0.291121,0,0
11,20,-96.00,64.00,0,0.290247,3,15
12,1,50.00,50.00,1,0.289376,0,0
13,0,0.00,0.00,1,0.288508,0,0
14,3,128.00,128.00,1,0.287643,0,0
15,5,41.00,47.00,1,0.286780,1,1
16,3,89.00,99.00,1,0.285920,1,0
17,2,100.00,100.00,1,0.285062,0,0
18,2,100.00,100.00,1,0.284207,0,0
19,1,50.00,4.00,1,0.283354,0,0
20,7,97.00,97.00,1,0.282504,2,1
21,12,-21.00,48.00,1,0.281656,3,8
22,0,0.00,0.00,1,0.280811,0,0
23,0,0.00,0.00,1,0.279969,0,0
24,2,100.00,100.00,1,0.279129,0,0
25,20,-30.00,80.00,0,0.278292,0,4
26,2,100.00,100.00,1,0.277457,0,0
27,0,0.00,0.00,1,0.276624,0,0
28,2,100.00,100.00,1,0.275795,0,0
29,1,50.00,4.00,1,0.274967,0,0
30,2,100.00,100.00,1,0.274142,0,0
31,4,44.00,54.00,1,0.273320,1,1
32,0,0.00,0.00,1,0.272500,0,0
33,1,50.00,50.00,1,0.271682,0,0
34,2,100.00,54.00,1,0.270867,0,0
35,3,48.00,12.00,1,0.270055,0,0
36,2,100.00,100.00,1,0.269245,0,0
37,0,0.00,0.00,1,0.268437,0,0
38,3,99.00,89.00,1,0.267632,1,1
39,1,50.00,4.00,1,0.266829,0,0
40,2,100.00,100.00,1,0.266028,0,0
41,18,-60.00,100.00,1,0.265230,5,13
42,4,32.00,16.00,1,0.264434,1,2
43,20,-55.00,80.00,0,0.263641,2,5
44,3,94.00,94.00,1,0.262850,0,1
45,10,6.00,40.00,1,0.262062,0,9
46,2,100.00,100.00,1,0.261275,0,0
47,0,0.00,0.00,1,0.260492,0,0
48,2,100.00,100.00,1,0.259710,0,0
49,3,50.00,50.00,1,0.258931,1,0
50,2,100.00,100.00,1,0.258154,0,0
51,11,17.00,67.00,1,0.257380,2,8
52,0,0.00,0.00,1,0.256608,0,0
53,2,100.00,100.00,1,0.255838,0,0
