Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.300000,0,0
4,6,66.00,116.00,1,0.299100,3,0
5,0,0.00,0.00,1,0.298203,0,0
6,1,4.00,50.00,1,0.297308,0,0
7,3,-28.00,12.00,1,0.300000,2,1
8,20,-18.00,197.00,0,0.299100,10,5
9,0,0.00,0.00,1,0.298203,0,0
10,3,99.00,104.00,1,0.297308,0,0
11,0,0.00,0.00,1,0.296416,0,0
12,3,28.00,12.00,1,0.295527,2,1
13,1,4.00,50.00,1,0.294640,0,0
14,9,75.00,151.00,1,0.293756,4,1
15,0,0.00,0.00,1,0.292875,0,0
16,1,4.00,50.00,1,0.291997,0,0
17,2,44.00,8.00,1,0.291121,0,1
18,20,14.00,75.00,0,0.290247,10,6
19,0,0.00,0.00,1,0.289376,0,0
20,6,86.00,108.00,1,0.288508,2,1
21,0,0.00,0.00,1,0.287643,0,0
22,15,27.00,83.00,1,0.286780,6,5
23,17,22.00,178.00,1,0.285920,5,9
24,6,88.00,108.00,1,0.285062,2,0
25,0,0.00,0.00,1,0.284207,0,0
26,1,4.00,50.00,1,0.283354,0,0
27,20,-53.00,-8.00,0,0.282504,9,8
28,13,65.00,161.00,1,0.281656,6,1
29,0,0.00,0.00,1,0.280811,0,0
30,3,99.00,104.00,1,0.279969,0,0
31,0,0.00,0.00,1,0.279129,0,0
32,20,9.00,144.00,1,0.278292,5,14
33,1,4.00,50.00,1,0.277457,0,0
34,4,88.00,108.00,1,0.276624,1,0
35,0,0.00,0.00,1,0.275795,0,0
36,1,4.00,50.00,1,0.274967,0,0
37,20,-1.00,164.00,1,0.274142,3,14
38,20,11.00,262.00,0,0.273320,9,0
39,0,0.00,0.00,1,0.272500,0,0
40,3,99.00,104.00,1,0.271682,0,0
41,0,0.00,0.00,1,0.270867,0,0
42,0,0.00,0.00,1,0.270055,0,0
43,20,-121.00,115.00,0,0.269245,10,5
44,5,82.00,102.00,1,0.268437,1,1
45,0,0.00,0.00,1,0.267632,0,0
46,1,4.00,50.00,1,0.266829,0,0
47,0,0.00,0.00,1,0.266028,0,0
48,20,4.00,136.00,0,0.265230,10,3
49,0,0.00,0.00,1,0.264434,0,0
50,2,100.00,54.00,1,0.263641,0,0
51,0,0.00,0.00,1,0.262850,0,0
52,20,225.00,-20.00,0,0.262062,6,8
53,18,50.00,278.00,1,0.261275,6,3
54,8,91.00,84.00,1,0.260492,4,2
55,0,0.00,0.00,1,0.259710,0,0
56,1,4.00,50.00,1,0.258931,0,0
57,20,126.00,-79.00,0,0.258154,5,16
58,14,64.00,216.00,1,0.257380,6,0
59,0,0.00,0.00,1,0.256608,0,0
60,2,54.00,100.00,1,0.255838,0,0
61,0,0.00,0.00,1,0.255070,0,0
62,16,61.00,86.00,1,0.254305,7,3
63,17,57.00,108.00,1,0.253542,8,6
64,3,89.00,53.00,1,0.252781,1,1
65,0,0.00,0.00,1,0.252023,0,0
66,1,4.00,50.00,1,0.251267,0,0
67,20,146.00,-91.00,0,0.250513,5,13
68,16,40.00,172.00,1,0.249762,9,5
69,0,0.00,0.00,1,0.249012,0,0
70,4,88.00,93.00,1,0.248265,1,1
71,0,0.00,0.00,1,0.247521,0,0
72,11,14.00,105.00,1,0.246778,5,3
73,20,-108.00,110.00,0,0.246038,5,12
74,8,44.00,119.00,1,0.245300,5,2
75,0,0.00,0.00,1,0.244564,0,0
76,1,4.00,50.00,1,0.243830,0,0
77,20,26.00,83.00,0,0.243099,9,2
78,20,-21.00,309.00,0,0.242369,10,2
79,0,0.00,0.00,1,0.241642,0,0
80,3,99.00,104.00,1,0.240917,0,0
81,0,0.00,0.00,1,0.240194,0,0
82,0,0.00,0.00,1,0.239474,0,0
83,1,50.00,4.00,1,0.238755,0,0
84,4,88.00,108.00,1,0.238039,1,0
85,0,0.00,0.00,1,0.237325,0,0
86,1,4.00,50.00,1,0.236613,0,0
87,20,-23.00,70.00,0,0.235903,5,11
88,20,-18.00,207.00,0,0.235196,10,5
89,0,0.00,0.00,1,0.234490,0,0
90,3,99.00,104.00,1,0.233786,0,0
91,0,0.00,0.00,1,0.233085,0,0
92,3,99.00,104.00,1,0.232386,0,0
93,20,-108.00,156.00,0,0.231689,6,12
