Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,3,-3.00,-23.00,1,0.300000,2,1
2,20,183.00,-10.00,0,0.299100,4,5
3,20,156.00,15.00,0,0.298203,1,1
4,12,79.00,14.00,1,0.297308,4,2
5,2,54.00,49.00,1,0.296416,0,0
6,2,54.00,49.00,1,0.295527,0,0
7,5,43.00,46.00,1,0.294640,2,1
8,20,32.00,68.00,0,0.293756,6,5
9,20,0.00,-40.00,0,0.292875,8,4
10,5,31.00,36.00,1,0.291997,0,3
11,4,42.00,47.00,1,0.291121,1,2
12,20,103.00,71.00,1,0.290247,2,4
13,20,138.00,-5.00,0,0.289376,2,5
14,2,89.00,8.00,1,0.288508,0,0
15,2,54.00,49.00,1,0.287643,0,0
16,2,54.00,49.00,1,0.286780,0,0
17,12,54.00,39.00,1,0.285920,5,0
18,20,0.00,104.00,0,0.285062,8,4
19,20,-60.00,133.00,0,0.284207,5,7
20,13,-17.00,-12.00,1,0.283354,0,11
21,2,49.00,54.00,1,0.282504,0,0
22,20,152.00,10.00,0,0.281656,5,2
23,7,101.00,74.00,1,0.280811,2,1
24,4,87.00,16.00,1,0.279969,0,0
25,4,54.00,47.00,1,0.279129,1,0
26,2,54.00,49.00,1,0.278292,0,0
27,3,53.00,48.00,1,0.277457,0,1
28,20,-30.00,158.00,0,0.276624,6,3
29,20,-25.00,103.00,0,0.275795,6,4
30,7,19.00,24.00,1,0.274967,0,5
31,2,49.00,54.00,1,0.274142,0,0
32,19,122.00,62.00,1,0.273320,1,3
33,9,112.00,82.00,1,0.272500,0,0
34,2,89.00,8.00,1,0.271682,0,0
35,2,54.00,49.00,1,0.270867,0,0
36,2,54.00,49.00,1,0.270055,0,0
37,3,58.00,48.00,1,0.269245,0,1
38,20,10.00,143.00,0,0.268437,8,2
39,20,-20.00,81.00,0,0.267632,8,4
40,2,49.00,54.00,1,0.266829,0,0
41,3,48.00,58.00,1,0.266028,0,1
42,11,120.00,80.00,1,0.265230,1,1
43,4,92.00,87.00,1,0.264434,0,0
44,2,89.00,8.00,1,0.263641,0,0
45,3,53.00,48.00,1,0.262850,0,1
46,2,54.00,49.00,1,0.262062,0,0
47,2,54.00,49.00,1,0.261275,0,0
48,11,35.00,40.00,1,0.260492,4,1
49,20,-80.00,34.00,0,0.259710,11,3
50,4,47.00,54.00,1,0.258931,1,0
51,2,49.00,54.00,1,0.258154,0,0
52,5,96.00,81.00,1,0.257380,0,1
53,20,148.00,5.00,0,0.256608,2,4
54,5,81.00,20.00,1,0.255838,0,3
55,2,54.00,49.00,1,0.255070,0,0
56,5,66.00,36.00,1,0.254305,0,3
57,2,54.00,49.00,1,0.253542,0,0
58,20,-35.00,-35.00,0,0.252781,10,4
59,20,-60.00,27.00,0,0.252023,9,3
60,2,49.00,54.00,1,0.251267,0,0
61,5,53.00,41.00,1,0.250513,2,0
62,6,75.00,80.00,1,0.249762,1,2
63,16,140.00,55.00,1,0.249012,1,3
64,2,89.00,8.00,1,0.248265,0,0
65,2,54.00,49.00,1,0.247521,0,0
66,2,54.00,49.00,1,0.246778,0,0
67,2,54.00,49.00,1,0.246038,0,0
68,20,-25.00,22.00,0,0.245300,8,2
69,4,47.00,57.00,1,0.244564,0,0
70,2,49.00,54.00,1,0.243830,0,0
71,2,49.00,54.00,1,0.243099,0,0
72,7,94.00,79.00,1,0.242369,1,1
73,20,151.00,10.00,0,0.241642,0,4
74,3,88.00,12.00,1,0.240917,0,1
75,2,54.00,49.00,1,0.240194,0,0
76,2,54.00,49.00,1,0.239474,0,0
77,2,54.00,49.00,1,0.238755,0,0
78,20,-30.00,114.00,0,0.238039,7,3
79,16,-8.00,92.00,1,0.237325,6,2
80,6,45.00,57.00,1,0.236613,1,2
81,2,49.00,54.00,1,0.235903,0,0
82,6,92.00,85.00,1,0.235196,1,0
83,6,100.00,85.00,1,0.234490,0,0
84,2,89.00,8.00,1,0.233786,0,0
85,3,58.00,38.00,1,0.233085,1,1
86,2,54.00,49.00,1,0.232386,0,0
87,2,54.00,49.00,1,0.231689,0,0
88,20,-30.00,-16.00,0,0.230994,10,4
89,20,-20.00,125.00,0,0.230301,7,0
90,2,49.00,54.00,1,0.229610,0,0
91,2,49.00,54.00,1,0.228921,0,0
92,4,92.00,87.00,1,0.228234,0,0
93,5,91.00,76.00,1,0.227549,1,1
94,2,89.00,8.00,1,0.226867,0,0
95,3,53.00,48.00,1,0.226186,0,1
96,2,54.00,49.00,1,0.225508,0,0
97,2,54.00,49.00,1,0.224831,0,0
98,20,-18.00,27.00,0,0.224157,8,2
99,11,-3.00,97.00,1,0.223484,4,1
100,2,49.00,54.00,1,0.222814,0,0
101,2,49.00,54.00,1,0.222145,0,0
102,4,92.00,87.00,1,0.221479,0,0
103,5,96.00,86.00,1,0.220814,0,1
104,1,50.00,4.00,1,0.220152,0,0
105,7,41.00,46.00,1,0.219492,2,1
106,2,54.00,49.00,1,0.218833,0,0
107,3,48.00,53.00,1,0.218177,0,1
108,20,15.00,158.00,0,0.217522,6,2
109,16,35.00,105.00,1,0.216869,5,2
110,2,49.00,54.00,1,0.216219,0,0
111,2,49.00,54.00,1,0.215570,0,0
112,4,92.00,87.00,1,0.214923,0,0
113,5,96.00,86.00,1,0.214279,0,1
114,2,89.00,8.00,1,0.213636,0,0
115,3,58.00,48.00,1,0.212995,0,1
116,3,58.00,48.00,1,0.212356,0,1
117,2,54.00,49.00,1,0.211719,0,0
118,20,-20.00,113.00,0,0.211084,8,1
119,20,-20.00,97.00,0,0.210450,7,3
120,3,38.00,58.00,1,0.209819,1,0
121,3,48.00,58.00,1,0.209190,0,1
122,8,95.00,83.00,1,0.208562,1,2
123,10,53.00,81.00,1,0.207936,3,0
124,2,89.00,8.00,1,0.207313,0,0
125,4,52.00,42.00,1,0.206691,0,2
126,2,54.00,49.00,1,0.206071,0,0
127,2,54.00,49.00,1,0.205452,0,0
128,20,20.00,126.00,0,0.204836,7,1
129,20,-70.00,121.00,0,0.204222,8,5
130,2,49.00,54.00,1,0.203609,0,0
131,2,49.00,54.00,1,0.202998,0,0
132,4,92.00,87.00,1,0.202389,0,0
133,5,86.00,81.00,1,0.201782,0,1
134,2,89.00,8.00,1,0.201177,0,0
135,3,53.00,38.00,1,0.200573,1,1
136,2,54.00,49.00,1,0.199971,0,0
137,2,54.00,49.00,1,0.199371,0,0
138,20,-20.00,141.00,0,0.198773,8,1
139,20,-70.00,116.00,0,0.198177,9,3
140,2,49.00,54.00,1,0.197582,0,0
141,2,49.00,54.00,1,0.196990,0,0
142,5,91.00,86.00,1,0.196399,0,1
143,6,90.00,85.00,1,0.195809,0,2
144,6,85.00,3.00,1,0.195222,2,0
145,2,54.00,49.00,1,0.194636,0,0
146,2,54.00,49.00,1,0.194052,0,0
147,2,54.00,49.00,1,0.193470,0,0
148,20,-20.00,121.00,0,0.192890,8,1
