Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,1,50.00,0.00,1,0.298500,0,0
2,0,0.00,0.00,1,0.297008,0,0
3,1,50.00,0.00,1,0.295522,0,0
4,0,0.00,0.00,1,0.294045,0,0
5,1,50.00,0.00,1,0.292575,0,0
6,1,50.00,0.00,1,0.291112,0,0
7,1,50.00,0.00,1,0.289656,0,0
8,0,0.00,0.00,1,0.288208,0,0
9,1,50.00,0.00,1,0.286767,0,0
10,0,0.00,0.00,1,0.285333,0,0
11,1,50.00,0.00,1,0.283906,0,0
12,1,50.00,0.00,1,0.282487,0,0
13,2,44.00,0.00,1,0.281074,0,1
14,0,0.00,0.00,1,0.279669,0,0
15,1,50.00,0.00,1,0.278271,0,0
16,0,0.00,0.00,1,0.276879,0,0
17,1,50.00,0.00,1,0.275495,0,0
18,1,50.00,0.00,1,0.274117,0,0
19,1,50.00,0.00,1,0.272747,0,0
20,0,0.00,0.00,1,0.271383,0,0
21,1,50.00,0.00,1,0.270026,0,0
22,0,0.00,0.00,1,0.268676,0,0
23,2,39.00,0.00,1,0.267333,1,1
24,2,39.00,0.00,1,0.265996,1,1
25,1,50.00,0.00,1,0.264666,0,0
26,0,0.00,0.00,1,0.263343,0,0
27,1,50.00,0.00,1,0.262026,0,0
28,0,0.00,0.00,1,0.260716,0,0
29,1,50.00,0.00,1,0.259412,0,0
30,1,50.00,0.00,1,0.258115,0,0
31,1,50.00,0.00,1,0.256825,0,0
32,0,0.00,0.00,1,0.255541,0,0
33,1,50.00,0.00,1,0.254263,0,0
34,0,0.00,0.00,1,0.252992,0,0
35,1,50.00,0.00,1,0.251727,0,0
36,1,50.00,0.00,1,0.250468,0,0
37,1,50.00,0.00,1,0.249216,0,0
38,0,0.00,0.00,1,0.247970,0,0
39,1,50.00,0.00,1,0.246730,0,0
40,0,0.00,0.00,1,0.245496,0,0
41,1,50.00,0.00,1,0.244269,0,0
42,1,50.00,0.00,1,0.243047,0,0
43,1,50.00,0.00,1,0.241832,0,0
44,0,0.00,0.00,1,0.240623,0,0
45,1,50.00,0.00,1,0.239420,0,0
46,0,0.00,0.00,1,0.238223,0,0
47,1,50.00,0.00,1,0.237031,0,0
48,1,50.00,0.00,1,0.235846,0,0
49,1,50.00,0.00,1,0.234667,0,0
50,0,0.00,0.00,1,0.233494,0,0

# Summary
# FirstGoalEpisode,1
# TotalGoalCount,33
# GoalRate_last100,1.00
