profile,mode,n_runs,source_run,defect_component,well_posed_recovery,recovery_tier,detection_rate,reconverge_rate,n_detected,n_reconverged,greedy_goal_rate_mean,n_goal_reaching,goal_reaching_rate,degraded_rate,n_degraded,best_effort_rank,nominal_goal,RecoveryEpisodes_mean,RecoveryEpisodes_ci_lo,RecoveryEpisodes_ci_hi,DetectEpisode_mean,DetectEpisode_ci_lo,DetectEpisode_ci_hi
lab1_f1dead,ql_false,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,0,3,50.0,50.0,50.0,0.0,0.0,0.0
lab1_f1dead,ql_true,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,1.0,10,1.0,1.0,10,0,3,50.0,50.0,50.0,0.0,0.0,0.0
lab2_f1bdead,ql_false,10,,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.875,10,1.0,0.0,0,,3,140.6,101.7,190.3,6.0,6.0,6.0
lab2_f1bdead,ql_true,10,,http://example.org/was#SetZ1Blinds,True,confirmatory,1.0,1.0,10,10,0.98,10,1.0,0.0,0,,3,59.2,52.4,67.6,6.0,6.0,6.0
lab2_f1binv,ql_false,10,,http://example.org/was#SetZ1Blinds,True,descriptive,1.0,1.0,10,10,0.0,0,0.0,1.0,10,2,3,240.1,183.5975,296.9024999999999,6.0,6.0,6.0
lab2_f1binv,ql_true,10,,http://example.org/was#SetZ1Blinds,True,descriptive,1.0,1.0,10,10,0.0,0,0.0,1.0,10,2,3,288.4,237.4975,337.8,6.0,6.0,6.0
lab2_f1dead,ql_false,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.845,10,1.0,1.0,10,0,3,124.4,102.6,148.0,0.0,0.0,0.0
lab2_f1dead,ql_true,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.97,10,1.0,1.0,10,0,3,104.8,83.7975,128.2,0.0,0.0,0.0
lab2_f1inv,ql_false,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.855,10,1.0,1.0,10,0,3,129.3,110.0,150.5,0.0,0.0,0.0
lab2_f1inv,ql_true,10,,http://example.org/was#SetZ1Light,False,ill_posed,1.0,1.0,10,10,0.95,10,1.0,1.0,10,0,3,104.5,80.9,129.2,0.0,0.0,0.0
lab2_f2dead,ql_false,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.995,10,1.0,1.0,10,0,3,83.1,72.1,93.0,0.0,0.0,0.0
lab2_f2dead,ql_true,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.995,10,1.0,1.0,10,0,3,97.5,76.8,124.9,0.0,0.0,0.0
lab2_f2inv,ql_false,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.91,9,0.9,1.0,10,0,3,105.1,76.5,143.6,0.0,0.0,0.0
lab2_f2inv,ql_true,10,,http://example.org/was#SetZ1Light;http://example.org/was#SetZ2Light,False,ill_posed,1.0,1.0,10,10,0.67,6,0.6,1.0,10,0,3,315.5,131.0,521.1,0.0,0.0,0.0
lab3_f1bdead,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1bdead,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1binv,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1binv,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1dead_z2,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f1inv_z2,ql_true,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
lab3_f2bdead,ql_false,0,,,True,descriptive,,,0,0,,0,,,0,,,nan,nan,nan,nan,nan,nan
