Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,3,48.00,58.00,1,0.299100,0,0
2,2,38.00,-12.00,1,0.300000,1,0
3,6,70.00,85.00,1,0.299100,1,2
4,1,50.00,4.00,1,0.298203,0,0
5,2,54.00,49.00,1,0.297308,0,0
6,2,49.00,54.00,1,0.296416,0,0
7,9,32.00,51.00,1,0.295527,3,3
8,20,1.00,-58.00,0,0.294640,11,6
9,5,21.00,-4.00,1,0.293756,3,1
10,2,49.00,54.00,1,0.292875,0,0
11,6,45.00,10.00,1,0.291997,3,3
12,3,88.00,53.00,1,0.291121,0,0
13,5,86.00,81.00,1,0.290247,1,1
14,1,50.00,4.00,1,0.289376,0,0
15,11,44.00,17.00,1,0.288508,6,3
16,2,49.00,54.00,1,0.287643,0,0
17,7,41.00,56.00,1,0.286780,2,1
18,20,-35.00,14.00,0,0.285920,12,5
19,20,-20.00,-40.00,0,0.285062,11,2
20,2,49.00,54.00,1,0.284207,0,0
21,5,41.00,56.00,1,0.283354,0,1
22,3,88.00,58.00,1,0.282504,0,0
23,7,74.00,89.00,1,0.281656,2,1
24,2,44.00,8.00,1,0.280811,0,1
25,2,54.00,49.00,1,0.279969,0,0
26,2,49.00,54.00,1,0.279129,0,0
27,4,42.00,37.00,1,0.278292,1,2
28,20,-35.00,84.00,0,0.277457,9,6
29,20,-60.00,31.00,0,0.276624,11,5
30,6,57.00,25.00,1,0.275795,3,0
31,2,49.00,54.00,1,0.274967,0,0
32,5,76.00,56.00,1,0.274142,1,2
33,6,75.00,95.00,1,0.273320,1,2
34,2,89.00,8.00,1,0.272500,0,0
35,3,58.00,38.00,1,0.271682,1,1
36,3,43.00,58.00,1,0.270867,0,1
37,2,49.00,54.00,1,0.270055,0,0
38,16,35.00,94.00,1,0.269245,5,6
39,20,-35.00,41.00,0,0.268437,10,4
40,3,48.00,58.00,1,0.267632,0,0
41,2,49.00,54.00,1,0.266829,0,0
42,3,88.00,53.00,1,0.266028,0,0
43,4,87.00,92.00,1,0.265230,0,0
44,1,50.00,4.00,1,0.264434,0,0
45,2,54.00,49.00,1,0.263641,0,0
46,3,48.00,58.00,1,0.262850,0,1
47,4,47.00,62.00,1,0.262062,0,2
48,20,-35.00,97.00,0,0.261275,9,3
49,20,32.00,-40.00,0,0.260492,9,4
50,2,49.00,54.00,1,0.259710,0,0
51,4,37.00,62.00,1,0.258931,0,2
52,3,88.00,53.00,1,0.258154,0,0
53,5,76.00,91.00,1,0.257380,1,1
54,3,88.00,12.00,1,0.256608,0,0
55,2,54.00,49.00,1,0.255838,0,0
56,6,30.00,47.00,1,0.255070,3,2
57,5,43.00,56.00,1,0.254305,1,1
58,7,34.00,74.00,1,0.253542,3,1
59,14,21.00,7.00,1,0.252781,5,6
60,2,49.00,54.00,1,0.252023,0,0
61,2,54.00,49.00,1,0.251267,0,0
62,3,88.00,53.00,1,0.250513,0,0
63,8,78.00,75.00,1,0.249762,2,2
64,1,50.00,4.00,1,0.249012,0,0
65,2,49.00,54.00,1,0.248265,0,0
